,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1306,CYP4F22_code_potential_somatic,ENSG00000125952,1306,1.0,1.6567358619287,0.38295555066025655,1.3884699359410425e-20,6.682880889665938,7.603485618665886,1.0
1305,CYP4F22_code_potential_somatic,ENSG00000125952,1305,1.0,1.6567358619287,0.22500223679193504,1.0176094494083198e-07,4.57446433983565,1.5221686060845974,1.0
1314,CYP4F22_code_potential_somatic,ENSG00000125952,1314,1.0,1.6567358619287,0.3537194586752052,1.35329489768637e-17,3.456342502182075,1.4519688636727703,1.0
1590,CYP4F22_code_potential_somatic,ENSG00000185811,1590,1.0,2.590577629021741,0.5350057755535523,6.668825680741697e-42,5.118913344640941,1.5778963819835625,1.0
1589,CYP4F22_code_potential_somatic,ENSG00000185811,1589,1.0,2.590577629021741,0.48857770440176596,3.2002803666066633e-34,3.827013924980121,1.3646985420789128,1.0
1237,CYP4F22_code_potential_somatic,ENSG00000151702,1237,1.0,2.912511461529868,0.5182766865320042,5.358163944525927e-39,5.031225678877697,1.7494608108681207,1.0
221,CYP4F22_code_potential_somatic,ENSG00000020633,221,1.0,2.4594190356296393,0.6379715611320159,5.8828214436437776e-64,7.144974968399075,2.279825321738644,1.0
344,CYP4F22_code_potential_somatic,ENSG00000159216,344,1.0,2.18552620537437,0.46056329822208036,3.988216844167444e-30,9.884958269516233,3.4022622378114806,1.0
345,CYP4F22_code_potential_somatic,ENSG00000159216,345,1.0,2.18552620537437,0.47552862120207495,2.8843745402118936e-32,3.838395116842084,1.3459828533016331,1.0
348,CYP4F22_code_potential_somatic,ENSG00000159216,348,1.0,2.18552620537437,0.3131232345841649,6.247962558606434e-14,6.2734456228754105,1.8850839023714485,1.0
163,CYP4F22_code_potential_somatic,ENSG00000178573,163,1.0,2.5991842526921904,0.4531010540667795,4.2591906544578275e-29,4.333858278416131,1.5192089040581829,1.0
170,CYP4F22_code_potential_somatic,ENSG00000178573,170,1.0,2.5991842526921904,0.4816011740550803,3.6374284235023134e-33,4.9998473319112735,1.6408417328483638,1.0
169,CYP4F22_code_potential_somatic,ENSG00000178573,169,1.0,2.5991842526921904,0.3551133792825451,9.902752147500087e-18,10.670671383121286,2.6772267250179373,1.0
154,CYP4F22_code_potential_somatic,ENSG00000178573,154,1.0,2.5991842526921904,0.6056710459662019,3.657733594393192e-56,7.13673565641241,2.285914098877117,1.0
171,CYP4F22_code_potential_somatic,ENSG00000178573,171,1.0,2.5991842526921904,0.3972264655034182,3.7145130551871923e-22,3.6994666095021156,1.4157565451307512,1.0
469,CYP4F22_code_potential_somatic,ENSG00000172216,469,1.0,1.7623111691638889,0.6394314005628039,2.4840885724924715e-64,4.551599286906733,1.4764363666986229,1.0
457,CYP4F22_code_potential_somatic,ENSG00000172216,457,1.0,1.7623111691638889,0.7148546391502247,7.166896573166083e-87,6.565701973165488,2.0963763162305162,1.0
479,CYP4F22_code_potential_somatic,ENSG00000172216,479,1.0,1.7623111691638889,0.4870916870311351,5.396046317461155e-34,6.004932095710747,2.5948139339778717,1.0
1294,CYP4F22_code_potential_somatic,ENSG00000095794,1294,1.0,2.1342739863468942,0.3842799064915239,9.9957209097043e-21,4.501399692205628,1.8830116888113253,1.0
2684,CYP4F22_code_potential_somatic,ENSG00000102034,2684,1.0,1.3470850126195508,0.4983912324900616,9.518575163682427e-36,2.8664591131724624,2.344480003751039,1.0
2687,CYP4F22_code_potential_somatic,ENSG00000102034,2687,1.0,1.3470850126195508,0.3292744096578225,2.52840252463494e-15,4.320225544240278,2.254661558558248,1.0
3324,CYP4F22_code_potential_somatic,ENSG00000128604,3324,1.0,2.5375177539404254,0.4334432442211469,1.6602867078547144e-26,6.873053007062623,2.7802487435051733,1.0
3333,CYP4F22_code_potential_somatic,ENSG00000128604,3333,1.0,2.5375177539404254,0.38265257199717345,1.4965672946494608e-20,4.321000135104667,1.6910758988948493,1.0
427,CYP4F22_code_potential_somatic,ENSG00000162367,427,1.0,2.2927104956008137,0.21193229874323286,5.532397045538258e-07,6.177945449272948,1.9829174561565894,1.0
428,CYP4F22_code_potential_somatic,ENSG00000162367,428,1.0,2.2927104956008137,0.2329255481161108,3.463136694070408e-08,5.678236906627786,1.7499656864381115,1.0
631,CYP4F22_code_potential_somatic,ENSG00000140968,631,1.0,2.200005282201472,0.4255628092998335,1.6298962785595191e-25,5.483931398261511,1.8332071483910868,1.0
623,CYP4F22_code_potential_somatic,ENSG00000140968,623,1.0,2.200005282201472,0.7002585782520239,5.881945624895939e-82,5.075795344999789,1.655003690103054,1.0
625,CYP4F22_code_potential_somatic,ENSG00000140968,625,1.0,2.200005282201472,0.6080537489252643,1.0441284104448363e-56,5.043451858911324,1.784738087055346,1.0
624,CYP4F22_code_potential_somatic,ENSG00000140968,624,1.0,2.200005282201472,0.6079559644758794,1.0994840884836115e-56,4.235157238112996,1.475272586444138,1.0
635,CYP4F22_code_potential_somatic,ENSG00000140968,635,1.0,2.200005282201472,0.4223487562233677,4.0672502413456126e-25,3.4368532598324286,1.3285801207480195,1.0
662,CYP4F22_code_potential_somatic,ENSG00000131408,662,1.0,1.3636004695404607,0.26327190559432784,3.856489891333833e-10,8.298644964872826,2.7831016400443036,1.0
663,CYP4F22_code_potential_somatic,ENSG00000131408,663,1.0,1.3636004695404607,0.40820625183163556,2.0267069043517423e-23,3.3778997784645726,1.3258780821929397,1.0
1365,CYP4F22_code_potential_somatic,ENSG00000173153,1365,1.0,2.3350548108880473,0.25601726198145713,1.193139103552427e-09,7.473494753597896,5.02835984211465,0.6666666666666666
1370,CYP4F22_code_potential_somatic,ENSG00000173153,1370,1.0,2.3350548108880473,0.5184140660268896,5.079407617554581e-39,4.324895756332077,1.5999273643451912,0.6666666666666666
290,CYP4F22_code_potential_somatic,ENSG00000245848,290,1.0,2.5021210259352076,0.6844355813766781,5.888470078524959e-77,6.935433358883558,2.226969481340922,1.0
305,CYP4F22_code_potential_somatic,ENSG00000245848,305,1.0,2.5021210259352076,0.3969440500131364,3.997363490886792e-22,5.545639137531107,2.2535783181015923,1.0
294,CYP4F22_code_potential_somatic,ENSG00000245848,294,1.0,2.5021210259352076,0.691993932843157,2.6408163646011318e-79,7.117350660949127,2.0958529156621997,1.0
3028,CYP4F22_code_potential_somatic,ENSG00000166949,3028,1.0,2.531571017005049,0.2971107940104582,1.2452355064895446e-12,5.034317622031176,1.678634646726772,1.0
3018,CYP4F22_code_potential_somatic,ENSG00000166949,3018,1.0,2.531571017005049,0.42921437669122076,5.698347905305046e-26,4.176885307538667,1.704970533504871,1.0
793,CYP4F22_code_potential_somatic,ENSG00000126561,793,1.0,13.596875548615948,0.5292624522225253,6.913163364054204e-41,5.560244559190339,1.6814149179255249,1.0
787,CYP4F22_code_potential_somatic,ENSG00000126561,787,1.0,13.596875548615948,0.5969387706737364,3.3096441107500225e-54,7.821805642662271,2.563392006798454,1.0
805,CYP4F22_code_potential_somatic,ENSG00000126561,805,1.0,13.596875548615948,0.35295935047208166,1.6035130554026276e-17,4.879193535626133,2.004128324165016,1.0
317,CYP4F22_code_potential_somatic,ENSG00000162924,317,1.0,2.1851921029267345,0.5970365551231214,3.1492219113434006e-54,7.493944355718607,2.5365567125294737,1.0
609,CYP4F22_code_potential_somatic,ENSG00000066336,609,1.0,2.456395109534488,0.49772138898836266,1.2143808947277623e-35,3.4038625158275844,1.3399068560380536,1.0
605,CYP4F22_code_potential_somatic,ENSG00000066336,605,1.0,2.456395109534488,0.3003965265155187,6.840291192327518e-13,4.975178405411043,2.2511027836876774,1.0
598,CYP4F22_code_potential_somatic,ENSG00000066336,598,1.0,2.456395109534488,0.842991717051909,3.817184459638388e-149,8.372322911404575,2.7542849875756543,1.0
614,CYP4F22_code_potential_somatic,ENSG00000066336,614,1.0,2.456395109534488,0.30991822347020753,1.1541145000611635e-13,3.726907326922975,1.3832613228994448,1.0
448,CYP4F22_code_potential_somatic,ENSG00000204103,448,1.0,3.031850772880489,0.2944631761337108,2.006758329512545e-12,4.155788224950689,1.3704082026237723,1.0
444,CYP4F22_code_potential_somatic,ENSG00000204103,444,1.0,3.031850772880489,0.4735522961225221,5.608577520945264e-32,6.208291684807712,2.1686455527912964,1.0
440,CYP4F22_code_potential_somatic,ENSG00000204103,440,1.0,3.031850772880489,0.8036235227238009,3.706046125832496e-125,8.211149789800569,2.5991842526921904,1.0
436,CYP4F22_code_potential_somatic,ENSG00000204103,436,1.0,3.031850772880489,0.8007476682127695,1.2734137710494504e-123,6.826253146682634,2.1666219858310667,1.0
653,CYP4F22_code_potential_somatic,ENSG00000136630,653,1.0,2.2470651107397743,0.4014544580047145,1.2276564848727897e-22,3.84701404527996,1.3233297798589023,1.0
652,CYP4F22_code_potential_somatic,ENSG00000136630,652,1.0,2.2470651107397743,0.5228179392827843,9.04427376088564e-40,5.060489449896417,1.6449118424226925,1.0
661,CYP4F22_code_potential_somatic,ENSG00000136630,661,1.0,2.2470651107397743,0.30982022026366507,1.1758376376535146e-13,7.040484758238413,2.6418402002544306,1.0
658,CYP4F22_code_potential_somatic,ENSG00000136630,658,1.0,2.2470651107397743,0.4250003117289494,1.914137044397754e-25,6.139917955614571,1.8706630549748642,1.0
130,CYP4F22_code_potential_somatic,ENSG00000105967,130,1.0,2.066778493664075,0.8195316161333988,3.8518852246219126e-134,6.904872389379575,2.136404764005746,1.0
174,CYP4F22_code_potential_somatic,ENSG00000007866,174,1.0,1.8747643330127564,0.25235541300366926,2.0825418804215828e-09,9.093804753770648,3.2799937501647896,1.0
175,CYP4F22_code_potential_somatic,ENSG00000007866,175,1.0,1.8747643330127564,0.46264462673721435,2.0386742557697948e-30,4.787046886919361,1.6573806366364172,1.0
316,CYP4F22_code_potential_somatic,ENSG00000111424,316,1.0,2.3884420941796707,0.28757145064506745,6.791521562728373e-12,5.447810163326379,1.9915503363994498,1.0
306,CYP4F22_code_potential_somatic,ENSG00000111424,306,1.0,2.3884420941796707,0.6049169900444348,5.427001580336199e-56,8.062689323444266,2.7244603297652543,1.0
309,CYP4F22_code_potential_somatic,ENSG00000111424,309,1.0,2.3884420941796707,0.2937968418320854,2.261080957444713e-12,12.518003449849765,4.504978266389066,1.0
312,CYP4F22_code_potential_somatic,ENSG00000111424,312,1.0,2.3884420941796707,0.4875339410844682,4.620274871687774e-34,3.2212655657930265,2.476872496494645,1.0
