,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
363,DAO_code_potential_somatic,ENSG00000163497,363,1.0,1.5569190989847543,-0.26567493056812325,2.632663727496636e-10,-3.089068381091389,1.3045955821761828,1.0
368,DAO_code_potential_somatic,ENSG00000163497,368,1.0,1.5569190989847543,-0.2799891086086114,2.5004418102251358e-11,-3.3316862652325114,1.3804701117776812,1.0
365,DAO_code_potential_somatic,ENSG00000163497,365,1.0,1.5569190989847543,-0.21647528057006557,3.1079592577989785e-07,-4.390220841081335,1.8066133698121474,1.0
362,DAO_code_potential_somatic,ENSG00000163497,362,1.0,1.5569190989847543,-0.22806799057821933,6.737093029244654e-08,-6.17350591733195,2.6848549145242955,1.0
1295,DAO_code_potential_somatic,ENSG00000131759,1295,-1.0,2.4496364992009347,0.2170462577322452,2.888101137306767e-07,-3.721000276659739,1.5705037294279187,1.0
1758,DAO_code_potential_somatic,ENSG00000116017,1758,-1.0,1.4198850347697567,0.2685184314207614,1.66745895491763e-10,-3.1807836856195477,1.3385653411712033,1.0
2678,DAO_code_potential_somatic,ENSG00000102034,2678,-1.0,1.385284921395743,0.51862214999752,4.6843379447009314e-39,-3.1207968529592036,1.3896193487463642,1.0
2682,DAO_code_potential_somatic,ENSG00000102034,2682,-1.0,1.385284921395743,0.6909881364892289,5.475214196736149e-79,-11.278313137171383,3.9174170245991005,1.0
2688,DAO_code_potential_somatic,ENSG00000102034,2688,-1.0,1.385284921395743,0.5968003811916459,3.550642509905138e-54,-3.462651185392455,1.4242792010848009,1.0
2692,DAO_code_potential_somatic,ENSG00000102034,2692,-1.0,1.385284921395743,0.5753680493535116,1.2716446576833584e-49,-3.5539169338107603,1.4941498062440328,1.0
2685,DAO_code_potential_somatic,ENSG00000102034,2685,-1.0,1.385284921395743,0.4445374486465286,6.008913461312989e-28,-5.004455772844363,2.1476686277235952,1.0
2277,DAO_code_potential_somatic,ENSG00000165030,2277,-1.0,1.4691741085275458,0.11644392448298753,0.006353693453149486,-3.1658102409388467,1.3199346656397768,1.0
716,DAO_code_potential_somatic,ENSG00000168310,716,-1.0,2.0666069286104727,0.532708314966847,1.708690346240468e-41,-5.427396775627495,2.1280240760646914,1.0
3277,DAO_code_potential_somatic,ENSG00000137309,3277,-1.0,2.460975614783672,0.27867693046081854,3.120616831555176e-11,-3.5947584370532937,1.6256336403806055,1.0
3279,DAO_code_potential_somatic,ENSG00000137309,3279,-1.0,2.460975614783672,0.3323390820526742,1.3458795360021517e-15,-3.138092062755199,1.3141968310677146,1.0
3009,DAO_code_potential_somatic,ENSG00000157554,3009,-1.0,1.7424407337985184,0.13801075512272754,0.0011999859853497744,-3.7791246969145758,1.549338357716437,1.0
3011,DAO_code_potential_somatic,ENSG00000157554,3011,-1.0,1.7424407337985184,0.14389597892989395,0.0007290239167428797,-3.240876977011249,1.3494591573516175,1.0
792,DAO_code_potential_somatic,ENSG00000126561,792,-1.0,1.977772181385873,0.4341744764794857,1.3390848145276473e-26,-3.651647145899585,1.5237055657742877,1.0
810,DAO_code_potential_somatic,ENSG00000126561,810,-1.0,1.977772181385873,0.5407267856545183,6.205581202352399e-43,-3.4309433635767546,1.4390548058677202,1.0
807,DAO_code_potential_somatic,ENSG00000126561,807,-1.0,1.977772181385873,0.18996331952902754,7.548414524641125e-06,-3.5417738694297776,1.502630709010457,1.0
1839,DAO_code_potential_somatic,ENSG00000112658,1839,-1.0,1.6309663249346833,0.43930433182194023,2.919581539654522e-27,-3.5539169338107603,1.4941498062440328,1.0
3075,DAO_code_potential_somatic,ENSG00000100968,3075,-1.0,2.2548866913410412,0.3041186066306607,3.4381700552743207e-13,-5.912987943444373,2.2717456367091726,1.0
3078,DAO_code_potential_somatic,ENSG00000100968,3078,-1.0,2.2548866913410412,0.3499241678313662,3.1426903174990427e-17,-9.710789693248648,3.8305878941110665,1.0
541,DAO_code_potential_somatic,ENSG00000169136,541,-1.0,1.7079169675192738,0.3580383812349528,5.116172555588314e-18,-3.342975374045333,1.470457486178598,1.0
538,DAO_code_potential_somatic,ENSG00000169136,538,-1.0,1.7079169675192738,0.2994566728480148,8.125207309485456e-13,-3.901020102539291,1.6569654314481796,1.0
545,DAO_code_potential_somatic,ENSG00000169136,545,-1.0,1.7079169675192738,0.3903781268510046,2.1586116099870858e-21,-4.530940443414409,1.8763556133470567,1.0
540,DAO_code_potential_somatic,ENSG00000169136,540,-1.0,1.7079169675192738,0.23593302151688114,2.2767512972488452e-08,-7.984005536694836,2.949390501936458,1.0
546,DAO_code_potential_somatic,ENSG00000169136,546,-1.0,1.7079169675192738,0.2601569495101918,6.289856342896742e-10,-3.4929587320164828,1.4810309612161918,1.0
