,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1635,DCAF12L1_code_potential_somatic,ENSG00000028277,1635,-1.0,3.0623959975662545,-0.2939484405422057,2.200584761537425e-12,2.9088138710595066,1.7570019055712474,1.0
1630,DCAF12L1_code_potential_somatic,ENSG00000028277,1630,-1.0,3.0623959975662545,-0.28095397371282743,2.1229348738128706e-11,5.937896723497966,3.2207414584096554,1.0
1035,DCAF12L1_code_potential_somatic,ENSG00000137203,1035,1.0,1.7327312344867616,0.38751189765490146,4.4541864144617496e-21,5.547753695587266,1.6186149477755147,1.0
900,DCAF12L1_code_potential_somatic,ENSG00000154727,900,1.0,1.688619258676643,0.2033007975813042,1.5987166164947079e-06,4.370445225401237,1.744588401581256,1.0
891,DCAF12L1_code_potential_somatic,ENSG00000154727,891,1.0,1.688619258676643,0.23585528980693005,2.301731921878582e-08,3.57963456582557,1.3571329072999165,1.0
1889,DCAF12L1_code_potential_somatic,ENSG00000185697,1889,1.0,1.9543336831425104,0.5169485389100075,8.969962979303061e-39,5.043643864586756,1.9169240188658623,1.0
1888,DCAF12L1_code_potential_somatic,ENSG00000185697,1888,1.0,1.9543336831425104,0.31975916003668414,1.712332318809168e-14,5.761761082705672,1.9464234370605908,1.0
1890,DCAF12L1_code_potential_somatic,ENSG00000185697,1890,1.0,1.9543336831425104,0.39060534261855384,2.0375259107510706e-21,3.4420444398614833,1.3942921737389489,1.0
2,DCAF12L1_code_potential_somatic,ENSG00000147862,2,1.0,1.3919895922227885,0.24885281923651273,3.5191623201939226e-09,7.085034622655137,3.195637151867121,1.0
3762,DCAF12L1_code_potential_somatic,ENSG00000123388,3762,1.0,1.3031447463802883,0.36996947054604434,3.2203666637106646e-19,4.754015043864718,1.5426927287502459,1.0
3561,DCAF12L1_code_potential_somatic,ENSG00000025156,3561,1.0,1.6531236201561024,0.2877752593967684,6.554125117244241e-12,4.1905773198714416,1.3470173511259895,1.0
