,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2418,DICER1_code_potential_somatic,ENSG00000198815,2418,1.0,1.4850720638596213,0.5605588720355945,1.1486430183478801e-46,3.648578327684585,1.4826483361342597,1.0
2405,DICER1_code_potential_somatic,ENSG00000198815,2405,1.0,1.4850720638596213,0.6295807657623466,7.637413688814105e-62,3.2015668478783494,1.3571076526530088,1.0
2811,DICER1_code_potential_somatic,ENSG00000277615,2811,1.0,1.5570983821471547,0.24881767225321408,3.537595533144135e-09,3.2367217985866135,1.4216162324489596,1.0
2724,DICER1_code_potential_somatic,ENSG00000130726,2724,1.0,1.3266389406542793,0.4769486468302052,1.783927552507496e-32,3.1337000912601636,1.4312260594983097,1.0
2961,DICER1_code_potential_somatic,ENSG00000099326,2961,1.0,1.6223800504056065,0.1976172678733166,3.1378098153486256e-06,5.801133602559475,3.7114993112538586,1.0
2952,DICER1_code_potential_somatic,ENSG00000099326,2952,1.0,1.6223800504056065,0.6748517573892705,4.433728282902681e-74,5.029125747943533,1.9176845372505469,1.0
3214,DICER1_code_potential_somatic,ENSG00000171634,3214,1.0,1.5126782002419548,0.7117582774244728,8.383930012079178e-86,4.5132684434766315,1.8854254655710019,1.0
1010,DICER1_code_potential_somatic,ENSG00000068323,1010,1.0,1.4881467892706133,0.26806786459544474,1.793243141557769e-10,3.703634928578759,1.5797993810313842,1.0
1664,DICER1_code_potential_somatic,ENSG00000143190,1664,1.0,1.4181170972707469,0.5191114638448744,3.871341650279736e-39,4.448591209756647,1.9030726184913473,1.0
1660,DICER1_code_potential_somatic,ENSG00000143190,1660,1.0,1.4181170972707469,0.5337222543916776,1.1290583056142487e-41,3.9722411604442334,1.7637108027815376,1.0
2977,DICER1_code_potential_somatic,ENSG00000187079,2977,1.0,1.5879240357362179,0.38221804736340387,1.6662238454821515e-20,4.763801392423142,2.1556409600294004,0.5
503,DICER1_code_potential_somatic,ENSG00000068305,503,1.0,1.4946086998342971,0.24830322833791887,3.818369841885456e-09,3.843901280231148,1.6104068929884365,1.0
495,DICER1_code_potential_somatic,ENSG00000068305,495,1.0,1.4946086998342971,0.47866435921616984,9.952765068621691e-33,3.317613024932698,1.9955129352883192,1.0
1169,DICER1_code_potential_somatic,ENSG00000162702,1169,1.0,1.6306609492739501,0.2721423624912561,9.244386268136661e-11,3.338552481542971,2.2592807352870232,1.0
1165,DICER1_code_potential_somatic,ENSG00000162702,1165,1.0,1.6306609492739501,0.5144321024086841,2.366355417109058e-38,3.3868809016721424,1.3864424630284113,1.0
1168,DICER1_code_potential_somatic,ENSG00000162702,1168,1.0,1.6306609492739501,0.5055624476213332,6.780820177135276e-37,3.278564849715942,1.3561528637805853,1.0
1152,DICER1_code_potential_somatic,ENSG00000162702,1152,1.0,1.6306609492739501,0.668571312317625,2.976059038259947e-72,3.412002685470311,1.4611051643495672,1.0
1155,DICER1_code_potential_somatic,ENSG00000162702,1155,1.0,1.6306609492739501,0.3855103425831881,7.355781248504171e-21,4.534701552467837,1.8396621908735853,1.0
328,DICER1_code_potential_somatic,ENSG00000134532,328,1.0,1.3469305097198812,0.3829075699237201,1.405060496175937e-20,5.493714765645688,2.2082595137962664,1.0
340,DICER1_code_potential_somatic,ENSG00000134532,340,1.0,1.3469305097198812,0.4897679620955098,2.1020996591352187e-34,4.432532401419415,1.9399118040880483,1.0
3451,DICER1_code_potential_somatic,ENSG00000278129,3451,1.0,1.3038624782148298,0.4563247324581735,1.54208316777997e-29,5.538282390087135,2.263918457712204,1.0
924,DICER1_code_potential_somatic,ENSG00000106459,924,1.0,1.3178054350497073,0.662848041726032,1.2585998410611911e-70,3.527376066526161,1.4721084831782094,1.0
919,DICER1_code_potential_somatic,ENSG00000106459,919,1.0,1.3178054350497073,0.6639871102449301,6.013057518937056e-71,3.0103270379312828,1.320850604405548,1.0
923,DICER1_code_potential_somatic,ENSG00000106459,923,1.0,1.3178054350497073,0.7121543007985294,6.132342355537881e-86,3.188737268136606,1.3393221431630231,1.0
935,DICER1_code_potential_somatic,ENSG00000106459,935,1.0,1.3178054350497073,0.2537932308806063,1.6751862373343996e-09,3.5534940534575723,2.016165998467274,1.0
920,DICER1_code_potential_somatic,ENSG00000106459,920,1.0,1.3178054350497073,0.7131916472392081,2.6962513095890753e-86,3.217483257363196,1.3802798749074445,1.0
