,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2643,DOCK5_code_potential_somatic,ENSG00000126767,2643,-1.0,1.8333813627420135,0.3027881985180369,4.401519795687066e-13,-2.6003766146772733,1.6240116581651864,1.0
372,DOCK5_code_potential_somatic,ENSG00000112561,372,-1.0,1.458407985570908,0.3576730567819933,5.558143064804769e-18,-3.1000534729057976,2.007214753323494,1.0
371,DOCK5_code_potential_somatic,ENSG00000112561,371,-1.0,1.458407985570908,0.3455223363089412,8.232171146233444e-17,-3.1100522461888582,2.0146379615807453,1.0
872,DOCK5_code_potential_somatic,ENSG00000132005,872,1.0,1.3685980700541602,-0.29276758940623254,2.7170406560790726e-12,-2.2199120805396686,1.3093913933340016,1.0
1253,DOCK5_code_potential_somatic,ENSG00000089220,1253,-1.0,3.2654361673960812,0.2657955610818475,2.582430391060707e-10,-3.518981746090147,2.5014586944966135,1.0
2219,DOCK5_code_potential_somatic,ENSG00000187140,2219,1.0,1.3685980700541602,-0.2906428790864573,3.960698973542819e-12,-2.1917713822855607,1.3074671224300711,1.0
2218,DOCK5_code_potential_somatic,ENSG00000187140,2218,1.0,1.3685980700541602,-0.33403129091008305,9.472778577955283e-16,-4.33102414247598,3.1139852565144635,1.0
2228,DOCK5_code_potential_somatic,ENSG00000187140,2228,1.0,1.3685980700541602,-0.2554723070293255,1.2969739275767006e-09,-2.3298978480707286,1.4067568466556941,1.0
2231,DOCK5_code_potential_somatic,ENSG00000187140,2231,1.0,1.3685980700541602,-0.29864174271478744,9.428389385064682e-13,-2.2917566914622176,1.368028283955677,1.0
2353,DOCK5_code_potential_somatic,ENSG00000155959,2353,-1.0,1.7724159929215562,0.5774814882224429,4.679188468862829e-50,-3.144807257889541,2.0378856284520244,1.0
