,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3707,DSC3_code_potential_somatic,ENSG00000122592,3707,1.0,1.3023390018133594,0.3274069567135064,3.700010469127915e-15,3.8826947289889997,1.765281222947559,1.0
2588,DSC3_code_potential_somatic,ENSG00000185630,2588,1.0,3.370340349636871,0.3432166358693049,1.3550368369007922e-16,3.99064500990666,1.4859830129606024,1.0
333,DSC3_code_potential_somatic,ENSG00000134532,333,1.0,3.854351352461956,0.3372906503117982,4.786552816987904e-16,10.572228611860494,4.904013626080301,1.0
337,DSC3_code_potential_somatic,ENSG00000134532,337,1.0,3.854351352461956,0.5428653556258544,2.5245084904888723e-43,4.929949164790585,1.9160601792404024,1.0
339,DSC3_code_potential_somatic,ENSG00000134532,339,1.0,3.854351352461956,0.2097092885091168,7.302537756236115e-07,4.050037696036395,1.594892086152528,1.0
1918,DSC3_code_potential_somatic,ENSG00000167034,1918,-1.0,1.6096914130754572,-0.2597870311569257,6.66324397158564e-10,5.465003698480319,1.8915426463193579,1.0
1896,DSC3_code_potential_somatic,ENSG00000167034,1896,-1.0,1.6096914130754572,-0.3636803470830229,1.403698853226158e-18,4.503996973156964,1.5869901560893063,1.0
1047,DSC3_code_potential_somatic,ENSG00000005889,1047,1.0,2.3765371474550596,0.3305867643023612,1.9317884482634348e-15,4.116692522706932,1.4913922695089823,1.0
1182,DSC3_code_potential_somatic,ENSG00000100811,1182,1.0,2.5635413821834154,0.5131002359150106,3.9412618460168217e-38,5.037135612877346,1.774826280367015,1.0
1204,DSC3_code_potential_somatic,ENSG00000100811,1204,1.0,2.5635413821834154,0.49941901744931055,6.5434422067206e-36,3.6808427889973934,1.534885608322125,1.0
2880,DSC3_code_potential_somatic,ENSG00000118260,2880,1.0,2.052910768708859,0.6579030361816318,2.9945342285263564e-69,6.295302187806081,2.1344255245669523,1.0
