,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1635,DSE_code_potential_somatic,ENSG00000028277,1635,-1.0,1.914419201882306,-0.2939484405422057,2.200584761537425e-12,7.936581341473426,2.5420192225706137,1.0
1631,DSE_code_potential_somatic,ENSG00000028277,1631,-1.0,1.914419201882306,-0.15303601756386634,0.0003237671838138839,9.5992674664646,3.028291720462066,1.0
1633,DSE_code_potential_somatic,ENSG00000028277,1633,-1.0,1.914419201882306,-0.15277992585153233,0.0003314232449802602,9.529057665529756,2.386796608847808,1.0
1628,DSE_code_potential_somatic,ENSG00000028277,1628,-1.0,1.914419201882306,-0.2409649465718457,1.1142824862848704e-08,4.014556829959215,1.316185681239844,1.0
2200,DSE_code_potential_somatic,ENSG00000169083,2200,1.0,1.4065203025013187,0.4223688818818541,4.044150961655349e-25,6.12383127135308,2.2265654978898466,1.0
2198,DSE_code_potential_somatic,ENSG00000169083,2198,1.0,1.4065203025013187,0.29772499118955553,1.1139578145517225e-12,8.22990781664808,2.0237455954783807,1.0
2201,DSE_code_potential_somatic,ENSG00000169083,2201,1.0,1.4065203025013187,0.3049596549820448,2.9391888289980374e-13,6.0899146570979505,1.7964046312875892,1.0
3055,DSE_code_potential_somatic,ENSG00000124782,3055,-1.0,2.886494480512919,-0.19280315202813042,5.472192633314826e-06,6.02952414111639,1.703376583816211,1.0
2500,DSE_code_potential_somatic,ENSG00000184058,2500,-1.0,1.4029033535160778,-0.4294196751368483,5.36936576208349e-26,4.326305758689937,1.3992701521742674,1.0
2501,DSE_code_potential_somatic,ENSG00000184058,2501,-1.0,1.4029033535160778,-0.332835976746405,1.2142721685346405e-15,9.220903124400156,2.546200951549993,1.0
2497,DSE_code_potential_somatic,ENSG00000184058,2497,-1.0,1.4029033535160778,0.3833071213626891,1.2726591206046816e-20,-4.702291380258464,1.5755350845075284,1.0
362,DSE_code_potential_somatic,ENSG00000163497,362,-1.0,6.517089152518435,-0.22806799057821933,6.737093029244654e-08,7.90170620270748,2.1211566442866263,1.0
361,DSE_code_potential_somatic,ENSG00000163497,361,-1.0,6.517089152518435,-0.23103258225524304,4.496299133309155e-08,5.239581427431655,1.9757239038237637,1.0
2607,DSE_code_potential_somatic,ENSG00000196482,2607,1.0,3.266328066184742,0.4543449801831537,2.881577974829384e-29,12.094433982610006,3.6793353263821493,1.0
2613,DSE_code_potential_somatic,ENSG00000196482,2613,1.0,3.266328066184742,-0.219451930192841,2.1154992723809475e-07,-4.416112334759389,1.5128515620160619,1.0
2608,DSE_code_potential_somatic,ENSG00000196482,2608,1.0,3.266328066184742,0.25842884088530443,8.22821973489768e-10,4.835038725843924,1.4667408125127654,1.0
2611,DSE_code_potential_somatic,ENSG00000196482,2611,1.0,3.266328066184742,0.11045515562128966,0.009661715435626637,8.521549369339999,3.0046572344518108,1.0
31,DSE_code_potential_somatic,ENSG00000261678,31,-1.0,2.0871137121681067,-0.23690966716517176,1.984404634231846e-08,4.865472397882589,1.886916521134308,1.0
1820,DSE_code_potential_somatic,ENSG00000096401,1820,1.0,1.8107067026683838,0.08937549717121475,0.036471025480254764,10.259028462220074,2.8910578724214413,1.0
221,DSE_code_potential_somatic,ENSG00000020633,221,1.0,1.5595448508107628,0.6379715611320159,5.8828214436437776e-64,6.352325988360826,2.2887534787668478,1.0
225,DSE_code_potential_somatic,ENSG00000020633,225,1.0,1.5595448508107628,0.27216401944984475,9.211612199068446e-11,3.851078498355066,1.331730841019172,1.0
229,DSE_code_potential_somatic,ENSG00000020633,229,1.0,1.5595448508107628,0.42433798797521083,2.312105141085476e-25,4.946908947270363,1.668625933636026,1.0
230,DSE_code_potential_somatic,ENSG00000020633,230,1.0,1.5595448508107628,0.4287268399062932,6.561586503023197e-26,5.3580411991760934,1.7780953176664225,1.0
3239,DSE_code_potential_somatic,ENSG00000117505,3239,1.0,1.452034710946248,0.3595205338958018,3.6515292730432e-18,3.9205410921338353,1.314144317222928,1.0
2895,DSE_code_potential_somatic,ENSG00000183918,2895,-1.0,1.5755350845075284,-0.2267472723889433,8.05272998500757e-08,4.17243724481923,1.4554719603335164,1.0
3318,DSE_code_potential_somatic,ENSG00000091831,3318,-1.0,1.3521912256110982,-0.3783348161422657,4.3194077751375884e-20,7.776653518284255,2.2727269373762353,1.0
344,DSE_code_potential_somatic,ENSG00000159216,344,1.0,1.5547732900875406,0.46056329822208036,3.988216844167444e-30,5.518843942322703,2.0399611500191313,0.8333333333333334
349,DSE_code_potential_somatic,ENSG00000159216,349,1.0,1.5547732900875406,0.5700792564473387,1.503842326774578e-48,4.412449055391015,1.5429101898435362,0.8333333333333334
352,DSE_code_potential_somatic,ENSG00000159216,352,1.0,1.5547732900875406,0.46592890086122507,7.004613737833904e-31,3.8063947768957878,1.3094422647761157,0.8333333333333334
347,DSE_code_potential_somatic,ENSG00000159216,347,1.0,1.5547732900875406,0.3472463614668893,5.655914319236252e-17,4.328523101367591,1.4178553252316146,0.8333333333333334
353,DSE_code_potential_somatic,ENSG00000159216,353,1.0,1.5547732900875406,0.23267703998523537,3.584351035534705e-08,12.557349480383179,9.753840517898347,0.8333333333333334
1522,DSE_code_potential_somatic,ENSG00000113916,1522,1.0,3.819454821828648,0.20905214200810465,7.922529811932706e-07,7.547059258428376,1.9093070840139743,1.0
