,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
107,DVL2_code_potential_somatic,ENSG00000057657,107,-1.0,2.1048507572830437,0.4791201762132656,8.518674804720277e-33,-3.6420642425732423,1.5799733639464504,1.0
109,DVL2_code_potential_somatic,ENSG00000057657,109,-1.0,2.1048507572830437,0.38778133355384053,4.162238320481003e-21,-2.882361584030078,1.349935412989596,1.0
111,DVL2_code_potential_somatic,ENSG00000057657,111,-1.0,2.1048507572830437,0.30562263500725584,2.596515299717595e-13,-3.5813041599860105,1.5816494884054524,1.0
663,DVL2_code_potential_somatic,ENSG00000131408,663,-1.0,1.8208771042224723,0.40820625183163556,2.0267069043517423e-23,-2.9836351855989096,1.3295178774664846,1.0
800,DVL2_code_potential_somatic,ENSG00000126561,800,-1.0,1.301640661069674,0.5647726453216558,1.7151549158615316e-47,-3.125845843522765,1.3555919212574152,0.5
924,DVL2_code_potential_somatic,ENSG00000106459,924,-1.0,1.3110985680664313,0.662848041726032,1.2585998410611911e-70,-5.621378178871277,2.8693236920400764,1.0
937,DVL2_code_potential_somatic,ENSG00000106459,937,-1.0,1.3110985680664313,0.4553428044973847,2.1037844305876652e-29,-4.212592702428155,2.765212257305728,1.0
939,DVL2_code_potential_somatic,ENSG00000106459,939,-1.0,1.3110985680664313,0.17608128199277853,3.3985269343626105e-05,-3.545729842800223,1.5657375174837134,1.0
931,DVL2_code_potential_somatic,ENSG00000106459,931,-1.0,1.3110985680664313,0.37556710058607234,8.45086223838579e-20,-4.125969682506748,1.8332801152531215,1.0
923,DVL2_code_potential_somatic,ENSG00000106459,923,-1.0,1.3110985680664313,0.7121543007985294,6.132342355537881e-86,-3.0200647735697896,1.619927212385534,1.0
