,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1545,EGR1_code_potential_somatic,ENSG00000164048,1545,-1.0,2.56391149872629,0.2715641873240874,1.0162624710567647e-10,-3.7099449918571397,1.34254483709677,1.0
1573,EGR1_code_potential_somatic,ENSG00000105866,1573,-1.0,1.4398058875508861,0.2605493998506764,5.915990779892945e-10,-6.2983213747179105,2.3226656157472094,1.0
3646,EGR1_code_potential_somatic,ENSG00000198353,3646,-1.0,1.4398058875508861,0.27271791257253536,8.410853905558882e-11,-4.910504765651766,2.790087169496633,0.5
1549,EGR1_code_potential_somatic,ENSG00000134323,1549,-1.0,1.4398058875508861,0.41189610172557833,7.441609030900848e-24,-7.2391226438052225,2.9180401339071618,1.0
3614,EGR1_code_potential_somatic,ENSG00000160224,3614,1.0,1.6302599761095729,-0.20353212567079593,1.5547991694159959e-06,-3.852964673823963,1.3693636730954941,1.0
1707,EGR1_code_potential_somatic,ENSG00000170365,1707,1.0,1.6714684491924103,0.38321594459668734,1.3017449986137167e-20,3.225691797319703,1.336934362151228,0.5
1724,EGR1_code_potential_somatic,ENSG00000170365,1724,1.0,1.6714684491924103,0.1532552851546945,0.00031734351391135877,4.355659566358129,1.5063697670306786,0.5
955,EGR1_code_potential_somatic,ENSG00000001167,955,-1.0,1.3071815711155217,0.4370086212924946,5.790887624293305e-27,-3.98230238516272,2.56391149872629,1.0
1758,EGR1_code_potential_somatic,ENSG00000116017,1758,1.0,2.137718147221167,0.2685184314207614,1.66745895491763e-10,6.0657414286403935,4.450469368517313,1.0
3349,EGR1_code_potential_somatic,ENSG00000102974,3349,-1.0,4.071906301110446,0.41531658863963455,2.9070053851603305e-24,-4.908738363546888,1.8856290586539444,0.5
2686,EGR1_code_potential_somatic,ENSG00000102034,2686,1.0,2.6684820683535966,0.589135020875905,1.652764007935638e-52,8.75074643209766,4.888546707917893,0.75
2682,EGR1_code_potential_somatic,ENSG00000102034,2682,1.0,2.6684820683535966,0.6909881364892289,5.475214196736149e-79,5.710071821942486,1.7212323348065262,0.75
2691,EGR1_code_potential_somatic,ENSG00000102034,2691,1.0,2.6684820683535966,0.23000496195931464,5.176064929283681e-08,5.530429913297376,1.8798162429631644,0.75
3633,EGR1_code_potential_somatic,ENSG00000076604,3633,-1.0,1.482355650739134,-0.32719858052855666,3.859965717150536e-15,4.9366703208790765,3.6836943245345837,1.0
3635,EGR1_code_potential_somatic,ENSG00000076604,3635,-1.0,1.482355650739134,-0.2935314894000855,2.3709099573033634e-12,5.2050557269624385,2.1499345208911445,1.0
1432,EGR1_code_potential_somatic,ENSG00000116035,1432,-1.0,4.174027169758632,0.15741495250381057,0.00021588380434739752,-3.055214295256207,1.7189533544140352,1.0
3476,EGR1_code_potential_somatic,ENSG00000177463,3476,-1.0,2.1684833984117495,-0.2645210818824812,3.1638269667626865e-10,5.3850946178650325,5.094538779546009,1.0
3456,EGR1_code_potential_somatic,ENSG00000278129,3456,-1.0,1.7424183501086772,0.4641152581877705,1.2653664972042257e-30,-7.6814752967795155,2.4007482529218795,1.0
390,EGR1_code_potential_somatic,ENSG00000168610,390,1.0,1.543086638165396,0.4318538719662096,2.644574074210169e-26,5.909248816699314,1.9264663802454731,0.5
393,EGR1_code_potential_somatic,ENSG00000168610,393,1.0,1.543086638165396,0.5050356166737949,8.25080988383053e-37,8.724223623485194,3.2476743675852613,0.5
2134,EGR1_code_potential_somatic,ENSG00000175592,2134,1.0,1.6177937286057873,0.4621647464527981,2.3807801320330254e-30,7.026121407246456,2.28828410096472,1.0
2137,EGR1_code_potential_somatic,ENSG00000175592,2137,1.0,1.6177937286057873,0.5059136257781102,5.9483561668662806e-37,4.495779192343831,1.949457142254306,1.0
2138,EGR1_code_potential_somatic,ENSG00000175592,2138,1.0,1.6177937286057873,0.6028789025274255,1.5681961555226815e-55,5.0716923144882164,1.6710611627971756,1.0
1874,EGR1_code_potential_somatic,ENSG00000118513,1874,-1.0,1.6653921864884444,0.33191440754171153,1.4693881017477678e-15,-3.837294259631056,1.6017640109779463,1.0
1514,EGR1_code_potential_somatic,ENSG00000177426,1514,1.0,3.8101799068017566,0.277623906423855,3.7247063661707246e-11,3.1014422718490215,2.0615580371711504,1.0
