,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1436,FAM126B_code_potential_somatic,ENSG00000221869,1436,1.0,1.3140963972999742,-0.01286357713016423,0.7638312995092155,-6.138911737968414,2.5273642709067334,1.0
1437,FAM126B_code_potential_somatic,ENSG00000221869,1437,1.0,1.3140963972999742,0.2290011176303175,5.935437413282454e-08,4.676121939906885,1.6950125091608723,1.0
3508,FAM126B_code_potential_somatic,ENSG00000111145,3508,1.0,1.5304733033893252,0.3742587869463521,1.158009875598377e-19,4.135469205632681,1.5368274770388144,1.0
3674,FAM126B_code_potential_somatic,ENSG00000170370,3674,1.0,5.391762643134908,0.25008194278523216,2.9300609578315876e-09,4.5914743816928185,2.340644788912384,1.0
3675,FAM126B_code_potential_somatic,ENSG00000170370,3675,1.0,5.391762643134908,0.27726361338551714,3.9565054352759463e-11,5.490113854729361,2.3191135545432093,1.0
2528,FAM126B_code_potential_somatic,ENSG00000112333,2528,1.0,1.6045561355043458,0.5900396803607918,1.0560480916954014e-52,6.359537927798007,2.257997904038166,1.0
2529,FAM126B_code_potential_somatic,ENSG00000112333,2529,1.0,1.6045561355043458,-0.2800459856712603,2.476477360786239e-11,-4.240155155624439,1.6207808145846199,1.0
2521,FAM126B_code_potential_somatic,ENSG00000112333,2521,1.0,1.6045561355043458,-0.22798156343844547,6.816424123189805e-08,-6.04685633849786,2.5147934073833684,1.0
1449,FAM126B_code_potential_somatic,ENSG00000007372,1449,1.0,1.8319880595571327,0.2154539973021409,3.5420220929641463e-07,4.6009647003746466,1.5943791430501824,1.0
1452,FAM126B_code_potential_somatic,ENSG00000007372,1452,1.0,1.8319880595571327,0.3036201319878602,3.7721184305924064e-13,11.686448116233993,10.265444345483461,1.0
1454,FAM126B_code_potential_somatic,ENSG00000007372,1454,1.0,1.8319880595571327,0.22650342132548315,8.321380709547795e-08,4.194736149317789,1.3705021230051266,1.0
1444,FAM126B_code_potential_somatic,ENSG00000007372,1444,1.0,1.8319880595571327,0.08199419316417426,0.055075137986699246,5.935084537086305,1.7834553709410823,1.0
1443,FAM126B_code_potential_somatic,ENSG00000007372,1443,1.0,1.8319880595571327,-0.27238496417888014,8.883658235944623e-11,-4.467731313028791,1.6439261903071756,1.0
1446,FAM126B_code_potential_somatic,ENSG00000007372,1446,1.0,1.8319880595571327,0.3243926553888602,6.803227275682828e-15,8.715598995674505,3.231974139057068,1.0
1709,FAM126B_code_potential_somatic,ENSG00000170365,1709,1.0,3.0750167047367714,0.5748467770179856,1.6254511934235935e-49,4.320048256763601,1.3869373016242217,1.0
1726,FAM126B_code_potential_somatic,ENSG00000170365,1726,1.0,3.0750167047367714,0.4206630135679752,6.544785230495561e-25,3.7223738783344644,3.2937585004318666,1.0
1708,FAM126B_code_potential_somatic,ENSG00000170365,1708,1.0,3.0750167047367714,0.30805754800789886,1.6424453224872896e-13,3.755155626557963,3.0263654488779967,1.0
3604,FAM126B_code_potential_somatic,ENSG00000166478,3604,1.0,1.7830673226239466,0.38750971008332685,4.456637548235481e-21,9.527426982071216,4.982931724971563,1.0
3105,FAM126B_code_potential_somatic,ENSG00000184486,3105,1.0,2.184356531399846,-0.3063553985656969,2.2632284740381152e-13,-6.978550465788602,3.213397281272347,1.0
3111,FAM126B_code_potential_somatic,ENSG00000184486,3111,1.0,2.184356531399846,0.2796324617246071,2.6559539321919494e-11,11.118465951341355,10.887435585041795,1.0
3101,FAM126B_code_potential_somatic,ENSG00000184486,3101,1.0,2.184356531399846,-0.39465227711252515,7.232332742464199e-22,-5.850959722110163,2.9182597416138853,1.0
3110,FAM126B_code_potential_somatic,ENSG00000184486,3110,1.0,2.184356531399846,0.26887580769699976,1.573844320577644e-10,3.2648292384042055,1.3382518144398452,1.0
1763,FAM126B_code_potential_somatic,ENSG00000116017,1763,1.0,1.9097850829629923,0.10612682650377135,0.012929118521684267,4.049107590286345,1.7156430970154035,0.5
3001,FAM126B_code_potential_somatic,ENSG00000069011,3001,1.0,1.591120019491853,0.20918727626610145,7.791043076192827e-07,6.16817772898255,2.7484981543008207,1.0
710,FAM126B_code_potential_somatic,ENSG00000168310,710,1.0,3.510524107832933,0.3264202425623114,4.519748871648558e-15,4.578973073207062,1.44214345282233,1.0
712,FAM126B_code_potential_somatic,ENSG00000168310,712,1.0,3.510524107832933,0.6305761837478454,4.321443278227655e-62,4.467900780245367,1.6867010149436126,1.0
3714,FAM126B_code_potential_somatic,ENSG00000163435,3714,-1.0,1.4574167863006111,-0.12412638417679896,0.0036102202896085302,11.118465951341355,10.887435585041795,1.0
3717,FAM126B_code_potential_somatic,ENSG00000163435,3717,-1.0,1.4574167863006111,0.32730183390687817,3.779874815497097e-15,-7.7286911420394615,12.550885721416728,1.0
