,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2203,FAM47A_code_potential_somatic,ENSG00000169083,2203,1.0,5.620952589365356,0.4748926212262841,3.574342057785658e-32,5.832640002412623,3.1167539431486437,1.0
2201,FAM47A_code_potential_somatic,ENSG00000169083,2201,1.0,5.620952589365356,0.3049596549820448,2.9391888289980374e-13,5.564999590783645,2.1844164158712402,1.0
1036,FAM47A_code_potential_somatic,ENSG00000137203,1036,-1.0,1.6319809775224385,-0.2227410898933683,1.3742325448913637e-07,4.650547274356313,1.951571130950007,1.0
1505,FAM47A_code_potential_somatic,ENSG00000165495,1505,-1.0,1.6041202428858443,0.40147655247761804,1.2205230895498734e-22,-13.73039649191626,8.427637402066033,1.0
366,FAM47A_code_potential_somatic,ENSG00000163497,366,-1.0,2.3987619941634204,0.2894018731355593,4.928790824080555e-12,-3.6124851914317606,2.317763416311755,1.0
2529,FAM47A_code_potential_somatic,ENSG00000112333,2529,1.0,1.951571130950007,-0.2800459856712603,2.476477360786239e-11,-3.201564272266023,1.4699839279319775,1.0
2527,FAM47A_code_potential_somatic,ENSG00000112333,2527,1.0,1.951571130950007,-0.18415378569834248,1.436266628702184e-05,-4.428439234751154,1.4571858651029754,1.0
2523,FAM47A_code_potential_somatic,ENSG00000112333,2523,1.0,1.951571130950007,-0.24814849410854162,3.906972018939778e-09,-4.074093268048868,1.9294267740780444,1.0
1449,FAM47A_code_potential_somatic,ENSG00000007372,1449,1.0,1.5015199815075755,0.2154539973021409,3.5420220929641463e-07,3.1782760401621655,1.426348313819291,1.0
3259,FAM47A_code_potential_somatic,ENSG00000184481,3259,-1.0,1.635436997213306,-0.22017601638403608,1.9249384956311133e-07,3.0850450564105403,2.612175683373955,1.0
3258,FAM47A_code_potential_somatic,ENSG00000184481,3258,-1.0,1.635436997213306,0.3408873825757153,2.2324339101400756e-16,-3.474862864315519,1.4996962966315013,1.0
1476,FAM47A_code_potential_somatic,ENSG00000087510,1476,-1.0,1.5427228161305155,0.22488433575678962,1.0337572531428442e-07,-3.4922423786133887,1.3288496883947116,1.0
1475,FAM47A_code_potential_somatic,ENSG00000087510,1475,-1.0,1.5427228161305155,0.3591236935088842,3.997301619713854e-18,-7.542937517933392,9.535286791405944,1.0
1371,FAM47A_code_potential_somatic,ENSG00000173153,1371,-1.0,1.3834859107691568,0.4110246461293073,9.438912001866733e-24,-4.723312581029852,1.8211698618280272,0.5
3191,FAM47A_code_potential_somatic,ENSG00000176165,3191,1.0,3.0175070193150946,0.28828343227354974,5.996967986635382e-12,6.190465756623953,6.6460949932539695,0.6666666666666666
3183,FAM47A_code_potential_somatic,ENSG00000176165,3183,1.0,3.0175070193150946,-0.2757609704709193,5.084543056135608e-11,-5.675062265037911,1.815034408423769,0.6666666666666666
852,FAM47A_code_potential_somatic,ENSG00000113580,852,1.0,4.554083221047452,0.33480957955093094,8.053936466756273e-16,5.625568449876954,3.939632673107092,1.0
851,FAM47A_code_potential_somatic,ENSG00000113580,851,1.0,4.554083221047452,-0.33467030416068094,8.291506310731383e-16,-3.7647437361110336,2.6572852659481465,1.0
849,FAM47A_code_potential_somatic,ENSG00000113580,849,1.0,4.554083221047452,0.36114101399921844,2.520312311746452e-18,5.862523596156139,2.876973531104377,1.0
