,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1934,FAM75A6_code_potential_somatic,ENSG00000006468,1934,1.0,1.591909818939102,0.4887761171435828,2.984075155559033e-34,7.801281044146334,2.4704220601279654,1.0
1933,FAM75A6_code_potential_somatic,ENSG00000006468,1933,1.0,1.591909818939102,0.4589397555184592,6.709998790355674e-30,5.718399724017016,2.2882531881398043,1.0
1927,FAM75A6_code_potential_somatic,ENSG00000006468,1927,1.0,1.591909818939102,0.4984914141826245,9.177637982013544e-36,5.625282450427449,1.8215812011359005,1.0
2207,FAM75A6_code_potential_somatic,ENSG00000169083,2207,1.0,1.6921955149278487,0.40309790760966463,7.948869748237142e-23,5.823641144125204,2.3805337137233993,1.0
2364,FAM75A6_code_potential_somatic,ENSG00000148516,2364,1.0,1.3688057924370889,-0.5002130330118405,4.894209518590839e-36,-9.31859827491741,11.04367351034416,1.0
560,FAM75A6_code_potential_somatic,ENSG00000181449,560,1.0,1.5925670981754203,0.7759856705311577,2.31757765165303e-111,6.1214220754230935,2.2760713894930293,1.0
1889,FAM75A6_code_potential_somatic,ENSG00000185697,1889,1.0,1.377845354133997,0.5169485389100075,8.969962979303061e-39,3.8649276018327616,1.370673409679887,1.0
949,FAM75A6_code_potential_somatic,ENSG00000001167,949,1.0,1.6039267298340452,0.3478501312214809,4.9565070544709605e-17,4.1160345143246815,1.448287800678464,1.0
955,FAM75A6_code_potential_somatic,ENSG00000001167,955,1.0,1.6039267298340452,0.4370086212924946,5.790887624293305e-27,6.685282457455908,1.9673346376003746,1.0
3549,FAM75A6_code_potential_somatic,ENSG00000167157,3549,-1.0,2.2011985393558207,-0.34601186181597215,7.401690541142171e-17,7.133721532311329,2.373782236359335,1.0
3553,FAM75A6_code_potential_somatic,ENSG00000167157,3553,-1.0,2.2011985393558207,-0.3781314885066346,4.538711291597494e-20,3.97751115233029,1.3981017428678237,1.0
3727,FAM75A6_code_potential_somatic,ENSG00000124813,3727,-1.0,4.263559916597724,-0.441509331050092,1.504886531202862e-27,4.384582378104299,1.5866594898228474,1.0
3735,FAM75A6_code_potential_somatic,ENSG00000124813,3735,-1.0,4.263559916597724,0.5087771569692713,2.0327063980921514e-37,-6.733111853902841,3.0700268405891746,1.0
3736,FAM75A6_code_potential_somatic,ENSG00000124813,3736,-1.0,4.263559916597724,-0.30137108965200626,5.718293280174093e-13,4.327214483523241,2.770334185077189,1.0
2463,FAM75A6_code_potential_somatic,ENSG00000109906,2463,-1.0,1.828945977446935,-0.21330273941567196,4.655229505089084e-07,2.99534760765272,1.3195280862913388,1.0
1874,FAM75A6_code_potential_somatic,ENSG00000118513,1874,1.0,1.7538055759454707,0.33191440754171153,1.4693881017477678e-15,3.6733657050160953,1.3079222984075172,1.0
1880,FAM75A6_code_potential_somatic,ENSG00000118513,1880,1.0,1.7538055759454707,0.229900468955196,5.2505052470127786e-08,4.437428449613521,1.4401344516729313,1.0
844,FAM75A6_code_potential_somatic,ENSG00000113580,844,1.0,2.1508362537385954,0.19806338663643153,2.978117376775888e-06,4.060276561219097,2.3786904470151478,1.0
2353,FAM75A6_code_potential_somatic,ENSG00000155959,2353,1.0,2.2439455524188014,0.5774814882224429,4.679188468862829e-50,4.738384460748064,3.669847989108324,1.0
2355,FAM75A6_code_potential_somatic,ENSG00000155959,2355,1.0,2.2439455524188014,0.28253828596621067,1.620404687997945e-11,4.86996014480842,1.5974228913333663,1.0
934,FAM75A6_code_potential_somatic,ENSG00000106459,934,1.0,1.4352095319467886,0.3546838131443446,1.0905029443514757e-17,5.643339765461389,2.3547532726193348,1.0
930,FAM75A6_code_potential_somatic,ENSG00000106459,930,1.0,1.4352095319467886,0.22313339439574792,1.304730634689222e-07,4.056915211910055,1.5297070764916574,1.0
926,FAM75A6_code_potential_somatic,ENSG00000106459,926,1.0,1.4352095319467886,0.6328333200985253,1.1788917713746272e-62,3.3984953509949842,1.3074029075895301,1.0
920,FAM75A6_code_potential_somatic,ENSG00000106459,920,1.0,1.4352095319467886,0.7131916472392081,2.6962513095890753e-86,9.462693561364043,4.23239290315382,1.0
