,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2413,FGG_code_potential_somatic,ENSG00000198815,2413,1.0,1.3439478034245669,0.22846676681369338,6.382464698239084e-08,3.2547674543143317,1.4147793459890152,1.0
2419,FGG_code_potential_somatic,ENSG00000198815,2419,1.0,1.3439478034245669,0.40728419041293845,2.5982494167875692e-23,4.366721778175843,1.8996465868049552,1.0
1922,FGG_code_potential_somatic,ENSG00000006468,1922,1.0,1.4524826402992628,0.4905505293667995,1.5931241134102757e-34,3.430763179402594,1.4290121775770157,1.0
1932,FGG_code_potential_somatic,ENSG00000006468,1932,1.0,1.4524826402992628,0.540120244975932,7.999384660910738e-43,4.369497053720739,1.7293375092633632,1.0
1929,FGG_code_potential_somatic,ENSG00000006468,1929,1.0,1.4524826402992628,0.25746820528784176,9.545323814512847e-10,3.126527315030469,1.3781779322928376,1.0
1927,FGG_code_potential_somatic,ENSG00000006468,1927,1.0,1.4524826402992628,0.4984914141826245,9.177637982013544e-36,5.432370507148247,2.0921288220175067,1.0
1930,FGG_code_potential_somatic,ENSG00000006468,1930,1.0,1.4524826402992628,0.15684611097536016,0.00022769185105046336,3.0852764995642628,1.353661588270511,1.0
1931,FGG_code_potential_somatic,ENSG00000006468,1931,1.0,1.4524826402992628,0.307037410463607,1.9908923655259898e-13,6.2589563045699705,2.47268484107329,1.0
2203,FGG_code_potential_somatic,ENSG00000169083,2203,1.0,3.502437348638588,0.4748926212262841,3.574342057785658e-32,4.4489912956576845,1.864204560859602,1.0
3675,FGG_code_potential_somatic,ENSG00000170370,3675,1.0,1.5985571379203822,0.27726361338551714,3.9565054352759463e-11,7.0528107038642665,2.735691196857423,1.0
3676,FGG_code_potential_somatic,ENSG00000170370,3676,1.0,1.5985571379203822,-0.24996045964378896,2.9837283379059956e-09,-4.854399953716748,2.3308808216308385,1.0
