,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1526,FLT1_code_potential_somatic,ENSG00000113916,1526,-1.0,1.83567959892339,0.2997373382810369,7.718583792617932e-13,-3.0109395243090815,1.3715498938950232,1.0
1538,FLT1_code_potential_somatic,ENSG00000113916,1538,-1.0,1.83567959892339,0.6841581243819654,7.158883160947051e-77,-3.0418459444589225,1.4323425962780396,1.0
121,FLT1_code_potential_somatic,ENSG00000196843,121,-1.0,1.4102072089500501,0.3782272605398475,4.4340798692102234e-20,-3.006622192045173,1.324286660865159,1.0
125,FLT1_code_potential_somatic,ENSG00000196843,125,-1.0,1.4102072089500501,0.41849826565679615,1.2008458094252178e-24,-3.201832119825648,1.712238279707578,1.0
806,FLT1_code_potential_somatic,ENSG00000126561,806,-1.0,1.5033833456716588,0.30981256376315397,1.1775515344377468e-13,-4.26010273863057,2.2289978706895894,0.8333333333333334
789,FLT1_code_potential_somatic,ENSG00000126561,789,-1.0,1.5033833456716588,0.49281634308472533,7.110148695212294e-35,-3.8044100378193044,1.8240492830832655,0.8333333333333334
809,FLT1_code_potential_somatic,ENSG00000126561,809,-1.0,1.5033833456716588,0.520453684844001,2.2912884763666564e-39,-3.201832119825648,1.712238279707578,0.8333333333333334
795,FLT1_code_potential_somatic,ENSG00000126561,795,-1.0,1.5033833456716588,0.5945296710176737,1.119601462237606e-53,-3.3282415165956594,1.4188606891960875,0.8333333333333334
799,FLT1_code_potential_somatic,ENSG00000126561,799,-1.0,1.5033833456716588,0.37370467506650407,1.3227228291549273e-19,-6.049282763502457,2.5385763699054156,0.8333333333333334
1833,FLT1_code_potential_somatic,ENSG00000112658,1833,-1.0,2.879790166581344,-0.26783481530369657,1.861883407766035e-10,3.55571780053045,1.6720835298005035,1.0
1839,FLT1_code_potential_somatic,ENSG00000112658,1839,-1.0,2.879790166581344,0.43930433182194023,2.919581539654522e-27,-5.001265690521208,2.8609085034873716,1.0
1829,FLT1_code_potential_somatic,ENSG00000112658,1829,-1.0,2.879790166581344,0.20757429157135235,9.506884319138885e-07,-3.2812837605938925,1.4913411960536125,1.0
1828,FLT1_code_potential_somatic,ENSG00000112658,1828,-1.0,2.879790166581344,-0.3375231162511266,4.557683807310414e-16,5.094603945537422,2.497353856326047,1.0
381,FLT1_code_potential_somatic,ENSG00000168610,381,-1.0,1.4770002394235324,0.6895553864603211,1.539030800573697e-78,-3.204871790314264,1.5333994519213783,1.0
391,FLT1_code_potential_somatic,ENSG00000168610,391,-1.0,1.4770002394235324,0.579698128607226,1.6269067934269407e-50,-3.034523025250964,1.346619330694283,1.0
399,FLT1_code_potential_somatic,ENSG00000168610,399,-1.0,1.4770002394235324,0.6022359497607409,2.1882294656626997e-55,-7.209842112719941,3.9534952381693746,1.0
2140,FLT1_code_potential_somatic,ENSG00000175592,2140,-1.0,1.4929166218140306,0.7417272058870178,8.857405543262781e-97,-3.5600723189307124,1.4881537607248736,1.0
2137,FLT1_code_potential_somatic,ENSG00000175592,2137,-1.0,1.4929166218140306,0.5059136257781102,5.9483561668662806e-37,-3.146039265024127,1.5257053774836473,1.0
