,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2319,FOXR2_code_potential_somatic,ENSG00000135457,2319,-1.0,1.319501817874875,0.22371980941584768,1.2071244827089224e-07,-5.814337882623342,2.156617217228241,1.0
3703,FOXR2_code_potential_somatic,ENSG00000162772,3703,-1.0,1.789077641458399,0.22458535856886738,1.0758219154562867e-07,-3.676936322730628,1.534920358732883,1.0
2185,FOXR2_code_potential_somatic,ENSG00000136997,2185,-1.0,1.789077641458399,0.2573077833723706,9.784390088048002e-10,-4.544934646908167,1.7937450253465401,1.0
2957,FOXR2_code_potential_somatic,ENSG00000099326,2957,-1.0,1.657283213143337,0.41592837948999983,2.4543388813726996e-24,-3.7451706236504134,1.560918266392699,1.0
2954,FOXR2_code_potential_somatic,ENSG00000099326,2954,-1.0,1.657283213143337,0.2269687177994022,7.816035144319663e-08,-3.7361725964881853,1.5272884861969782,1.0
2950,FOXR2_code_potential_somatic,ENSG00000099326,2950,-1.0,1.657283213143337,0.3406215926294005,2.3626796039625614e-16,-3.215093045436991,1.3689582164081997,1.0
2952,FOXR2_code_potential_somatic,ENSG00000099326,2952,-1.0,1.657283213143337,0.6748517573892705,4.433728282902681e-74,-6.8235019494019244,2.5464431208703986,1.0
2113,FOXR2_code_potential_somatic,ENSG00000069667,2113,-1.0,3.04232660828759,0.22245043455015545,1.4280152349632248e-07,-5.439064393014497,2.203756449845808,1.0
101,FOXR2_code_potential_somatic,ENSG00000057657,101,-1.0,2.170846940714354,0.33171183236318186,1.5321605518351249e-15,-5.3613220447737495,2.12754322752099,1.0
104,FOXR2_code_potential_somatic,ENSG00000057657,104,-1.0,2.170846940714354,0.40473180481873894,5.1473728401887207e-23,-6.803959169636355,2.5686044273605178,1.0
103,FOXR2_code_potential_somatic,ENSG00000057657,103,-1.0,2.170846940714354,0.45062778564452827,9.218547571241051e-29,-3.4614639508011056,1.5428854990555267,1.0
100,FOXR2_code_potential_somatic,ENSG00000057657,100,-1.0,2.170846940714354,0.33354137139007856,1.048899513197551e-15,-3.1540057028112845,1.4098169033404349,1.0
110,FOXR2_code_potential_somatic,ENSG00000057657,110,-1.0,2.170846940714354,0.3857823306489643,6.872456776722293e-21,-5.171227445983431,2.1268094924412635,1.0
3463,FOXR2_code_potential_somatic,ENSG00000150347,3463,-1.0,1.3667767733429732,0.4458585150166216,4.014154139911832e-28,-3.6929307970002094,1.615073068220735,1.0
1641,FOXR2_code_potential_somatic,ENSG00000138795,1641,-1.0,2.039080582344111,0.42104561983637406,5.876351965027431e-25,-4.426969396797748,1.9442233570918157,1.0
1644,FOXR2_code_potential_somatic,ENSG00000138795,1644,-1.0,2.039080582344111,0.41089995454955464,9.76497921677837e-24,-3.332908403870921,1.4414139713972896,1.0
1646,FOXR2_code_potential_somatic,ENSG00000138795,1646,-1.0,2.039080582344111,0.4449703609573309,5.265831785172236e-28,-3.610856986564513,1.6119303988742295,1.0
244,FOXR2_code_potential_somatic,ENSG00000177606,244,-1.0,1.3518137492864364,0.37624823745535263,7.16848975536673e-20,-4.542757316496294,2.2101758441253807,1.0
245,FOXR2_code_potential_somatic,ENSG00000177606,245,-1.0,1.3518137492864364,0.3279626263605146,3.3046020110386858e-15,-8.04178795808775,3.0075150303538662,1.0
236,FOXR2_code_potential_somatic,ENSG00000177606,236,-1.0,1.3518137492864364,0.5406569292022357,6.389904688620846e-43,-4.3826188655563,1.7774824986458495,1.0
250,FOXR2_code_potential_somatic,ENSG00000177606,250,-1.0,1.3518137492864364,0.5698915628062372,1.6402869014388916e-48,-3.7045792915040323,1.5759642048752678,1.0
243,FOXR2_code_potential_somatic,ENSG00000177606,243,-1.0,1.3518137492864364,0.5406951387857389,6.28842195941703e-43,-7.22912519222345,2.993889782961533,1.0
241,FOXR2_code_potential_somatic,ENSG00000177606,241,-1.0,1.3518137492864364,0.47425479827418104,4.4300791038388446e-32,-3.4258883724678553,1.4653754141450728,1.0
2678,FOXR2_code_potential_somatic,ENSG00000102034,2678,-1.0,2.0493859504487206,0.51862214999752,4.6843379447009314e-39,-5.777218962186142,2.3108220302952795,1.0
2687,FOXR2_code_potential_somatic,ENSG00000102034,2687,-1.0,2.0493859504487206,0.3292744096578225,2.52840252463494e-15,-3.419719273649423,1.4322819385457393,1.0
2680,FOXR2_code_potential_somatic,ENSG00000102034,2680,-1.0,2.0493859504487206,0.6020812519880698,2.3705961429946867e-55,-4.600637297075323,2.0772373196644804,1.0
2679,FOXR2_code_potential_somatic,ENSG00000102034,2679,-1.0,2.0493859504487206,0.21903924880832495,2.2321084655994958e-07,-2.855141512341654,1.4685509958861174,1.0
2682,FOXR2_code_potential_somatic,ENSG00000102034,2682,-1.0,2.0493859504487206,0.6909881364892289,5.475214196736149e-79,-4.499978383471854,1.9735701002890438,1.0
2692,FOXR2_code_potential_somatic,ENSG00000102034,2692,-1.0,2.0493859504487206,0.5753680493535116,1.2716446576833584e-49,-5.972901118452589,2.6044107130082406,1.0
2685,FOXR2_code_potential_somatic,ENSG00000102034,2685,-1.0,2.0493859504487206,0.4445374486465286,6.008913461312989e-28,-4.794988516704615,2.243964514429112,1.0
64,FOXR2_code_potential_somatic,ENSG00000166888,64,-1.0,1.5860415489149597,0.45420359014038164,3.0126871941239254e-29,-5.450076564929896,2.242814453141733,1.0
3505,FOXR2_code_potential_somatic,ENSG00000149948,3505,-1.0,1.9068733000877782,0.30313028389722696,4.131155459913165e-13,-10.265925357971748,5.7163015923989375,1.0
3506,FOXR2_code_potential_somatic,ENSG00000149948,3506,-1.0,1.9068733000877782,0.32392738253541986,7.46932481663449e-15,-4.680518720937763,2.2130365648974797,1.0
1835,FOXR2_code_potential_somatic,ENSG00000112658,1835,-1.0,2.1102815140676547,0.3052312055335061,2.7937853788989866e-13,-3.1353664503634397,1.3289517976493712,1.0
1839,FOXR2_code_potential_somatic,ENSG00000112658,1839,-1.0,2.1102815140676547,0.43930433182194023,2.919581539654522e-27,-5.972901118452589,2.6044107130082406,1.0
1829,FOXR2_code_potential_somatic,ENSG00000112658,1829,-1.0,2.1102815140676547,0.20757429157135235,9.506884319138885e-07,-4.507043443337444,1.9957857722101482,1.0
1830,FOXR2_code_potential_somatic,ENSG00000112658,1830,-1.0,2.1102815140676547,0.26864421678630135,1.6339068208860545e-10,-4.423590386539644,2.0046664810158155,1.0
3078,FOXR2_code_potential_somatic,ENSG00000100968,3078,-1.0,1.3610466621016064,0.3499241678313662,3.1426903174990427e-17,-4.469909781761204,1.7908021965678633,1.0
3070,FOXR2_code_potential_somatic,ENSG00000100968,3070,-1.0,1.3610466621016064,0.26067627900200363,5.799813299763835e-10,-3.3972704033528256,1.479513037345979,1.0
3080,FOXR2_code_potential_somatic,ENSG00000100968,3080,-1.0,1.3610466621016064,0.2615669852281313,5.044484278144171e-10,-4.869903962045537,2.095817015859974,1.0
3072,FOXR2_code_potential_somatic,ENSG00000100968,3072,-1.0,1.3610466621016064,0.23128975501167182,4.340184919713596e-08,-3.607381866017185,1.7040266867463068,1.0
3081,FOXR2_code_potential_somatic,ENSG00000100968,3081,-1.0,1.3610466621016064,0.2369518465182283,1.9726345974047266e-08,-3.196724902212318,1.4487898801172276,1.0
3077,FOXR2_code_potential_somatic,ENSG00000100968,3077,-1.0,1.3610466621016064,0.2735208242594688,7.369346362521313e-11,-4.625333007854358,1.8830882133801163,1.0
3193,FOXR2_code_potential_somatic,ENSG00000176165,3193,-1.0,1.6827793858287827,0.24634228917844073,5.100758670109762e-09,-7.346637220803585,3.4594041472022474,0.6666666666666666
3181,FOXR2_code_potential_somatic,ENSG00000176165,3181,-1.0,1.6827793858287827,0.311623581350719,8.333815894908766e-14,-4.93650996808541,1.9474657246237943,0.6666666666666666
1063,FOXR2_code_potential_somatic,ENSG00000005889,1063,-1.0,1.3116049309836613,0.19338555650034342,5.119851180491887e-06,-3.1468881585808126,1.3430087922352998,1.0
1054,FOXR2_code_potential_somatic,ENSG00000005889,1054,-1.0,1.3116049309836613,0.28770314245385886,6.637184825234372e-12,-3.8144558132501083,1.571964741883074,1.0
1048,FOXR2_code_potential_somatic,ENSG00000005889,1048,-1.0,1.3116049309836613,0.2716013760408557,1.0100978515926503e-10,-4.551919204640986,1.7897756923002157,1.0
422,FOXR2_code_potential_somatic,ENSG00000109320,422,-1.0,1.7159877486941733,0.5718680337238952,6.554258150111092e-49,-3.9000791102176455,1.6384685760160194,1.0
411,FOXR2_code_potential_somatic,ENSG00000109320,411,-1.0,1.7159877486941733,0.7727425956718023,7.149457807593363e-110,-4.461158963800657,1.8367053601940988,1.0
413,FOXR2_code_potential_somatic,ENSG00000109320,413,-1.0,1.7159877486941733,0.39830078190370793,2.8078924218017867e-22,-3.533619977580802,1.4614460604488064,1.0
418,FOXR2_code_potential_somatic,ENSG00000109320,418,-1.0,1.7159877486941733,0.6785677123040037,3.5024457586996866e-75,-5.270086369697833,2.0667110283723775,1.0
420,FOXR2_code_potential_somatic,ENSG00000109320,420,-1.0,1.7159877486941733,0.5262670104654155,2.299882507993785e-40,-3.5263644835557524,1.6279956973440342,1.0
409,FOXR2_code_potential_somatic,ENSG00000109320,409,-1.0,1.7159877486941733,0.5335837081919524,1.1949248153257624e-41,-3.013473213622015,1.312887591441785,1.0
416,FOXR2_code_potential_somatic,ENSG00000109320,416,-1.0,1.7159877486941733,0.4076302642360414,2.3671530394626903e-23,-3.359275389469042,1.6233457345524926,1.0
384,FOXR2_code_potential_somatic,ENSG00000168610,384,-1.0,1.9534061611952138,0.37974952560230835,3.057412428882452e-20,-4.021773075323895,1.8156824208547229,1.0
391,FOXR2_code_potential_somatic,ENSG00000168610,391,-1.0,1.9534061611952138,0.579698128607226,1.6269067934269407e-50,-4.942147979369238,2.0052524511341914,1.0
401,FOXR2_code_potential_somatic,ENSG00000168610,401,-1.0,1.9534061611952138,0.36900967922051436,4.0401065309608424e-19,-3.4262181603945203,1.5897578939310173,1.0
398,FOXR2_code_potential_somatic,ENSG00000168610,398,-1.0,1.9534061611952138,0.604971544524183,5.274467627653219e-56,-3.538657285075156,1.4552858814395069,1.0
382,FOXR2_code_potential_somatic,ENSG00000168610,382,-1.0,1.9534061611952138,0.5271250585653939,1.6319322723879584e-40,-2.8901244624097577,1.3434653328886677,1.0
1302,FOXR2_code_potential_somatic,ENSG00000197905,1302,-1.0,2.147774489268888,0.3313758942883746,1.6421121853485538e-15,-3.2574734832838703,1.498801193604174,1.0
1301,FOXR2_code_potential_somatic,ENSG00000197905,1301,-1.0,2.147774489268888,0.4110989506437914,9.249744444527794e-24,-5.514245382295485,3.373646666271753,1.0
179,FOXR2_code_potential_somatic,ENSG00000007866,179,-1.0,1.793960371780307,0.5166101945064682,1.0224439646203403e-38,-4.234840301084864,1.8724829282282676,1.0
181,FOXR2_code_potential_somatic,ENSG00000007866,181,-1.0,1.793960371780307,0.4741027620497459,4.662319751542184e-32,-3.9528580322979665,1.8800330342865752,1.0
186,FOXR2_code_potential_somatic,ENSG00000007866,186,-1.0,1.793960371780307,0.5363189747697891,3.8821898238458e-42,-4.021813690440285,1.6454198355713605,1.0
178,FOXR2_code_potential_somatic,ENSG00000007866,178,-1.0,1.793960371780307,0.378745204569662,3.9081070915576483e-20,-6.34419615031136,2.525763685548033,1.0
177,FOXR2_code_potential_somatic,ENSG00000007866,177,-1.0,1.793960371780307,0.19389103137218272,4.831708707778401e-06,-4.508451286541479,2.2064821142053113,1.0
184,FOXR2_code_potential_somatic,ENSG00000007866,184,-1.0,1.793960371780307,0.5303092781400276,4.5290669432322123e-41,-3.594482830542909,1.507395061564361,1.0
2986,FOXR2_code_potential_somatic,ENSG00000074047,2986,-1.0,1.446718906866428,0.23376375262444787,3.0828365902921786e-08,-7.989879909729787,2.8209379462311768,1.0
