,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1932,GPR15_code_potential_somatic,ENSG00000006468,1932,-1.0,2.2476098608388213,0.540120244975932,7.999384660910738e-43,-8.202652985935357,3.081803344940279,1.0
1927,GPR15_code_potential_somatic,ENSG00000006468,1927,-1.0,2.2476098608388213,0.4984914141826245,9.177637982013544e-36,-4.865003614700457,1.5767100682864865,1.0
2363,GPR15_code_potential_somatic,ENSG00000148516,2363,-1.0,1.500380307785299,0.5007088096496991,4.080975243308675e-36,-3.800566980674588,1.4660381047955808,1.0
3751,GPR15_code_potential_somatic,ENSG00000163666,3751,-1.0,1.3339120125935662,0.24013607570222692,1.2548504380198814e-08,-5.108581818545349,1.6039840265728844,1.0
3614,GPR15_code_potential_somatic,ENSG00000160224,3614,1.0,1.6435117147148943,-0.20353212567079593,1.5547991694159959e-06,-3.95443401297223,1.3029510552931352,1.0
1720,GPR15_code_potential_somatic,ENSG00000170365,1720,1.0,6.194893424477034,-0.214570145466947,3.964274428907616e-07,-3.1851991854899837,1.4117255982009869,0.5714285714285714
1707,GPR15_code_potential_somatic,ENSG00000170365,1707,1.0,6.194893424477034,0.38321594459668734,1.3017449986137167e-20,6.903871360047209,8.707387523261378,0.5714285714285714
1710,GPR15_code_potential_somatic,ENSG00000170365,1710,1.0,6.194893424477034,0.5793861338734011,1.88865570112978e-50,5.941381305600504,3.890592793377062,0.5714285714285714
1723,GPR15_code_potential_somatic,ENSG00000170365,1723,1.0,6.194893424477034,0.35332022686283937,1.479504512321763e-17,6.792340040946477,1.7904410941343722,0.5714285714285714
552,GPR15_code_potential_somatic,ENSG00000181449,552,-1.0,1.5022451756558577,0.017987526029367273,0.674376107723176,-3.5977805075012563,1.377658938038325,0.5
3577,GPR15_code_potential_somatic,ENSG00000134138,3577,-1.0,1.5871491826003923,0.6019454657365405,2.5430605829568647e-55,-13.774983704477844,10.759728644188511,1.0
238,GPR15_code_potential_somatic,ENSG00000177606,238,1.0,1.820993143159338,0.5242632678221274,5.105164133303365e-40,4.835305236386717,1.5041984413586698,0.75
236,GPR15_code_potential_somatic,ENSG00000177606,236,1.0,1.820993143159338,0.5406569292022357,6.389904688620846e-43,3.379366299806117,1.308903217262942,0.75
250,GPR15_code_potential_somatic,ENSG00000177606,250,1.0,1.820993143159338,0.5698915628062372,1.6402869014388916e-48,4.496293155417835,1.4003376786442132,0.75
2170,GPR15_code_potential_somatic,ENSG00000124766,2170,-1.0,1.4108976041018015,0.32636919922557056,4.566691454960954e-15,-3.9429593508055745,1.318728832158082,0.6666666666666666
2159,GPR15_code_potential_somatic,ENSG00000124766,2159,-1.0,1.4108976041018015,-0.21866338355924753,2.343685459478629e-07,3.886224091625512,1.5544869363989426,0.6666666666666666
2,GPR15_code_potential_somatic,ENSG00000147862,2,-1.0,1.6241655921087854,0.24885281923651273,3.5191623201939226e-09,-3.914727371359571,1.3741518876980905,1.0
1840,GPR15_code_potential_somatic,ENSG00000112658,1840,1.0,2.064676857712785,-0.2927077957831933,2.7461294699794085e-12,-4.463405005023248,1.524615125966716,1.0
1839,GPR15_code_potential_somatic,ENSG00000112658,1839,1.0,2.064676857712785,0.43930433182194023,2.919581539654522e-27,6.792340040946477,1.7904410941343722,1.0
3080,GPR15_code_potential_somatic,ENSG00000100968,3080,1.0,1.9438732771505365,0.2615669852281313,5.044484278144171e-10,3.7322020896113766,1.9330886164543253,1.0
3081,GPR15_code_potential_somatic,ENSG00000100968,3081,1.0,1.9438732771505365,0.2369518465182283,1.9726345974047266e-08,6.434759274866177,1.7474397266210389,1.0
3469,GPR15_code_potential_somatic,ENSG00000168505,3469,-1.0,1.4779539259515846,0.19909497214200828,2.638090092708064e-06,-4.152465178794362,1.363365661376849,1.0
3470,GPR15_code_potential_somatic,ENSG00000168505,3470,-1.0,1.4779539259515846,-0.2894993901048419,4.845010039698881e-12,3.5376774095462196,1.434340098707314,1.0
3468,GPR15_code_potential_somatic,ENSG00000168505,3468,-1.0,1.4779539259515846,-0.2843968775467178,1.1777374303801425e-11,5.354550287695592,1.6938573667871375,1.0
2139,GPR15_code_potential_somatic,ENSG00000175592,2139,1.0,4.908650667635913,0.6268982925785104,3.5071788300740385e-61,2.3996846967473187,1.393487978672119,1.0
2140,GPR15_code_potential_somatic,ENSG00000175592,2140,1.0,4.908650667635913,0.7417272058870178,8.857405543262781e-97,3.317286719109581,2.0394565459702645,1.0
2132,GPR15_code_potential_somatic,ENSG00000175592,2132,1.0,4.908650667635913,0.45086644970331796,8.55900065237079e-29,8.55576914752166,7.30240428764934,1.0
2138,GPR15_code_potential_somatic,ENSG00000175592,2138,1.0,4.908650667635913,0.6028789025274255,1.5681961555226815e-55,6.521729922133038,1.8289475374590947,1.0
180,GPR15_code_potential_somatic,ENSG00000007866,180,1.0,2.275598594389328,0.5138902409296537,2.9129729113115976e-38,4.82986359055328,1.8770687747118615,1.0
1876,GPR15_code_potential_somatic,ENSG00000118513,1876,-1.0,1.366686485759527,0.258740720389573,7.839958784706393e-10,-2.328636763122877,1.4429381200946068,1.0
