,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,GRIN2A_code_potential_somatic,ENSG00000125952,1313,1.0,1.3051966262168873,0.6383058949876683,4.830752998599309e-64,2.4356609527111526,1.3874933920913979,1.0
1315,GRIN2A_code_potential_somatic,ENSG00000125952,1315,1.0,1.3051966262168873,0.5052938138319714,7.494661457773782e-37,3.105620316630422,1.875556763605197,1.0
1314,GRIN2A_code_potential_somatic,ENSG00000125952,1314,1.0,1.3051966262168873,0.3537194586752052,1.35329489768637e-17,3.071935631177748,1.941005516064211,1.0
1097,GRIN2A_code_potential_somatic,ENSG00000176887,1097,-1.0,2.17957197417465,-0.24564299546509125,5.652251202870115e-09,4.422406540745497,2.8227957405662685,0.5
1491,GRIN2A_code_potential_somatic,ENSG00000129194,1491,1.0,1.4843666438852388,-0.2818553261206182,1.8208992676878206e-11,-3.015784523929485,1.797934916039456,1.0
196,GRIN2A_code_potential_somatic,ENSG00000125820,196,-1.0,2.1466384294292538,0.6110351173052444,2.1427077529094173e-57,-2.4967387127862892,1.4155006040016183,1.0
2158,GRIN2A_code_potential_somatic,ENSG00000124766,2158,-1.0,1.5289340121711237,0.7488274069467211,1.3197331325854062e-99,-3.4969800487590903,2.212505518920046,1.0
2175,GRIN2A_code_potential_somatic,ENSG00000124766,2175,-1.0,1.5289340121711237,-0.4322701954237899,2.3415405788698333e-26,2.584505409871152,1.4716491562110006,1.0
57,GRIN2A_code_potential_somatic,ENSG00000125347,57,1.0,1.3038065473373548,0.5910295564983017,6.458447969963658e-53,2.475659924230704,1.414524087225568,1.0
47,GRIN2A_code_potential_somatic,ENSG00000125347,47,1.0,1.3038065473373548,0.37999547464360267,2.87865172126958e-20,2.59786498242219,1.5048292749226106,1.0
44,GRIN2A_code_potential_somatic,ENSG00000125347,44,1.0,1.3038065473373548,0.4144791862408749,3.6628675370127346e-24,4.995621224774916,3.3625740230893224,1.0
1565,GRIN2A_code_potential_somatic,ENSG00000182568,1565,-1.0,1.6009730793016033,0.6586203409009456,1.8979495177804281e-69,-2.4123572711482386,1.3703225196329554,1.0
1885,GRIN2A_code_potential_somatic,ENSG00000118513,1885,-1.0,1.41247665782275,-0.43684591039046755,6.0777015077199534e-27,3.690942494188066,2.3619533112655704,1.0
