,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1037,HRH2_code_potential_somatic,ENSG00000137203,1037,-1.0,1.5501902433539758,0.188860127183953,8.542161780917127e-06,-4.867444581945653,1.5329181658195388,1.0
639,HRH2_code_potential_somatic,ENSG00000115844,639,-1.0,1.4913157312924776,0.24863172866937241,3.6366861171739948e-09,-6.0274479290532765,1.6581272685121846,1.0
1573,HRH2_code_potential_somatic,ENSG00000105866,1573,-1.0,1.7711225333345972,0.2605493998506764,5.915990779892945e-10,-4.86257660204564,1.4509622651008458,1.0
1577,HRH2_code_potential_somatic,ENSG00000105866,1577,-1.0,1.7711225333345972,0.37185151026660157,2.0597864056495832e-19,-4.25944675160664,1.3046084194753653,1.0
1581,HRH2_code_potential_somatic,ENSG00000105866,1581,-1.0,1.7711225333345972,0.3174751165556365,2.683239351199029e-14,-22.12506340878875,7.056316826249195,1.0
3683,HRH2_code_potential_somatic,ENSG00000106689,3683,-1.0,1.750551962163384,0.3051781933823481,2.8216062632409315e-13,-3.9793022943796887,1.3131977360762515,1.0
1396,HRH2_code_potential_somatic,ENSG00000125398,1396,-1.0,1.315105514626191,0.3393591450736945,3.0906595458958634e-16,-7.525739631668811,4.189007338365087,1.0
3270,HRH2_code_potential_somatic,ENSG00000118922,3270,-1.0,1.7086865396207496,0.2546139348163464,1.4785751400687988e-09,-4.4306527016137025,1.3865406229734647,1.0
1096,HRH2_code_potential_somatic,ENSG00000176887,1096,-1.0,2.182268826180221,0.6240930966293388,1.6996737217440208e-60,-6.175618301713706,1.679188455548442,1.0
1100,HRH2_code_potential_somatic,ENSG00000176887,1100,-1.0,2.182268826180221,0.5747518364116476,1.6996917970202137e-49,-24.582225149553526,13.503785833000581,1.0
3099,HRH2_code_potential_somatic,ENSG00000184486,3099,-1.0,1.6511108762894922,-0.12574766638979304,0.003191464266898947,4.418916468925563,1.3428241083120276,1.0
3112,HRH2_code_potential_somatic,ENSG00000184486,3112,-1.0,1.6511108762894922,-0.22947261222369789,5.56624537586132e-08,10.510093702816174,2.4190814998578345,1.0
3104,HRH2_code_potential_somatic,ENSG00000184486,3104,-1.0,1.6511108762894922,0.5073930075149646,3.4200584568360427e-37,-4.328735819303731,1.3168392458930238,1.0
3577,HRH2_code_potential_somatic,ENSG00000134138,3577,-1.0,1.4352001022569714,0.6019454657365405,2.5430605829568647e-55,-5.642424083328166,1.5896444185598675,1.0
193,HRH2_code_potential_somatic,ENSG00000125820,193,-1.0,2.2420627869571526,0.48643512388254295,6.791520817291902e-34,-5.1307655579824525,1.4932567706978976,1.0
196,HRH2_code_potential_somatic,ENSG00000125820,196,-1.0,2.2420627869571526,0.6110351173052444,2.1427077529094173e-57,-5.679560762309139,1.6047427943691177,1.0
194,HRH2_code_potential_somatic,ENSG00000125820,194,-1.0,2.2420627869571526,0.4138550720706393,4.349577352480442e-24,-6.471343284858456,1.81085384386572,1.0
1548,HRH2_code_potential_somatic,ENSG00000123364,1548,-1.0,1.4689609435341273,0.45285051907844587,4.607026336387008e-29,-4.317467096547306,1.3501161732044016,1.0
2158,HRH2_code_potential_somatic,ENSG00000124766,2158,-1.0,1.5757877376012064,0.7488274069467211,1.3197331325854062e-99,-8.550516645780649,2.12247486540329,1.0
2171,HRH2_code_potential_somatic,ENSG00000124766,2171,-1.0,1.5757877376012064,-0.23583319533402652,2.3088807066249028e-08,6.769674970855418,1.7085459661186868,1.0
2163,HRH2_code_potential_somatic,ENSG00000124766,2163,-1.0,1.5757877376012064,-0.3307139351298984,1.8819276867617483e-15,4.637068214145868,1.3957626022443388,1.0
3707,HRH2_code_potential_somatic,ENSG00000122592,3707,-1.0,1.597358343467654,0.3274069567135064,3.700010469127915e-15,-9.281921095094283,2.152547339184759,1.0
3708,HRH2_code_potential_somatic,ENSG00000122592,3708,-1.0,1.597358343467654,0.30019115007390157,7.10287710032287e-13,-4.58326147132171,1.3719574812443862,1.0
