,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1100,HYDIN_code_potential_somatic,ENSG00000176887,1100,-1.0,1.8046814587974895,0.5747518364116476,1.6996917970202137e-49,-3.2887089325137477,1.7536954890284326,0.5
371,HYDIN_code_potential_somatic,ENSG00000112561,371,-1.0,1.5116509287412736,0.3455223363089412,8.232171146233444e-17,-3.4615798543435803,1.7892999054097514,1.0
201,HYDIN_code_potential_somatic,ENSG00000125820,201,-1.0,1.9074100783852577,0.3954492094371546,5.887931734240413e-22,-2.653461308790874,1.4119325359011328,1.0
196,HYDIN_code_potential_somatic,ENSG00000125820,196,-1.0,1.9074100783852577,0.6110351173052444,2.1427077529094173e-57,-3.6300528277664315,1.9075634113707527,1.0
2947,HYDIN_code_potential_somatic,ENSG00000169016,2947,-1.0,1.398573228360607,0.3604231988465373,2.9709430789772162e-18,-5.196230700997694,3.175485864928339,1.0
2513,HYDIN_code_potential_somatic,ENSG00000128652,2513,-1.0,2.6707781043238623,0.2976693980399551,1.1252597729420222e-12,-2.937783190644282,1.52226996784888,1.0
3563,HYDIN_code_potential_somatic,ENSG00000025156,3563,-1.0,1.5411976737112476,0.39424123241365644,8.03990843147202e-22,-2.585448076691019,1.424668597237862,1.0
1572,HYDIN_code_potential_somatic,ENSG00000182568,1572,-1.0,1.6306432422343582,0.3595929425149213,3.591695306309245e-18,-2.767739900858047,1.4715642074106419,1.0
1570,HYDIN_code_potential_somatic,ENSG00000182568,1570,-1.0,1.6306432422343582,0.5369513287929557,2.989233645983186e-42,-2.601944119138873,1.33573101847769,1.0
1158,HYDIN_code_potential_somatic,ENSG00000162702,1158,-1.0,1.3280157359784501,0.3524230308410404,1.806924640884381e-17,-3.615618836282619,2.041822758519644,1.0
1176,HYDIN_code_potential_somatic,ENSG00000162702,1176,-1.0,1.3280157359784501,0.6394811313566,2.411994971440027e-64,-2.747812062312219,1.4242654144148568,1.0
2353,HYDIN_code_potential_somatic,ENSG00000155959,2353,-1.0,1.635814905503068,0.5774814882224429,4.679188468862829e-50,-2.970763310093296,1.5990708141121894,1.0
2354,HYDIN_code_potential_somatic,ENSG00000155959,2354,-1.0,1.635814905503068,0.2347031687776368,2.7046009838367574e-08,-3.441470769390486,1.783174049503989,1.0
