,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1629,IQCE_code_potential_somatic,ENSG00000028277,1629,1.0,1.3411293408411726,-0.17420004335766862,4.1315766962882404e-05,-5.136818766471758,1.5570860515179417,1.0
571,IQCE_code_potential_somatic,ENSG00000090447,571,-1.0,1.616327594409289,-0.2677949285819863,1.8738850665632585e-10,4.448963917799487,1.5565798524275305,1.0
2539,IQCE_code_potential_somatic,ENSG00000177732,2539,-1.0,1.616327594409289,0.522654965200476,9.64504291485037e-40,-4.160229794559679,1.3709143599744156,1.0
1548,IQCE_code_potential_somatic,ENSG00000123364,1548,-1.0,1.351267085338837,0.45285051907844587,4.607026336387008e-29,-4.596256250174912,1.5093366913451036,1.0
2170,IQCE_code_potential_somatic,ENSG00000124766,2170,-1.0,2.777539285367372,0.32636919922557056,4.566691454960954e-15,-5.156898394836079,1.5805168933011544,1.0
2158,IQCE_code_potential_somatic,ENSG00000124766,2158,-1.0,2.777539285367372,0.7488274069467211,1.3197331325854062e-99,-9.593195071667695,4.821312680984593,1.0
3707,IQCE_code_potential_somatic,ENSG00000122592,3707,-1.0,1.3675639391727057,0.3274069567135064,3.700010469127915e-15,-4.612704608983842,1.5219543347412963,1.0
58,IQCE_code_potential_somatic,ENSG00000125347,58,-1.0,1.3639516155708564,-0.09073018732831667,0.03371442996555121,11.731294498879246,5.309865417992959,1.0
1552,IQCE_code_potential_somatic,ENSG00000182568,1552,-1.0,1.9471008130714194,0.28307759527840387,1.477471382374854e-11,-6.461594135628409,2.038278085114844,1.0
1565,IQCE_code_potential_somatic,ENSG00000182568,1565,-1.0,1.9471008130714194,0.6586203409009456,1.8979495177804281e-69,-4.207587863134357,1.3919334122353577,1.0
