,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1438,IRS4_code_potential_somatic,ENSG00000221869,1438,1.0,1.3180679295082474,0.49272796519311113,7.33827605604778e-35,6.002171033979964,3.2016025603218323,0.25
963,IRS4_code_potential_somatic,ENSG00000101412,963,1.0,1.8147103788336822,0.6513661348023898,1.8046161375597924e-67,10.933301808487885,16.013351172319922,1.0
959,IRS4_code_potential_somatic,ENSG00000101412,959,1.0,1.8147103788336822,0.7769628587535349,8.154332160431679e-112,9.266960826899968,4.007151579236752,1.0
1538,IRS4_code_potential_somatic,ENSG00000113916,1538,-1.0,2.9783165837430055,0.6841581243819654,7.158883160947051e-77,-4.9820117721546415,2.1046303331993403,1.0
948,IRS4_code_potential_somatic,ENSG00000001167,948,1.0,3.829439603421208,0.33278359659663453,1.2275265310019254e-15,4.945353853205245,1.7666649608231852,1.0
951,IRS4_code_potential_somatic,ENSG00000001167,951,1.0,3.829439603421208,0.25354275393531367,1.740094785107997e-09,3.1714101260651257,1.4564122093336818,1.0
946,IRS4_code_potential_somatic,ENSG00000001167,946,1.0,3.829439603421208,0.3569742005829587,6.510849095546955e-18,9.660836991498032,4.0927426846080035,1.0
949,IRS4_code_potential_somatic,ENSG00000001167,949,1.0,3.829439603421208,0.3478501312214809,4.9565070544709605e-17,5.892316845255287,1.99130876827172,1.0
3337,IRS4_code_potential_somatic,ENSG00000102974,3337,1.0,2.834597029832493,0.315343400975234,4.066491240154021e-14,4.472442535099387,4.821033126347118,1.0
956,IRS4_code_potential_somatic,ENSG00000129173,956,1.0,4.487985756527264,0.7719811749257338,1.5861341031969156e-109,9.531259636996586,3.931925217812717,1.0
957,IRS4_code_potential_somatic,ENSG00000129173,957,1.0,4.487985756527264,0.656211387082988,8.734534768759101e-69,7.329654141439737,2.7177392430930882,1.0
982,IRS4_code_potential_somatic,ENSG00000282899,982,1.0,5.484867953763891,0.2007361615862869,2.1724806003503496e-06,11.915962856595623,10.163625819664826,1.0
2218,IRS4_code_potential_somatic,ENSG00000187140,2218,1.0,5.484867953763891,-0.33403129091008305,9.472778577955283e-16,-6.817704721320353,2.3805794682075763,0.5
916,IRS4_code_potential_somatic,ENSG00000101057,916,1.0,3.9695383985247346,0.8137042900539069,9.46897652452271e-131,10.149445840942295,4.712231032797405,1.0
3511,IRS4_code_potential_somatic,ENSG00000012048,3511,1.0,1.866294763043637,0.282706364382193,1.5744687341111183e-11,4.565197478050591,2.4332261590254363,1.0
