,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1631,JAG2_code_potential_somatic,ENSG00000028277,1631,-1.0,2.4744433824532814,-0.15303601756386634,0.0003237671838138839,7.566357959991575,2.25129815055378,1.0
1633,JAG2_code_potential_somatic,ENSG00000028277,1633,-1.0,2.4744433824532814,-0.15277992585153233,0.0003314232449802602,4.816417572175897,1.946732261473414,1.0
2203,JAG2_code_potential_somatic,ENSG00000169083,2203,1.0,1.3725174140590033,0.4748926212262841,3.574342057785658e-32,4.255654139346836,1.3879109807893852,1.0
2201,JAG2_code_potential_somatic,ENSG00000169083,2201,1.0,1.3725174140590033,0.3049596549820448,2.9391888289980374e-13,7.866696553068047,2.1426463449560007,1.0
2207,JAG2_code_potential_somatic,ENSG00000169083,2207,1.0,1.3725174140590033,0.40309790760966463,7.948869748237142e-23,5.764019729974226,1.6513544894594272,1.0
3056,JAG2_code_potential_somatic,ENSG00000124782,3056,-1.0,3.3833997909941087,0.21086425338145703,6.324104308567523e-07,-3.6968173809531826,3.4509674092983262,1.0
3060,JAG2_code_potential_somatic,ENSG00000124782,3060,-1.0,3.3833997909941087,-0.2421508291224404,9.393871131402554e-09,5.25190951568176,1.6745849132692792,1.0
3055,JAG2_code_potential_somatic,ENSG00000124782,3055,-1.0,3.3833997909941087,-0.19280315202813042,5.472192633314826e-06,3.7943938168711746,1.36734342284559,1.0
3052,JAG2_code_potential_somatic,ENSG00000124782,3052,-1.0,3.3833997909941087,-0.33779743772658233,4.301413147830727e-16,10.488327773386223,2.5224140855325414,1.0
2608,JAG2_code_potential_somatic,ENSG00000196482,2608,1.0,1.390275016719123,0.25842884088530443,8.22821973489768e-10,7.957647553763658,3.1760252702584064,1.0
2459,JAG2_code_potential_somatic,ENSG00000071794,2459,1.0,1.9973930058816567,0.2560222204770262,1.1922324735613492e-09,6.233822966165881,1.717194989462142,1.0
1449,JAG2_code_potential_somatic,ENSG00000007372,1449,1.0,1.5251844683550322,0.2154539973021409,3.5420220929641463e-07,3.9284226766386805,1.4572602591019774,1.0
1443,JAG2_code_potential_somatic,ENSG00000007372,1443,1.0,1.5251844683550322,-0.27238496417888014,8.883658235944623e-11,-5.456076866945468,3.32555251030677,1.0
2088,JAG2_code_potential_somatic,ENSG00000030419,2088,-1.0,1.4262147369730627,-0.19310379728153398,5.287514413257324e-06,9.256470772050253,2.597228806321231,1.0
2089,JAG2_code_potential_somatic,ENSG00000030419,2089,-1.0,1.4262147369730627,-0.23865611061295247,1.5496989846009427e-08,4.457067183451583,1.6926361517824602,1.0
2097,JAG2_code_potential_somatic,ENSG00000105856,2097,1.0,1.4071782625466374,-0.22503927967059845,1.0125864918902402e-07,-3.4399847549020355,1.5654869739124542,1.0
2095,JAG2_code_potential_somatic,ENSG00000105856,2095,1.0,1.4071782625466374,0.305855830137109,2.4855471270809603e-13,4.556171895785648,1.5614244633564647,1.0
2098,JAG2_code_potential_somatic,ENSG00000105856,2098,1.0,1.4071782625466374,0.38110100039835687,2.1943428122448814e-20,4.981127087075888,1.5539519916223643,1.0
12,JAG2_code_potential_somatic,ENSG00000126351,12,1.0,5.201256328001044,0.47919761624700663,8.296253055498482e-33,4.234849438969029,1.579115273837104,1.0
5,JAG2_code_potential_somatic,ENSG00000126351,5,1.0,5.201256328001044,-0.28714808262632846,7.311829970337332e-12,-4.111226745224331,2.359901537583809,1.0
16,JAG2_code_potential_somatic,ENSG00000126351,16,1.0,5.201256328001044,0.3602612456309639,3.0830998499870427e-18,4.213340682123355,1.3632177477719327,1.0
2938,JAG2_code_potential_somatic,ENSG00000198807,2938,-1.0,1.964093352727132,-0.3008922971788895,6.244955425181483e-13,4.055215888640473,1.5539145071235585,1.0
1255,JAG2_code_potential_somatic,ENSG00000089220,1255,1.0,1.6259861550416137,0.37219430273234255,1.8981686391929371e-19,4.143472617755916,1.7174282494665545,1.0
1253,JAG2_code_potential_somatic,ENSG00000089220,1253,1.0,1.6259861550416137,0.2657955610818475,2.582430391060707e-10,4.489392812777704,1.9772489425001263,1.0
1251,JAG2_code_potential_somatic,ENSG00000089220,1251,1.0,1.6259861550416137,-0.25190287736393546,2.229592483766057e-09,-3.099885375293802,2.1959718529046612,1.0
2566,JAG2_code_potential_somatic,ENSG00000175745,2566,1.0,1.5136694167235414,-0.3261471607107479,4.776522807993507e-15,-2.327863633828208,1.6814019622509242,1.0
2565,JAG2_code_potential_somatic,ENSG00000175745,2565,1.0,1.5136694167235414,0.4047934943371429,5.0633719300263606e-23,3.9134153990380107,1.3064922761863282,1.0
3590,JAG2_code_potential_somatic,ENSG00000100219,3590,1.0,6.380636620676081,0.41579012496648465,2.5501168606443973e-24,4.144131906305317,1.3794539600704288,1.0
3180,JAG2_code_potential_somatic,ENSG00000176165,3180,1.0,1.9259994000766003,0.21986508954423187,2.004647160119531e-07,6.018886513403711,1.8737907351679897,1.0
3188,JAG2_code_potential_somatic,ENSG00000176165,3188,1.0,1.9259994000766003,0.23484361087272657,2.652062970533431e-08,5.211976778372921,2.5417427291856733,1.0
1331,JAG2_code_potential_somatic,ENSG00000116044,1331,1.0,1.636021285337026,0.4251115862030444,1.8542695957651335e-25,3.3656221037312593,1.310463544526058,1.0
