,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1596,JHDM1D_code_potential_somatic,ENSG00000185811,1596,-1.0,1.4477415667778855,0.29259323995173636,2.8027125371516682e-12,-7.770125920103619,2.199732838396848,1.0
1587,JHDM1D_code_potential_somatic,ENSG00000185811,1587,-1.0,1.4477415667778855,0.31388436365402334,5.394745960784327e-14,-5.528120529226521,2.6617453961393074,1.0
2811,JHDM1D_code_potential_somatic,ENSG00000277615,2811,-1.0,2.027578234068561,0.24881767225321408,3.537595533144135e-09,-8.0495234823719,2.4169914413958815,0.5
1245,JHDM1D_code_potential_somatic,ENSG00000151702,1245,-1.0,1.6220850568484875,0.4636356695795641,1.4786817131922358e-30,-9.950174436001506,3.075193489046004,1.0
1238,JHDM1D_code_potential_somatic,ENSG00000151702,1238,-1.0,1.6220850568484875,0.6335156236726455,7.943540603589842e-63,-5.585403999385733,1.7404836552033687,1.0
221,JHDM1D_code_potential_somatic,ENSG00000020633,221,-1.0,1.5294222778274462,0.6379715611320159,5.8828214436437776e-64,-3.3611515803054735,1.3488818096308044,1.0
228,JHDM1D_code_potential_somatic,ENSG00000020633,228,-1.0,1.5294222778274462,0.3442018451874556,1.0956935832425158e-16,-3.8689017450376326,1.3175153530731822,1.0
222,JHDM1D_code_potential_somatic,ENSG00000020633,222,-1.0,1.5294222778274462,0.34106202370642147,2.15072407207988e-16,-4.21115842170685,4.386925340462048,1.0
514,JHDM1D_code_potential_somatic,ENSG00000120690,514,-1.0,1.9123531226968487,0.720242482100378,9.169289141148163e-89,-5.461867825090094,2.7266587280096766,1.0
508,JHDM1D_code_potential_somatic,ENSG00000120690,508,-1.0,1.9123531226968487,0.20662371880313293,1.0682225059638864e-06,-5.8309118198419965,1.7055065128231266,1.0
