,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2198,KDELC2_code_potential_somatic,ENSG00000169083,2198,1.0,2.513353411064667,0.29772499118955553,1.1139578145517225e-12,5.036020797863986,1.5390810619490134,1.0
2201,KDELC2_code_potential_somatic,ENSG00000169083,2201,1.0,2.513353411064667,0.3049596549820448,2.9391888289980374e-13,8.269139541285826,3.006269347694508,1.0
1440,KDELC2_code_potential_somatic,ENSG00000221869,1440,1.0,2.168620659635222,0.7210168824377889,4.8594174980191e-89,7.835245829209451,2.9209347771459138,1.0
1442,KDELC2_code_potential_somatic,ENSG00000221869,1442,1.0,2.168620659635222,0.34831433390961264,4.477296755863648e-17,4.324342590378145,1.3602159328980403,1.0
1441,KDELC2_code_potential_somatic,ENSG00000221869,1441,1.0,2.168620659635222,0.18593111468365855,1.1821511134466203e-05,5.763586928342828,1.7772841977398084,1.0
2318,KDELC2_code_potential_somatic,ENSG00000135457,2318,1.0,1.4623968700141354,0.36490429337901564,1.0566881936261309e-18,4.24201282209865,1.3645839849065553,1.0
2520,KDELC2_code_potential_somatic,ENSG00000112333,2520,1.0,1.9580397325837575,0.5670993464484083,5.931604568650053e-48,9.509708241666917,4.201903808967658,1.0
2526,KDELC2_code_potential_somatic,ENSG00000112333,2526,1.0,1.9580397325837575,0.22439795660397596,1.1030256575549125e-07,14.209500334263655,10.87384392408911,1.0
2528,KDELC2_code_potential_somatic,ENSG00000112333,2528,1.0,1.9580397325837575,0.5900396803607918,1.0560480916954014e-52,4.599589553668745,1.6112902527576527,1.0
2519,KDELC2_code_potential_somatic,ENSG00000112333,2519,1.0,1.9580397325837575,0.5367556869751333,3.2412023142188855e-42,4.697234774292548,1.585550211769368,1.0
2720,KDELC2_code_potential_somatic,ENSG00000130726,2720,1.0,2.5173879052058084,0.3850182848170064,8.316832791246072e-21,4.351496427890801,1.4901717254343465,0.5
506,KDELC2_code_potential_somatic,ENSG00000120690,506,1.0,1.507474236010253,0.6316443020286737,2.3401461848474217e-62,6.567102993603453,1.88265653045857,1.0
513,KDELC2_code_potential_somatic,ENSG00000120690,513,1.0,1.507474236010253,0.5715665134418617,7.541806748598516e-49,3.78937829457329,1.3109501457944903,1.0
516,KDELC2_code_potential_somatic,ENSG00000120690,516,1.0,1.507474236010253,0.31437459844389287,4.9068415127193024e-14,11.589290640864352,5.3241047644078,1.0
1398,KDELC2_code_potential_somatic,ENSG00000125398,1398,1.0,2.657572080565779,-0.23534412724899675,2.472737776306242e-08,-7.850578397605783,3.8045429997376505,1.0
1397,KDELC2_code_potential_somatic,ENSG00000125398,1397,1.0,2.657572080565779,0.24957398866560834,3.1608836187217764e-09,2.666525089503849,1.348274765195569,1.0
1403,KDELC2_code_potential_somatic,ENSG00000125398,1403,1.0,2.657572080565779,0.3077167972756275,1.7516087964966134e-13,5.969868913031873,1.764015755232815,1.0
1533,KDELC2_code_potential_somatic,ENSG00000113916,1533,1.0,2.2414141967595453,-0.19397182568233826,4.787112997302301e-06,-9.961081279428377,8.675304177963683,1.0
1525,KDELC2_code_potential_somatic,ENSG00000113916,1525,1.0,2.2414141967595453,0.2879840995630909,6.3192850923713525e-12,4.1981315770931555,1.4289722861816605,1.0
1538,KDELC2_code_potential_somatic,ENSG00000113916,1538,1.0,2.2414141967595453,0.6841581243819654,7.158883160947051e-77,8.645481398466526,2.449084953529397,1.0
2093,KDELC2_code_potential_somatic,ENSG00000105856,2093,1.0,1.5176644865513367,0.16447235007970418,0.00010983167865860399,4.912795184992852,1.5538645843623577,1.0
1722,KDELC2_code_potential_somatic,ENSG00000170365,1722,1.0,4.258932688191553,0.45593395925589614,1.7451918718574865e-29,4.371312898498763,1.5394915367736957,1.0
1709,KDELC2_code_potential_somatic,ENSG00000170365,1709,1.0,4.258932688191553,0.5748467770179856,1.6254511934235935e-49,4.631027540074734,2.067493865033367,1.0
1720,KDELC2_code_potential_somatic,ENSG00000170365,1720,1.0,4.258932688191553,-0.214570145466947,3.964274428907616e-07,-3.814053423539084,2.0796063615978486,1.0
1704,KDELC2_code_potential_somatic,ENSG00000170365,1704,1.0,4.258932688191553,0.6188182782105403,3.1655520819072472e-59,4.60520653218187,1.5845115767300106,1.0
1727,KDELC2_code_potential_somatic,ENSG00000170365,1727,1.0,4.258932688191553,0.45551606016609364,1.9917364237164507e-29,4.607333741246933,1.5154782028487703,1.0
