,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1932,KIAA1210_code_potential_somatic,ENSG00000006468,1932,1.0,1.5680284712727903,0.540120244975932,7.999384660910738e-43,2.8318563772982053,1.502827367982258,1.0
2364,KIAA1210_code_potential_somatic,ENSG00000148516,2364,1.0,1.3721017894857968,-0.5002130330118405,4.894209518590839e-36,-3.9710015989534564,2.1937423881427986,1.0
3523,KIAA1210_code_potential_somatic,ENSG00000153234,3523,-1.0,1.5839461966531263,0.12843859818371767,0.0025928454275054203,-5.427045452296197,2.864981167747427,1.0
3721,KIAA1210_code_potential_somatic,ENSG00000137265,3721,-1.0,2.1641093614909774,-0.3738906915693982,1.2650050285892425e-19,3.3574767745504457,1.6467478889641805,1.0
3722,KIAA1210_code_potential_somatic,ENSG00000137265,3722,-1.0,2.1641093614909774,0.3288728748927087,2.7447125190265412e-15,-4.4185769486428095,2.158774417288412,1.0
554,KIAA1210_code_potential_somatic,ENSG00000181449,554,1.0,1.6644725256721096,-0.180874178393691,2.0472835167626913e-05,-3.024607411325904,2.1268093485522552,1.0
560,KIAA1210_code_potential_somatic,ENSG00000181449,560,1.0,1.6644725256721096,0.7759856705311577,2.31757765165303e-111,3.9460912637606738,1.9836714982366195,1.0
3302,KIAA1210_code_potential_somatic,ENSG00000006704,3302,1.0,1.6650180078959664,0.560984427625908,9.491054619532947e-47,6.746934863571842,3.393460114137954,1.0
1889,KIAA1210_code_potential_somatic,ENSG00000185697,1889,1.0,3.6882645549315694,0.5169485389100075,8.969962979303061e-39,3.2045212579921722,1.5421429064972931,1.0
3105,KIAA1210_code_potential_somatic,ENSG00000184486,3105,1.0,2.0858599771298127,-0.3063553985656969,2.2632284740381152e-13,-4.407541219718534,2.1445817226863526,1.0
3104,KIAA1210_code_potential_somatic,ENSG00000184486,3104,1.0,2.0858599771298127,0.5073930075149646,3.4200584568360427e-37,2.997524360399454,1.4816599656319192,1.0
3108,KIAA1210_code_potential_somatic,ENSG00000184486,3108,1.0,2.0858599771298127,0.3355158005742668,6.94849595439125e-16,3.869960677438836,1.9027016231908034,1.0
2974,KIAA1210_code_potential_somatic,ENSG00000187079,2974,1.0,1.3405071530281858,-0.24548862583097641,5.781567959558091e-09,-5.521842612418787,2.8198839168029286,1.0
2976,KIAA1210_code_potential_somatic,ENSG00000187079,2976,1.0,1.3405071530281858,-0.2122105578475229,5.342331407289734e-07,-3.4068213881976317,1.825190537144867,1.0
916,KIAA1210_code_potential_somatic,ENSG00000101057,916,1.0,1.4757661546298455,0.8137042900539069,9.46897652452271e-131,3.0480553703400695,1.458846994639731,1.0
1131,KIAA1210_code_potential_somatic,ENSG00000165804,1131,1.0,1.6514587801974903,0.4811802123650734,4.2045115283454574e-33,3.7070035370849728,1.8606810398004747,1.0
