,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1548,KLF17_code_potential_somatic,ENSG00000123364,1548,1.0,1.8067994425084355,0.45285051907844587,4.607026336387008e-29,3.172244070729454,1.5082048664007597,1.0
3761,KLF17_code_potential_somatic,ENSG00000078399,3761,1.0,2.2846653651302744,0.13531215527481014,0.0014985874826722483,4.310603068586942,2.2781371056039688,1.0
2452,KLF17_code_potential_somatic,ENSG00000160199,2452,1.0,1.7854023199837044,-0.2776344796864656,3.718108094517221e-11,-4.624830689817864,4.761914558916614,1.0
3748,KLF17_code_potential_somatic,ENSG00000128713,3748,1.0,1.7716344952389993,0.38202481270608896,1.7476344049928133e-20,5.1594923290436,2.316842008702447,1.0
3762,KLF17_code_potential_somatic,ENSG00000123388,3762,1.0,1.7341810673123736,0.36996947054604434,3.2203666637106646e-19,5.1594923290436,2.316842008702447,1.0
3454,KLF17_code_potential_somatic,ENSG00000278129,3454,1.0,1.797252739548019,0.4814159596617636,3.876941012150658e-33,2.7899405112399136,1.3952931954620953,1.0
3448,KLF17_code_potential_somatic,ENSG00000278129,3448,1.0,1.797252739548019,0.28577778779199436,9.277291121974132e-12,5.272333815775516,2.4992838919729494,1.0
1051,KLF17_code_potential_somatic,ENSG00000005889,1051,1.0,2.0404277211174557,0.2938748652182464,2.229744956651044e-12,3.408884327702565,1.688471096658834,1.0
1052,KLF17_code_potential_somatic,ENSG00000005889,1052,1.0,2.0404277211174557,0.4739671326121202,4.879648859264645e-32,2.6932262002037803,1.341783374867923,1.0
1204,KLF17_code_potential_somatic,ENSG00000100811,1204,1.0,1.5603790803798177,0.49941901744931055,6.5434422067206e-36,2.916671814662307,1.6758686083469785,1.0
1185,KLF17_code_potential_somatic,ENSG00000100811,1185,1.0,1.5603790803798177,0.3996405965741025,1.9778961562326593e-22,3.529967613882067,1.8041610889156943,1.0
