,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2520,LAMB3_code_potential_somatic,ENSG00000112333,2520,1.0,1.3029562564244548,0.5670993464484083,5.931604568650053e-48,12.393145016797693,5.327686207727522,1.0
2528,LAMB3_code_potential_somatic,ENSG00000112333,2528,1.0,1.3029562564244548,0.5900396803607918,1.0560480916954014e-52,8.129628485871859,3.9386528755988435,1.0
2530,LAMB3_code_potential_somatic,ENSG00000112333,2530,1.0,1.3029562564244548,0.62790340879799,1.984555698064428e-61,3.1599569772132132,1.3330248796229351,1.0
2525,LAMB3_code_potential_somatic,ENSG00000112333,2525,1.0,1.3029562564244548,0.4068991778158076,2.8815856743790265e-23,4.209897046007314,1.8180829551723636,1.0
2519,LAMB3_code_potential_somatic,ENSG00000112333,2519,1.0,1.3029562564244548,0.5367556869751333,3.2412023142188855e-42,8.280980934319759,3.112098652521564,1.0
3320,LAMB3_code_potential_somatic,ENSG00000091831,3320,-1.0,1.50021162510124,-0.3682767995565355,4.801467290177401e-19,5.272803771415765,2.6106703015412136,1.0
1396,LAMB3_code_potential_somatic,ENSG00000125398,1396,1.0,2.9551223871816132,0.3393591450736945,3.0906595458958634e-16,4.930889553498849,1.950100427449614,1.0
868,LAMB3_code_potential_somatic,ENSG00000244405,868,1.0,2.457043656685673,0.2483220414534605,3.807731201901811e-09,3.2689892964726837,1.4016960314436961,1.0
866,LAMB3_code_potential_somatic,ENSG00000244405,866,1.0,2.457043656685673,0.429402653684742,5.395912682071426e-26,3.0270548045006054,1.3144445423159437,1.0
3105,LAMB3_code_potential_somatic,ENSG00000184486,3105,1.0,1.325062423693756,-0.3063553985656969,2.2632284740381152e-13,-3.066421479684481,1.32174925507237,1.0
3111,LAMB3_code_potential_somatic,ENSG00000184486,3111,1.0,1.325062423693756,0.2796324617246071,2.6559539321919494e-11,8.798589354635878,4.75007508670757,1.0
3098,LAMB3_code_potential_somatic,ENSG00000184486,3098,1.0,1.325062423693756,0.5161286370838446,1.2315189989281638e-38,6.423274548954067,2.4467336386585914,1.0
3101,LAMB3_code_potential_somatic,ENSG00000184486,3101,1.0,1.325062423693756,-0.39465227711252515,7.232332742464199e-22,-4.192459903519779,1.7883593390647552,1.0
3104,LAMB3_code_potential_somatic,ENSG00000184486,3104,1.0,1.325062423693756,0.5073930075149646,3.4200584568360427e-37,3.140086190893147,1.366444403040796,1.0
2885,LAMB3_code_potential_somatic,ENSG00000136535,2885,-1.0,5.270997477561877,-0.1740189505436227,4.2095410235556445e-05,4.721818536650078,1.8835106608508383,1.0
232,LAMB3_code_potential_somatic,ENSG00000135363,232,1.0,2.8338267603443517,-0.0687356135266884,0.10799150053085592,-3.057481672401884,1.3064795770718565,1.0
3194,LAMB3_code_potential_somatic,ENSG00000176165,3194,1.0,2.199850398278904,0.3617291790765779,2.2018247943940607e-18,8.129628485871859,3.9386528755988435,1.0
3187,LAMB3_code_potential_somatic,ENSG00000176165,3187,1.0,2.199850398278904,0.402624881716182,9.010448837223377e-23,3.582351941715869,1.4912297978448958,1.0
3190,LAMB3_code_potential_somatic,ENSG00000176165,3190,1.0,2.199850398278904,0.48515269650645554,1.0628112697820609e-33,4.34811798377055,1.780153935685152,1.0
3183,LAMB3_code_potential_somatic,ENSG00000176165,3183,1.0,2.199850398278904,-0.2757609704709193,5.084543056135608e-11,-4.371208223026563,1.808164438289606,1.0
3179,LAMB3_code_potential_somatic,ENSG00000176165,3179,1.0,2.199850398278904,0.5844367991248547,1.654511029519718e-51,9.92615583348909,3.823365008944691,1.0
3727,LAMB3_code_potential_somatic,ENSG00000124813,3727,-1.0,1.3570174525778045,-0.441509331050092,1.504886531202862e-27,3.480981305055208,1.5075443018069994,1.0
3729,LAMB3_code_potential_somatic,ENSG00000124813,3729,-1.0,1.3570174525778045,-0.27541292783339927,5.387533388228765e-11,4.154158985760174,1.6488892003363051,1.0
1236,LAMB3_code_potential_somatic,ENSG00000110777,1236,-1.0,1.370483435572675,0.3683191597506944,4.753848317408781e-19,-5.052275963653503,2.0998709176581563,1.0
642,LAMB3_code_potential_somatic,ENSG00000071564,642,1.0,2.628704141058014,0.31006530119907366,1.1222497631393627e-13,6.105422224105489,2.3317666574673694,1.0
2485,LAMB3_code_potential_somatic,ENSG00000106511,2485,1.0,3.377125996842005,0.563785904703403,2.6838864980021504e-47,6.181788366520046,2.338200953832112,1.0
2481,LAMB3_code_potential_somatic,ENSG00000106511,2481,1.0,3.377125996842005,0.38656628338225113,5.647822511674906e-21,5.1710277248522925,2.0928156378219525,1.0
