,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3007,LOC645752_code_potential_somatic,ENSG00000077463,3007,-1.0,1.4911816481312499,0.5322309139302153,2.075765770590589e-41,-2.5867021012269817,1.4094477017658356,1.0
902,LOC645752_code_potential_somatic,ENSG00000105672,902,-1.0,1.6423581970879626,0.20568911530740816,1.1973037297252491e-06,-2.7521008521540926,1.5303822429388043,1.0
3605,LOC645752_code_potential_somatic,ENSG00000166478,3605,-1.0,1.6697723528600608,0.39306366263504516,1.0879228904513919e-21,-2.583818517279475,1.4232626894933122,1.0
2042,LOC645752_code_potential_somatic,ENSG00000054598,2042,1.0,1.5240709402508175,0.28666987948011924,7.94644148217391e-12,2.350760362749205,1.3073403248996114,1.0
2937,LOC645752_code_potential_somatic,ENSG00000198807,2937,1.0,1.821304527995473,-0.23373288648465815,3.0960946505024804e-08,-2.5600220778385347,1.4023493647392709,1.0
2947,LOC645752_code_potential_somatic,ENSG00000169016,2947,-1.0,1.8484062335380271,0.3604231988465373,2.9709430789772162e-18,-3.616588834486854,2.1840241584685693,1.0
979,LOC645752_code_potential_somatic,ENSG00000066136,979,-1.0,1.322840564361116,0.28817142860892986,6.115645101691349e-12,-2.9041459015349247,1.612815499104541,1.0
3481,LOC645752_code_potential_somatic,ENSG00000203883,3481,1.0,1.703550655050406,0.29219918539209705,3.0061923892346764e-12,4.187367730442404,2.7649536292484154,1.0
3301,LOC645752_code_potential_somatic,ENSG00000105722,3301,-1.0,1.4756334391163908,0.26596808756003154,2.5122053000554756e-10,-2.9127531381895877,1.604263223758197,1.0
531,LOC645752_code_potential_somatic,ENSG00000196092,531,1.0,1.3328827198562585,-0.15227850003870583,0.000346905387037339,-2.9303600685627824,1.6754376361883847,1.0
535,LOC645752_code_potential_somatic,ENSG00000196092,535,1.0,1.3328827198562585,-0.12607364234380028,0.003112798679150661,-3.440033475318021,2.271122043597204,1.0
532,LOC645752_code_potential_somatic,ENSG00000196092,532,1.0,1.3328827198562585,-0.24811360750413528,3.927222363077168e-09,-2.8615129258816183,1.5825430837159138,1.0
2554,LOC645752_code_potential_somatic,ENSG00000263001,2554,-1.0,1.555619838183558,-0.18177553080148176,1.858400094284175e-05,2.9798885888203297,1.6545709945397895,1.0
2179,LOC645752_code_potential_somatic,ENSG00000133794,2179,-1.0,1.7655166810937597,0.22466279860260852,1.0647706189440823e-07,-3.4538650866842784,1.9942456515840477,1.0
