,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1108,LRP1B_code_potential_somatic,ENSG00000100105,1108,1.0,2.806319907239163,0.5687831932084362,2.7362525640183454e-48,3.0788770410562423,2.1704545225480665,1.0
1111,LRP1B_code_potential_somatic,ENSG00000100105,1111,1.0,2.806319907239163,0.12216478874584845,0.004183167032389262,2.694058813662688,1.5048999069754658,1.0
2728,LRP1B_code_potential_somatic,ENSG00000130726,2728,1.0,2.06559694291336,0.4123955972351137,6.4915270866524605e-24,2.8674189773530774,1.8184272706455549,1.0
2891,LRP1B_code_potential_somatic,ENSG00000125482,2891,1.0,1.9512622713737577,0.4344523709885133,1.2338505384305904e-26,2.387191027716279,1.3536452190527746,1.0
2887,LRP1B_code_potential_somatic,ENSG00000125482,2887,1.0,1.9512622713737577,0.6821702780921197,2.88366451140532e-76,3.9131331299383985,2.610272806160659,1.0
3200,LRP1B_code_potential_somatic,ENSG00000171634,3200,1.0,2.941529906221715,0.2508470094839249,2.61299671137318e-09,2.976270202666595,1.7285285846163811,1.0
1669,LRP1B_code_potential_somatic,ENSG00000143190,1669,1.0,2.710160799545114,0.41618111692591947,2.2883478984196298e-24,2.284338548527849,1.307430749517483,1.0
2970,LRP1B_code_potential_somatic,ENSG00000187079,2970,1.0,1.514847056572024,0.45223907794733165,5.578391551470065e-29,2.6844313777635507,1.4980297841564536,1.0
3376,LRP1B_code_potential_somatic,ENSG00000137273,3376,-1.0,1.9694632016547564,0.4518914728241265,6.218274453371455e-29,-2.418800014643208,1.364219449512494,0.3333333333333333
25,LRP1B_code_potential_somatic,ENSG00000196712,25,1.0,2.7279291554779728,0.568410576850228,3.2484746207953633e-48,3.070723369992688,1.8615839218053953,1.0
919,LRP1B_code_potential_somatic,ENSG00000106459,919,1.0,1.6020441055963783,0.6639871102449301,6.013057518937056e-71,3.4903216498581755,2.5285774946466515,1.0
936,LRP1B_code_potential_somatic,ENSG00000106459,936,1.0,1.6020441055963783,0.32209322598773776,1.0777482994255514e-14,2.55662780664293,1.5596563292543189,1.0
920,LRP1B_code_potential_somatic,ENSG00000106459,920,1.0,1.6020441055963783,0.7131916472392081,2.6962513095890753e-86,2.8892732617302888,1.6604093274870544,1.0
2440,LRP1B_code_potential_somatic,ENSG00000169057,2440,1.0,3.2923984128228874,0.11256951646720027,0.008350591842490531,2.5619096881662924,1.4363285005636617,1.0
