,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
901,MEGF8_code_potential_somatic,ENSG00000154727,901,1.0,1.4702837492712992,0.27536254076813077,5.432832661131081e-11,4.609524142854023,1.8743305526365153,1.0
2094,MEGF8_code_potential_somatic,ENSG00000105856,2094,1.0,1.4403382772269888,0.2907389084469941,3.89407002302842e-12,3.2029182649196186,1.4422630238649554,1.0
2093,MEGF8_code_potential_somatic,ENSG00000105856,2093,1.0,1.4403382772269888,0.16447235007970418,0.00010983167865860399,4.010356852711656,1.3382104784088105,1.0
2100,MEGF8_code_potential_somatic,ENSG00000105856,2100,1.0,1.4403382772269888,0.3997436311952665,1.9251830143592888e-22,4.027716851044251,4.113006214420708,1.0
2095,MEGF8_code_potential_somatic,ENSG00000105856,2095,1.0,1.4403382772269888,0.305855830137109,2.4855471270809603e-13,5.268990663396149,1.8564202087024912,1.0
1723,MEGF8_code_potential_somatic,ENSG00000170365,1723,1.0,2.1731355282323737,0.35332022686283937,1.479504512321763e-17,3.5464105521182567,2.0276332681783087,0.5
1094,MEGF8_code_potential_somatic,ENSG00000176887,1094,-1.0,1.3948692275207906,-0.39989625077212165,1.849640344098444e-22,3.552683943808026,2.1309914047702003,1.0
1096,MEGF8_code_potential_somatic,ENSG00000176887,1096,-1.0,1.3948692275207906,0.6240930966293388,1.6996737217440208e-60,-3.319446396302912,1.3119095355540225,1.0
460,MEGF8_code_potential_somatic,ENSG00000172216,460,1.0,2.440701672052874,0.7538666239069344,1.1372637327826006e-101,3.3236991200801334,1.4145155399759184,0.75
461,MEGF8_code_potential_somatic,ENSG00000172216,461,1.0,2.440701672052874,0.4964177421680016,1.9478677986042713e-35,4.089063949599333,1.7575387807139298,0.75
479,MEGF8_code_potential_somatic,ENSG00000172216,479,1.0,2.440701672052874,0.4870916870311351,5.396046317461155e-34,5.548494775734207,2.436757245256251,0.75
2513,MEGF8_code_potential_somatic,ENSG00000128652,2513,-1.0,2.0380817117954564,0.2976693980399551,1.1252597729420222e-12,-3.728965428840881,2.0542448812252014,1.0
2509,MEGF8_code_potential_somatic,ENSG00000128652,2509,-1.0,2.0380817117954564,-0.2848819037821037,1.0832176815210206e-11,3.1449443796554095,1.4180940545900382,1.0
3019,MEGF8_code_potential_somatic,ENSG00000166949,3019,1.0,2.3920115903253336,0.2037030919938745,1.523087126041289e-06,4.157235955221399,2.020347962029923,1.0
1839,MEGF8_code_potential_somatic,ENSG00000112658,1839,1.0,1.435275617024269,0.43930433182194023,2.919581539654522e-27,3.5464105521182567,2.0276332681783087,1.0
2587,MEGF8_code_potential_somatic,ENSG00000185630,2587,-1.0,1.3536768197907985,-0.3426236581344813,1.5393022990037594e-16,3.2998911192202023,1.6175584474720819,1.0
2585,MEGF8_code_potential_somatic,ENSG00000185630,2585,-1.0,1.3536768197907985,-0.3822805389913852,1.6407049316884827e-20,3.1738045944345,1.5818916760047008,1.0
2593,MEGF8_code_potential_somatic,ENSG00000185630,2593,-1.0,1.3536768197907985,0.4626175008496893,2.056643182146867e-30,-3.547929701961439,1.4867905194235473,1.0
1176,MEGF8_code_potential_somatic,ENSG00000162702,1176,-1.0,1.5921141842270157,0.6394811313566,2.411994971440027e-64,-5.526386399000807,2.848127987844191,0.5
3184,MEGF8_code_potential_somatic,ENSG00000176165,3184,1.0,1.862674173755194,0.3179894875518792,2.4259084268250033e-14,3.4437744076205026,1.432636656260659,0.6666666666666666
3196,MEGF8_code_potential_somatic,ENSG00000176165,3196,1.0,1.862674173755194,0.29298641948274584,2.613129794134446e-12,2.341698229007755,1.3621349683388275,0.6666666666666666
1062,MEGF8_code_potential_somatic,ENSG00000005889,1062,-1.0,1.909988215266305,0.31999461565716436,1.634495696703751e-14,-6.278744702286301,3.04970330384334,0.3333333333333333
3119,MEGF8_code_potential_somatic,ENSG00000156273,3119,1.0,1.774334626408096,0.4579719738538529,9.137558301042453e-30,7.036313566805631,2.16872408004144,1.0
3116,MEGF8_code_potential_somatic,ENSG00000156273,3116,1.0,1.774334626408096,0.5950714595776515,8.519642508183082e-54,5.564047532167881,2.9410177016986485,1.0
