,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1440,MSR1_code_potential_somatic,ENSG00000221869,1440,1.0,1.5584081352664092,0.7210168824377889,4.8594174980191e-89,4.009799338126027,1.326716607967564,1.0
3755,MSR1_code_potential_somatic,ENSG00000185122,3755,1.0,2.146478885929085,0.17912565243410727,2.466868936481544e-05,3.81630742576573,1.3332432527061409,1.0
2111,MSR1_code_potential_somatic,ENSG00000069667,2111,1.0,1.4597025924440923,0.13050169693572997,0.002205319901974639,5.150426064080019,1.6051636170912262,1.0
3579,MSR1_code_potential_somatic,ENSG00000134138,3579,1.0,2.1073384836140123,0.31516730146347816,4.2079561259888874e-14,20.08348321677485,26.603972600131858,1.0
3578,MSR1_code_potential_somatic,ENSG00000134138,3578,1.0,2.1073384836140123,0.19418518682991492,4.671227050506218e-06,3.804370493773674,1.3438790062224266,1.0
2965,MSR1_code_potential_somatic,ENSG00000143799,2965,1.0,1.684462920473224,0.1519239290943884,0.0003582575815629536,7.554199337762655,4.153602462911866,1.0
2968,MSR1_code_potential_somatic,ENSG00000143799,2968,1.0,1.684462920473224,0.2596828298309219,6.772258356924157e-10,13.124537383327294,17.889797103846224,1.0
3552,MSR1_code_potential_somatic,ENSG00000167157,3552,-1.0,1.652950224044627,-0.3878530493662969,4.0877649762604634e-21,6.702934388174829,1.9366677823725151,1.0
2565,MSR1_code_potential_somatic,ENSG00000175745,2565,1.0,2.1128727466931383,0.4047934943371429,5.0633719300263606e-23,5.116946467609499,1.543798902534403,1.0
3475,MSR1_code_potential_somatic,ENSG00000177463,3475,1.0,1.4802948103285711,0.3696503757482315,3.4728449215692786e-19,13.848427386334546,12.726166650929104,1.0
2593,MSR1_code_potential_somatic,ENSG00000185630,2593,1.0,1.6368914445363516,0.4626175008496893,2.056643182146867e-30,5.215942064837801,1.703027263622154,1.0
335,MSR1_code_potential_somatic,ENSG00000134532,335,1.0,1.7176117912945192,0.4231308859803424,3.2587484611528784e-25,4.718064542581166,1.5411695334808926,1.0
3452,MSR1_code_potential_somatic,ENSG00000278129,3452,1.0,1.3807708096167286,0.48057994272500104,5.1675749515157946e-33,5.034599589492135,1.531911293427137,1.0
3449,MSR1_code_potential_somatic,ENSG00000278129,3449,1.0,1.3807708096167286,0.1977392614481272,3.093345552587242e-06,4.247058642523158,1.815654397087683,1.0
3458,MSR1_code_potential_somatic,ENSG00000278129,3458,1.0,1.3807708096167286,0.08182181252409519,0.05558994484694286,3.382386737372167,1.3356910644326419,1.0
3454,MSR1_code_potential_somatic,ENSG00000278129,3454,1.0,1.3807708096167286,0.4814159596617636,3.876941012150658e-33,5.970811810949386,1.8208426450248074,1.0
3448,MSR1_code_potential_somatic,ENSG00000278129,3448,1.0,1.3807708096167286,0.28577778779199436,9.277291121974132e-12,5.824568639855327,1.8181743593796817,1.0
1286,MSR1_code_potential_somatic,ENSG00000118263,1286,1.0,2.0790350318092514,0.2265196093551353,8.3032813650821e-08,4.418468353270923,1.6208912756041693,1.0
1292,MSR1_code_potential_somatic,ENSG00000118263,1292,1.0,2.0790350318092514,0.5005456168102334,4.332669506832742e-36,3.9146297226593094,1.3207235142178364,1.0
1293,MSR1_code_potential_somatic,ENSG00000118263,1293,1.0,2.0790350318092514,0.6111127031770904,2.0557312282819358e-57,4.461712427917195,1.4188907672780002,1.0
1520,MSR1_code_potential_somatic,ENSG00000012223,1520,1.0,2.669390175078483,0.308661536519648,1.4650970081105438e-13,3.8062936397375964,1.352175035438739,1.0
1051,MSR1_code_potential_somatic,ENSG00000005889,1051,1.0,1.5659543268821965,0.2938748652182464,2.229744956651044e-12,6.639098938740914,2.168950998131801,1.0
1046,MSR1_code_potential_somatic,ENSG00000005889,1046,1.0,1.5659543268821965,0.3437857690739653,1.198652801116821e-16,4.008170329543703,1.3018490476612377,1.0
1055,MSR1_code_potential_somatic,ENSG00000005889,1055,1.0,1.5659543268821965,0.29459508669965967,1.959838665532528e-12,6.072558379367379,1.8815285240175994,1.0
1052,MSR1_code_potential_somatic,ENSG00000005889,1052,1.0,1.5659543268821965,0.4739671326121202,4.879648859264645e-32,5.258597935563392,1.5697545016642436,1.0
