,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2530,MTUS2_code_potential_somatic,ENSG00000112333,2530,1.0,3.8574221198087613,0.62790340879799,1.984555698064428e-61,6.141857518272135,6.409712820619872,1.0
2529,MTUS2_code_potential_somatic,ENSG00000112333,2529,1.0,3.8574221198087613,-0.2800459856712603,2.476477360786239e-11,-5.325255261907153,2.99461864302697,1.0
3680,MTUS2_code_potential_somatic,ENSG00000106689,3680,1.0,1.8391669247263656,-0.24121943406502502,1.0742751561879217e-08,-3.4858240146864397,1.9391761933639775,1.0
1688,MTUS2_code_potential_somatic,ENSG00000105997,1688,1.0,1.6508907714452552,-0.23378019919424414,3.075794675079712e-08,-4.24344661973281,1.7949018490710804,0.3333333333333333
981,MTUS2_code_potential_somatic,ENSG00000066136,981,-1.0,2.346269212569526,0.1837544080478717,1.5001226498224728e-05,-6.053693515238274,5.735081966661543,1.0
3588,MTUS2_code_potential_somatic,ENSG00000123268,3588,-1.0,2.3092494051320105,0.3535658182316153,1.400559135623838e-17,-4.970761884937792,2.923001281246971,1.0
1288,MTUS2_code_potential_somatic,ENSG00000118263,1288,1.0,4.514240748919662,0.4449642357569221,5.275683015253646e-28,4.3809188216472865,1.4424069233204568,1.0
1293,MTUS2_code_potential_somatic,ENSG00000118263,1293,1.0,4.514240748919662,0.6111127031770904,2.0557312282819358e-57,3.945400229693072,1.6064473958573466,1.0
2132,MTUS2_code_potential_somatic,ENSG00000175592,2132,1.0,2.026777168433909,0.45086644970331796,8.55900065237079e-29,3.7281260098902855,1.3115838013657064,1.0
187,MTUS2_code_potential_somatic,ENSG00000007866,187,1.0,4.735361884921599,0.2362745743587298,2.1700620996703264e-08,6.553898492400082,3.4184749344069902,1.0
185,MTUS2_code_potential_somatic,ENSG00000007866,185,1.0,4.735361884921599,0.42703621167438405,1.068239312855163e-25,4.248889049842476,2.877875251430273,1.0
180,MTUS2_code_potential_somatic,ENSG00000007866,180,1.0,4.735361884921599,0.5138902409296537,2.9129729113115976e-38,8.251273215544133,6.031408587355251,1.0
