,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1634,NBAS_code_potential_somatic,ENSG00000028277,1634,-1.0,1.3778403240181814,-0.15327621292275825,0.0003167366736369606,3.2728007340248944,1.5213986948007467,1.0
2418,NBAS_code_potential_somatic,ENSG00000198815,2418,1.0,2.2646161939994287,0.5605588720355945,1.1486430183478801e-46,3.068215533543224,1.3676021257029405,1.0
2421,NBAS_code_potential_somatic,ENSG00000198815,2421,1.0,2.2646161939994287,0.4962312152317401,2.0837620924403538e-35,4.999318362499094,2.749542643713772,1.0
2415,NBAS_code_potential_somatic,ENSG00000198815,2415,1.0,2.2646161939994287,0.4737380938682588,5.269654705138721e-32,7.72899745015175,5.9558879844250185,1.0
2200,NBAS_code_potential_somatic,ENSG00000169083,2200,1.0,1.5042244225431216,0.4223688818818541,4.044150961655349e-25,2.716160697794688,1.304245134897104,1.0
2199,NBAS_code_potential_somatic,ENSG00000169083,2199,1.0,1.5042244225431216,0.23503159619003786,2.5832830299994912e-08,3.812817137956098,1.665740192060582,1.0
2203,NBAS_code_potential_somatic,ENSG00000169083,2203,1.0,1.5042244225431216,0.4748926212262841,3.574342057785658e-32,3.2013469524751694,1.4517164760561647,1.0
2204,NBAS_code_potential_somatic,ENSG00000169083,2204,1.0,1.5042244225431216,0.1620925638827412,0.00013837408926734533,3.2111520164941103,1.3387026377505498,1.0
3419,NBAS_code_potential_somatic,ENSG00000100393,3419,1.0,1.5779907710041383,0.3300731954156959,2.1466856365060232e-15,3.633696230587661,1.6150388828726077,1.0
2522,NBAS_code_potential_somatic,ENSG00000112333,2522,1.0,1.7749946594507218,0.4848949276559143,1.1626510343479794e-33,7.357010982167123,5.948662886411257,1.0
1108,NBAS_code_potential_somatic,ENSG00000100105,1108,1.0,1.3880828347830405,0.5687831932084362,2.7362525640183454e-48,3.2676926084831543,1.5661284325328004,0.5
1453,NBAS_code_potential_somatic,ENSG00000007372,1453,1.0,1.9597474184616293,0.33535464946827065,7.18681013563543e-16,3.719446634825145,1.535342695074418,1.0
2958,NBAS_code_potential_somatic,ENSG00000099326,2958,1.0,1.3145779627284104,0.15502495763949944,0.0002696883889990905,2.9553597777562244,1.3252870069606184,1.0
2953,NBAS_code_potential_somatic,ENSG00000099326,2953,1.0,1.3145779627284104,0.25546876486865056,1.2976767642873078e-09,3.5000203405211727,1.4859897267746087,1.0
2952,NBAS_code_potential_somatic,ENSG00000099326,2952,1.0,1.3145779627284104,0.6748517573892705,4.433728282902681e-74,4.184649947312598,1.832979802185052,1.0
3749,NBAS_code_potential_somatic,ENSG00000242265,3749,1.0,1.3202775295568643,0.23550542419309783,2.417490932206348e-08,5.1118800320875195,2.0265884758560033,1.0
