,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3756,NLRP11_code_potential_somatic,ENSG00000176842,3756,-1.0,1.4274322349921515,0.1922083134370656,5.855888948107238e-06,-6.054676324632059,6.327282307110762,1.0
713,NLRP11_code_potential_somatic,ENSG00000168310,713,-1.0,1.5483891647705168,0.22724201840812316,7.533166919045975e-08,-4.058522805994532,1.7223437904169039,1.0
721,NLRP11_code_potential_somatic,ENSG00000168310,721,-1.0,1.5483891647705168,0.29651482659448264,1.3870363683253478e-12,-3.423169326930116,2.294570034093391,1.0
2561,NLRP11_code_potential_somatic,ENSG00000175745,2561,1.0,1.769455009087897,-0.24991678113134932,3.0032564263120494e-09,-3.4669446942410356,1.3460097376829128,1.0
2569,NLRP11_code_potential_somatic,ENSG00000175745,2569,1.0,1.769455009087897,-0.22713847335359172,7.639153588939715e-08,-4.951890543915409,2.0628313634681406,1.0
3506,NLRP11_code_potential_somatic,ENSG00000149948,3506,-1.0,1.7138365157706485,0.32392738253541986,7.46932481663449e-15,-4.218034757039591,1.523532319986832,1.0
1425,NLRP11_code_potential_somatic,ENSG00000141448,1425,-1.0,2.6229087962840505,0.26666125119340894,2.2483415820679631e-10,-6.771237933991053,9.675030746117672,1.0
1417,NLRP11_code_potential_somatic,ENSG00000141448,1417,-1.0,2.6229087962840505,-0.192812089331174,5.466614965350945e-06,4.010879794155011,1.403449261096811,1.0
539,NLRP11_code_potential_somatic,ENSG00000169136,539,-1.0,1.504386013485441,0.25295954735352333,1.9008394647622057e-09,-5.601387133443325,5.255429287496873,1.0
542,NLRP11_code_potential_somatic,ENSG00000169136,542,-1.0,1.504386013485441,0.3519113578497397,2.0245647906471083e-17,-3.234786857476228,1.42576728129863,1.0
545,NLRP11_code_potential_somatic,ENSG00000169136,545,-1.0,1.504386013485441,0.3903781268510046,2.1586116099870858e-21,-3.092130646413361,1.4124691311712219,1.0
