,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1934,NOX3_code_potential_somatic,ENSG00000006468,1934,1.0,1.3943062873247094,0.4887761171435828,2.984075155559033e-34,3.1296560412219896,1.5050446045760577,1.0
1925,NOX3_code_potential_somatic,ENSG00000006468,1925,1.0,1.3943062873247094,0.15387422207220344,0.0002998472316952456,3.2956001977751486,1.5741030038862833,1.0
1929,NOX3_code_potential_somatic,ENSG00000006468,1929,1.0,1.3943062873247094,0.25746820528784176,9.545323814512847e-10,2.7704273267131083,1.363195269038776,1.0
1926,NOX3_code_potential_somatic,ENSG00000006468,1926,1.0,1.3943062873247094,0.4345725415870117,1.1909165325631423e-26,4.3960939936727685,2.054834366058869,1.0
1931,NOX3_code_potential_somatic,ENSG00000006468,1931,1.0,1.3943062873247094,0.307037410463607,1.9908923655259898e-13,2.9944750195325436,1.4550902523347573,1.0
3599,NOX3_code_potential_somatic,ENSG00000168779,3599,1.0,1.8342508427378255,0.4704775999320541,1.5647032113427093e-31,3.305224763285419,1.5610745152870482,1.0
366,NOX3_code_potential_somatic,ENSG00000163497,366,-1.0,1.4580017118187492,0.2894018731355593,4.928790824080555e-12,-2.6978912992585706,1.3792972434205388,1.0
2520,NOX3_code_potential_somatic,ENSG00000112333,2520,1.0,1.614771958215995,0.5670993464484083,5.931604568650053e-48,5.808642830252085,2.5759043337770766,1.0
2530,NOX3_code_potential_somatic,ENSG00000112333,2530,1.0,1.614771958215995,0.62790340879799,1.984555698064428e-61,3.3311900188808936,1.5840829634048617,1.0
2529,NOX3_code_potential_somatic,ENSG00000112333,2529,1.0,1.614771958215995,-0.2800459856712603,2.476477360786239e-11,-2.67597552971506,1.406099221603947,1.0
2521,NOX3_code_potential_somatic,ENSG00000112333,2521,1.0,1.614771958215995,-0.22798156343844547,6.816424123189805e-08,-7.00545225623847,5.415678327738554,1.0
2519,NOX3_code_potential_somatic,ENSG00000112333,2519,1.0,1.614771958215995,0.5367556869751333,3.2412023142188855e-42,5.999339029702016,2.663371635308964,1.0
2720,NOX3_code_potential_somatic,ENSG00000130726,2720,1.0,1.5362213119425383,0.3850182848170064,8.316832791246072e-21,3.62627627380376,1.7379518725474516,1.0
2336,NOX3_code_potential_somatic,ENSG00000198914,2336,1.0,1.3937280049454053,-0.33604971387657595,6.213086664934287e-16,-4.729936534752237,2.3081441297154917,1.0
2951,NOX3_code_potential_somatic,ENSG00000099326,2951,1.0,2.796408815848499,0.461927978289373,2.5699245299049342e-30,4.777957830247439,2.2043892737483177,1.0
