,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3064,OR4K5_code_potential_somatic,ENSG00000124782,3064,-1.0,1.332423349338463,0.18818766768191866,9.20781015275913e-06,-7.102589000000505,6.15768549421349,0.6666666666666666
3059,OR4K5_code_potential_somatic,ENSG00000124782,3059,-1.0,1.332423349338463,0.4756982309181596,2.723821737395236e-32,-5.468478549521222,1.6549019295755518,0.6666666666666666
2525,OR4K5_code_potential_somatic,ENSG00000112333,2525,1.0,1.7114878888079188,0.4068991778158076,2.8815856743790265e-23,3.859907269891391,1.3149805216979982,1.0
2457,OR4K5_code_potential_somatic,ENSG00000071794,2457,1.0,1.3416817512822146,0.39612341899644865,4.945513996166504e-22,12.035967910027782,3.935156789309311,1.0
3523,OR4K5_code_potential_somatic,ENSG00000153234,3523,-1.0,1.8403316612014233,0.12843859818371767,0.0025928454275054203,-3.3551616316762294,1.684723840348687,1.0
3601,OR4K5_code_potential_somatic,ENSG00000166478,3601,1.0,2.0437726579449165,0.4831486621869576,2.1317641999305934e-33,4.783502421997802,2.6137033628223136,1.0
3668,OR4K5_code_potential_somatic,ENSG00000198517,3668,-1.0,1.3812429732768445,-0.15469733233667574,0.00027797277635311095,2.7913063682824184,1.327489642406343,1.0
956,OR4K5_code_potential_somatic,ENSG00000129173,956,1.0,1.846423985379926,0.7719811749257338,1.5861341031969156e-109,8.831305385354666,9.29133048215082,1.0
3715,OR4K5_code_potential_somatic,ENSG00000163435,3715,-1.0,2.2112170176262333,-0.08623727990933537,0.043600243110006716,2.738550855753822,2.0975627615979566,1.0
3634,OR4K5_code_potential_somatic,ENSG00000076604,3634,1.0,1.8497918553641413,0.2577910908522539,9.081248494540202e-10,4.345884135389881,1.448387861900466,0.5
1251,OR4K5_code_potential_somatic,ENSG00000089220,1251,1.0,4.8236375942323475,-0.25190287736393546,2.229592483766057e-09,-4.540624378091733,2.0119601420193285,1.0
2153,OR4K5_code_potential_somatic,ENSG00000125798,2153,1.0,2.0005653418349008,-0.2340867080856713,2.9473693874078184e-08,-9.094285350402018,8.859115452427407,1.0
3563,OR4K5_code_potential_somatic,ENSG00000025156,3563,1.0,2.2823307578298135,0.39424123241365644,8.03990843147202e-22,5.121059560939852,1.8139179337600555,1.0
983,OR4K5_code_potential_somatic,ENSG00000282899,983,-1.0,2.7316031621439287,-0.36134176015071495,2.4068159270105092e-18,4.487699724968203,1.6008413055860011,0.5
2225,OR4K5_code_potential_somatic,ENSG00000187140,2225,-1.0,2.7316031621439287,-0.27753099919708624,3.783178836781041e-11,6.198404579152344,2.6289284815748095,1.0
2217,OR4K5_code_potential_somatic,ENSG00000187140,2217,-1.0,2.7316031621439287,-0.22553506779266524,9.476194167613509e-08,9.306433157120134,4.62218497322054,1.0
2218,OR4K5_code_potential_somatic,ENSG00000187140,2218,-1.0,2.7316031621439287,-0.33403129091008305,9.472778577955283e-16,4.390543391411864,1.6078313134331261,1.0
2227,OR4K5_code_potential_somatic,ENSG00000187140,2227,-1.0,2.7316031621439287,-0.35768953704612905,5.5374193482385716e-18,10.407266443025751,17.085849249954375,1.0
916,OR4K5_code_potential_somatic,ENSG00000101057,916,1.0,7.12635863203947,0.8137042900539069,9.46897652452271e-131,4.7632589962870755,1.6559639172274163,1.0
2353,OR4K5_code_potential_somatic,ENSG00000155959,2353,1.0,1.5983339843180986,0.5774814882224429,4.679188468862829e-50,6.254087017780305,1.9595402728580704,1.0
1181,OR4K5_code_potential_somatic,ENSG00000100811,1181,1.0,3.4478111353430507,0.202856283037344,1.6864678669358975e-06,4.8912802710285535,1.6799906835547065,1.0
