,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2408,OR51A2_code_potential_somatic,ENSG00000198815,2408,1.0,1.6544796415347678,0.6558470105777108,1.0989746058201963e-68,4.02077755885167,1.628460558878709,0.3333333333333333
1505,OR51A2_code_potential_somatic,ENSG00000165495,1505,-1.0,1.4764512292793137,0.40147655247761804,1.2205230895498734e-22,-9.871068074573717,5.9105831796253945,0.5
366,OR51A2_code_potential_somatic,ENSG00000163497,366,-1.0,3.746015817669345,0.2894018731355593,4.928790824080555e-12,-2.49855165747655,1.3298332958089192,1.0
1079,OR51A2_code_potential_somatic,ENSG00000163848,1079,1.0,1.5381949692306578,0.3841071612561824,1.043439722072115e-20,4.135179540677572,3.797268439894291,1.0
1080,OR51A2_code_potential_somatic,ENSG00000163848,1080,1.0,1.5381949692306578,0.44276098658602986,1.030827146531104e-27,3.778480465632946,1.3057882039616917,1.0
1066,OR51A2_code_potential_somatic,ENSG00000163848,1066,1.0,1.5381949692306578,0.5698172582917531,1.6976368826165313e-48,3.2710636651145983,1.383704162936977,1.0
3316,OR51A2_code_potential_somatic,ENSG00000091831,3316,-1.0,5.667091932173115,-0.28535194052547075,9.987085165658603e-12,3.78235728022996,1.567705101259953,1.0
2158,OR51A2_code_potential_somatic,ENSG00000124766,2158,-1.0,3.3191302124791378,0.7488274069467211,1.3197331325854062e-99,-4.917774375294911,2.8670556646528356,0.3333333333333333
1478,OR51A2_code_potential_somatic,ENSG00000087510,1478,-1.0,1.3707362545687305,0.18597004834244504,1.1770953620639454e-05,-5.675250697524578,1.9389368838572558,1.0
3026,OR51A2_code_potential_somatic,ENSG00000166949,3026,1.0,1.672623155277205,0.3849844503766524,8.387289374062211e-21,3.96911165789821,1.4088706082339337,1.0
3496,OR51A2_code_potential_somatic,ENSG00000120093,3496,1.0,1.468144829978692,-0.1755237429174636,3.601821862987494e-05,-4.489225241414468,2.1926916047224743,1.0
3495,OR51A2_code_potential_somatic,ENSG00000120093,3495,1.0,1.468144829978692,-0.3257861384818852,5.1380715349645825e-15,-4.831073997230893,1.5246085360350583,1.0
3393,OR51A2_code_potential_somatic,ENSG00000120149,3393,-1.0,2.6577011165263307,0.1356500737175161,0.0014577784066699124,-3.481659421853333,1.4109494172590582,1.0
2860,OR51A2_code_potential_somatic,ENSG00000116132,2860,1.0,2.1281092110170214,-0.23366224930338605,3.1266436270945316e-08,-4.6630824869943,1.9076297676206508,1.0
841,OR51A2_code_potential_somatic,ENSG00000113580,841,1.0,11.424699673738955,0.5383941051654617,1.643079127810912e-42,4.427173878191528,1.614976638582697,0.4
851,OR51A2_code_potential_somatic,ENSG00000113580,851,1.0,11.424699673738955,-0.33467030416068094,8.291506310731383e-16,-5.48889650562025,3.4746198533132127,0.4
