,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1586,OR51F1_code_potential_somatic,ENSG00000185811,1586,-1.0,13.629064259777888,0.6233205921872924,2.6175272440063035e-60,-4.9454845753568035,1.8252071254802635,1.0
1597,OR51F1_code_potential_somatic,ENSG00000185811,1597,-1.0,13.629064259777888,0.21535191062865922,3.5884866081187396e-07,-5.113168226059159,1.585137969364566,1.0
3242,OR51F1_code_potential_somatic,ENSG00000025434,3242,-1.0,1.831111795564953,0.5289986310906277,7.68889182432963e-41,-3.9718713157012986,1.3747396722881018,1.0
1247,OR51F1_code_potential_somatic,ENSG00000151702,1247,-1.0,1.557687481721662,0.3246923526945814,6.40542249135754e-15,-5.9360527955865425,1.6341867206746872,1.0
221,OR51F1_code_potential_somatic,ENSG00000020633,221,-1.0,19.129032450472515,0.6379715611320159,5.8828214436437776e-64,-13.421534701288053,6.858543248925578,1.0
227,OR51F1_code_potential_somatic,ENSG00000020633,227,-1.0,19.129032450472515,0.4475187360036436,2.4116916755157605e-28,-4.059321254172732,1.431382217732587,1.0
344,OR51F1_code_potential_somatic,ENSG00000159216,344,-1.0,15.936369283788286,0.46056329822208036,3.988216844167444e-30,-15.939733513440608,30.161156617249812,1.0
348,OR51F1_code_potential_somatic,ENSG00000159216,348,-1.0,15.936369283788286,0.3131232345841649,6.247962558606434e-14,-6.729575218651028,1.9629841601034483,1.0
2188,OR51F1_code_potential_somatic,ENSG00000132170,2188,-1.0,8.891475156011337,0.38661812882856933,5.574890332489311e-21,-5.204094238550514,1.5254902613626589,1.0
2195,OR51F1_code_potential_somatic,ENSG00000132170,2195,-1.0,8.891475156011337,0.4387491990753573,3.447069013165574e-27,-4.79077990869332,1.4561969284712268,1.0
163,OR51F1_code_potential_somatic,ENSG00000178573,163,-1.0,13.060309984965839,0.4531010540667795,4.2591906544578275e-29,-4.263937702179212,1.34811954528503,1.0
166,OR51F1_code_potential_somatic,ENSG00000178573,166,-1.0,13.060309984965839,0.5169340280185626,9.020489212937334e-39,-5.226144937599104,1.7582265684739449,1.0
