,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1439,OR5L2_code_potential_somatic,ENSG00000221869,1439,1.0,2.256116331073972,0.3888261177378731,3.1981947441845913e-21,7.485564044534143,5.585121760956186,1.0
1440,OR5L2_code_potential_somatic,ENSG00000221869,1440,1.0,2.256116331073972,0.7210168824377889,4.8594174980191e-89,4.29106274366119,1.5540999266119744,1.0
1036,OR5L2_code_potential_somatic,ENSG00000137203,1036,-1.0,1.5043903398065535,-0.2227410898933683,1.3742325448913637e-07,7.5294669914456165,2.9806057365000354,1.0
2498,OR5L2_code_potential_somatic,ENSG00000184058,2498,1.0,2.700174973394597,-0.17198550427466147,5.186089269900075e-05,-5.566180769266546,1.7823317639162382,0.5
3597,OR5L2_code_potential_somatic,ENSG00000168779,3597,1.0,1.950549092154007,0.35609604292540536,7.938393125223019e-18,11.62258315612294,17.855985406091936,1.0
2520,OR5L2_code_potential_somatic,ENSG00000112333,2520,1.0,2.9806057365000354,0.5670993464484083,5.931604568650053e-48,5.2676449075263365,1.711106151556912,1.0
2530,OR5L2_code_potential_somatic,ENSG00000112333,2530,1.0,2.9806057365000354,0.62790340879799,1.984555698064428e-61,8.927559567039092,3.0065884326674124,1.0
2519,OR5L2_code_potential_somatic,ENSG00000112333,2519,1.0,2.9806057365000354,0.5367556869751333,3.2412023142188855e-42,7.957732167852024,2.6074099882707604,1.0
3319,OR5L2_code_potential_somatic,ENSG00000091831,3319,-1.0,1.739745076140427,0.11622203180626983,0.0064552942383235695,-3.2695147921504133,1.3021501312662076,1.0
1392,OR5L2_code_potential_somatic,ENSG00000125398,1392,1.0,1.5473892132445308,-0.4753318126794128,3.0824486112951023e-32,-6.411535328612738,2.584555511711266,0.75
1404,OR5L2_code_potential_somatic,ENSG00000125398,1404,1.0,1.5473892132445308,0.2968678277275718,1.3012448904839674e-12,6.879265749024148,2.4984155648063777,0.75
1401,OR5L2_code_potential_somatic,ENSG00000125398,1401,1.0,1.5473892132445308,0.3077216828521442,1.749994526371816e-13,7.775478324669893,3.280783235629533,0.75
2108,OR5L2_code_potential_somatic,ENSG00000069667,2108,1.0,1.6203874456186502,0.4641315191364751,1.2586947641370024e-30,6.577555813507108,2.1670595995664863,0.6666666666666666
2112,OR5L2_code_potential_somatic,ENSG00000069667,2112,1.0,1.6203874456186502,0.4309491209498844,3.443222759773247e-26,9.641060816829318,3.3150922538297163,0.6666666666666666
3438,OR5L2_code_potential_somatic,ENSG00000175832,3438,1.0,3.051407793785171,0.2747895428536886,5.974839450953323e-11,4.975845113428265,1.9874175593352181,1.0
3259,OR5L2_code_potential_somatic,ENSG00000184481,3259,-1.0,1.7434306416814214,-0.22017601638403608,1.9249384956311133e-07,6.650025768398629,2.760334146848384,0.6666666666666666
3258,OR5L2_code_potential_somatic,ENSG00000184481,3258,-1.0,1.7434306416814214,0.3408873825757153,2.2324339101400756e-16,-3.4645159130083125,1.4004423599237181,0.6666666666666666
1496,OR5L2_code_potential_somatic,ENSG00000129194,1496,1.0,4.564547087262767,0.27506153091946484,5.711289813643518e-11,3.5327332553926025,1.3936233824173208,0.8333333333333334
1487,OR5L2_code_potential_somatic,ENSG00000129194,1487,1.0,4.564547087262767,-0.3026482668563146,4.5170402107734806e-13,-5.257564542377478,1.927545337235695,0.8333333333333334
1490,OR5L2_code_potential_somatic,ENSG00000129194,1490,1.0,4.564547087262767,-0.17995838801350786,2.2577758337536196e-05,-4.8716729450839695,2.451616486751783,0.8333333333333334
1481,OR5L2_code_potential_somatic,ENSG00000129194,1481,1.0,4.564547087262767,-0.38637348540747574,5.927386457306242e-21,-6.278500922778915,2.730883026384036,0.8333333333333334
1482,OR5L2_code_potential_somatic,ENSG00000129194,1482,1.0,4.564547087262767,0.3566725344628204,6.970169558178879e-18,6.545537120338456,2.1659277357736,0.8333333333333334
111,OR5L2_code_potential_somatic,ENSG00000057657,111,1.0,1.440674834462345,0.30562263500725584,2.596515299717595e-13,3.7964649740565677,1.4106818732528015,1.0
7,OR5L2_code_potential_somatic,ENSG00000126351,7,-1.0,3.115704912105716,0.5924389359447688,3.1973683806405464e-53,-5.61865499819004,2.4781264485185917,1.0
238,OR5L2_code_potential_somatic,ENSG00000177606,238,1.0,1.3032384100373047,0.5242632678221274,5.105164133303365e-40,6.303050546302553,2.9770712751185875,0.75
256,OR5L2_code_potential_somatic,ENSG00000177606,256,1.0,1.3032384100373047,0.27005352331371596,1.300185557905563e-10,9.306099822431904,3.914320337367567,0.75
237,OR5L2_code_potential_somatic,ENSG00000177606,237,1.0,1.3032384100373047,-0.055663633744516584,0.19322910726499928,-4.236552090859952,1.5824932367240763,0.75
3554,OR5L2_code_potential_somatic,ENSG00000167157,3554,1.0,1.3013766834148097,-0.20567504077146256,1.1993575434441438e-06,-8.750226212032572,8.932555739741177,0.5
2885,OR5L2_code_potential_somatic,ENSG00000136535,2885,-1.0,2.3340783544075983,-0.1740189505436227,4.2095410235556445e-05,4.347997588887988,1.4923005875510287,1.0
2975,OR5L2_code_potential_somatic,ENSG00000187079,2975,1.0,1.6208545218539507,0.26291212298935746,4.081994863604372e-10,5.095811570310367,1.6524488676670217,1.0
2970,OR5L2_code_potential_somatic,ENSG00000187079,2970,1.0,1.6208545218539507,0.45223907794733165,5.578391551470065e-29,9.592785512247469,3.3752654157915143,1.0
2969,OR5L2_code_potential_somatic,ENSG00000187079,2969,1.0,1.6208545218539507,0.3898660892644415,2.458114604640468e-21,4.563291384491374,1.5002607209430503,1.0
121,OR5L2_code_potential_somatic,ENSG00000196843,121,1.0,2.4984155648063777,0.3782272605398475,4.4340798692102234e-20,3.4039699673527712,1.3031630936030685,1.0
124,OR5L2_code_potential_somatic,ENSG00000196843,124,1.0,2.4984155648063777,0.08104726634857919,0.057952679321327555,5.614988395064843,7.274510079735397,1.0
118,OR5L2_code_potential_somatic,ENSG00000196843,118,1.0,2.4984155648063777,0.3938647513456665,8.857303610475404e-22,5.3108325386947435,1.7063462625345314,1.0
117,OR5L2_code_potential_somatic,ENSG00000196843,117,1.0,2.4984155648063777,0.3881891698143999,3.75587017565155e-21,3.1052337673899477,1.3101410951440373,1.0
2823,OR5L2_code_potential_somatic,ENSG00000126456,2823,1.0,1.645976685025035,0.4195568315417488,8.929547673661836e-25,6.46087716183664,2.099122625993792,1.0
2824,OR5L2_code_potential_somatic,ENSG00000126456,2824,1.0,1.645976685025035,0.3976187700057979,3.3541140019250776e-22,5.0251318339572295,1.750509213650427,1.0
2833,OR5L2_code_potential_somatic,ENSG00000126456,2833,1.0,1.645976685025035,0.4254748689225342,1.6714105648375645e-25,4.158763219176793,1.3980526940303823,1.0
