,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
214,OTOA_code_potential_somatic,ENSG00000136826,214,-1.0,1.4509111680779774,0.2645969906161201,3.1258888782178924e-10,-3.530318488613104,1.669289720896729,1.0
3526,OTOA_code_potential_somatic,ENSG00000153234,3526,-1.0,3.8212780893162326,0.28253318163253655,1.6218199881278203e-11,-3.5716420689154025,1.6109805660128964,1.0
3523,OTOA_code_potential_somatic,ENSG00000153234,3523,-1.0,3.8212780893162326,0.12843859818371767,0.0025928454275054203,-3.276423134250327,1.605968920970783,1.0
3525,OTOA_code_potential_somatic,ENSG00000153234,3525,-1.0,3.8212780893162326,0.18073526759870343,2.0779665810347115e-05,-3.0283585726928326,1.5513097893692118,1.0
2186,OTOA_code_potential_somatic,ENSG00000132170,2186,-1.0,1.8906343833532566,0.45265675827997665,4.895182796667773e-29,-2.9739279641977325,1.378377215257493,1.0
464,OTOA_code_potential_somatic,ENSG00000172216,464,-1.0,1.6943502793759542,0.30853159476811637,1.501592942704524e-13,-3.1971923770067137,1.4055043030199377,1.0
459,OTOA_code_potential_somatic,ENSG00000172216,459,-1.0,1.6943502793759542,0.37768933668965154,5.0541939676146437e-20,-6.342590499979095,4.516942235903769,1.0
473,OTOA_code_potential_somatic,ENSG00000172216,473,-1.0,1.6943502793759542,0.5345396040510034,8.07633152170066e-42,-2.998469103619283,1.3649407687108983,1.0
470,OTOA_code_potential_somatic,ENSG00000172216,470,-1.0,1.6943502793759542,0.7912697226895726,9.865638401480642e-119,-5.907713379108174,3.903189314354031,1.0
478,OTOA_code_potential_somatic,ENSG00000172216,478,-1.0,1.6943502793759542,0.5755761863000123,1.1527766325315883e-49,-4.489587987879812,2.1437206058085687,1.0
458,OTOA_code_potential_somatic,ENSG00000172216,458,-1.0,1.6943502793759542,0.6437152490583052,1.92593106774297e-65,-5.92435578360493,2.7457547940627514,1.0
3711,OTOA_code_potential_somatic,ENSG00000163435,3711,-1.0,1.5478655833571975,0.1713368767617699,5.540195542884278e-05,-4.951252495418356,2.309423185259721,1.0
3712,OTOA_code_potential_somatic,ENSG00000163435,3712,-1.0,1.5478655833571975,0.23974326076647987,1.3273277728038533e-08,-4.906888874506492,2.7195984401316293,1.0
66,OTOA_code_potential_somatic,ENSG00000166888,66,-1.0,1.7482838557792344,0.4593280494729521,5.9264545248030955e-30,-3.1958649701599136,1.5202238849866214,1.0
67,OTOA_code_potential_somatic,ENSG00000166888,67,-1.0,1.7482838557792344,0.22734286545771254,7.431307884206914e-08,-5.0018441957142175,2.552892534327496,1.0
1476,OTOA_code_potential_somatic,ENSG00000087510,1476,-1.0,1.9329187135673234,0.22488433575678962,1.0337572531428442e-07,-2.8773872985436095,1.4946280393102684,0.75
1470,OTOA_code_potential_somatic,ENSG00000087510,1470,-1.0,1.9329187135673234,0.22247778739014765,1.4228685801076825e-07,-3.611249049616898,1.654424338603478,0.75
1467,OTOA_code_potential_somatic,ENSG00000087510,1467,-1.0,1.9329187135673234,0.3621860031536285,1.9821152866970234e-18,-4.943311062063937,2.9241182535147154,0.75
1256,OTOA_code_potential_somatic,ENSG00000073282,1256,-1.0,1.4442046062585603,0.13710481131401833,0.0012934967084858022,-3.638872321144977,1.6781440718459752,1.0
1425,OTOA_code_potential_somatic,ENSG00000141448,1425,-1.0,2.3002519830514996,0.26666125119340894,2.2483415820679631e-10,-5.982952413551179,3.6968846323910602,1.0
1416,OTOA_code_potential_somatic,ENSG00000141448,1416,-1.0,2.3002519830514996,0.4673902354113108,4.338315352878638e-31,-7.276769714472861,5.874103808241768,1.0
1418,OTOA_code_potential_somatic,ENSG00000141448,1418,-1.0,2.3002519830514996,0.13210189422491228,0.0019420373258037258,-2.7946259235003557,1.361868192215247,1.0
1235,OTOA_code_potential_somatic,ENSG00000110777,1235,-1.0,2.1049217106449065,0.36754829584680226,5.697930515715456e-19,-4.930185695208339,2.128601890701637,1.0
1982,OTOA_code_potential_somatic,ENSG00000179348,1982,-1.0,1.4675935284596366,0.2654395702676064,2.7334275585083713e-10,-3.1172671549696607,1.4618146488291002,1.0
