,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2364,PARG_code_potential_somatic,ENSG00000148516,2364,1.0,1.5288147607071154,-0.5002130330118405,4.894209518590839e-36,-5.468785860251011,3.092606127340106,1.0
2368,PARG_code_potential_somatic,ENSG00000148516,2368,1.0,1.5288147607071154,-0.21610129973106726,3.260604109727379e-07,-3.7123568055246148,1.7642580349722918,1.0
3754,PARG_code_potential_somatic,ENSG00000177374,3754,-1.0,5.769265556429342,-0.20892584620919735,8.047341693475429e-07,2.904055155298738,1.3446604731375138,1.0
1577,PARG_code_potential_somatic,ENSG00000105866,1577,1.0,1.4254266869663477,0.37185151026660157,2.0597864056495832e-19,3.3045596594856637,1.4649126045042993,1.0
1581,PARG_code_potential_somatic,ENSG00000105866,1581,1.0,1.4254266869663477,0.3174751165556365,2.683239351199029e-14,4.207499173555137,1.8192996495781109,1.0
3530,PARG_code_potential_somatic,ENSG00000196812,3530,1.0,1.3075193665746805,-0.20078589238008301,2.1596807806476795e-06,-3.117909622239955,1.436747458827234,1.0
3526,PARG_code_potential_somatic,ENSG00000153234,3526,-1.0,1.3746579551786202,0.28253318163253655,1.6218199881278203e-11,-3.3999304843910227,1.4661319244457722,1.0
3523,PARG_code_potential_somatic,ENSG00000153234,3523,-1.0,1.3746579551786202,0.12843859818371767,0.0025928454275054203,-2.9411153504099854,1.3959078975749004,1.0
3522,PARG_code_potential_somatic,ENSG00000153234,3522,-1.0,1.3746579551786202,0.17118411134680978,5.626856667007211e-05,-3.7384464789628287,1.8614172400157194,1.0
560,PARG_code_potential_somatic,ENSG00000181449,560,1.0,1.7798721419038697,0.7759856705311577,2.31757765165303e-111,3.65549148374033,1.6064323459261534,1.0
557,PARG_code_potential_somatic,ENSG00000181449,557,1.0,1.7798721419038697,-0.4037005106594165,6.773678806362243e-23,-3.261295838163982,1.3947399013841388,1.0
550,PARG_code_potential_somatic,ENSG00000181449,550,1.0,1.7798721419038697,-0.5315766841913027,2.708812111714531e-41,-3.1326052667732927,1.4975410826559177,1.0
101,PARG_code_potential_somatic,ENSG00000057657,101,-1.0,1.481471689908912,0.33171183236318186,1.5321605518351249e-15,-3.203212646752185,1.3714928958664558,1.0
108,PARG_code_potential_somatic,ENSG00000057657,108,-1.0,1.481471689908912,0.3942166586929683,8.09091190283462e-22,-3.7579371808707616,1.6630088449751954,1.0
114,PARG_code_potential_somatic,ENSG00000057657,114,-1.0,1.481471689908912,0.28656261555391105,8.096012626668552e-12,-4.812497906440351,1.903172851656217,1.0
103,PARG_code_potential_somatic,ENSG00000057657,103,-1.0,1.481471689908912,0.45062778564452827,9.218547571241051e-29,-2.9921199479024003,1.4438356295844432,1.0
1644,PARG_code_potential_somatic,ENSG00000138795,1644,-1.0,1.5919526382303855,0.41089995454955464,9.76497921677837e-24,-3.604355011954061,1.5325590967416873,1.0
1646,PARG_code_potential_somatic,ENSG00000138795,1646,-1.0,1.5919526382303855,0.4449703609573309,5.265831785172236e-28,-2.8115466499884474,1.3310566990842947,1.0
739,PARG_code_potential_somatic,ENSG00000196628,739,1.0,1.3822465814875586,-0.3530510097210577,1.571079652001692e-17,-4.55116405858326,2.4008985155929454,1.0
1,PARG_code_potential_somatic,ENSG00000147862,1,1.0,1.800577558549519,-0.34791313328282963,4.8886237929099734e-17,-6.280265277051172,2.5501063579086476,1.0
1472,PARG_code_potential_somatic,ENSG00000087510,1472,-1.0,1.552038950269738,0.34614519122009924,7.190152436748869e-17,-3.153158112945736,1.3836681922120546,1.0
1427,PARG_code_potential_somatic,ENSG00000116035,1427,1.0,1.3959001072777548,-0.1487223451758979,0.00047763546936537357,-4.948912346700437,2.1952633451875543,1.0
3398,PARG_code_potential_somatic,ENSG00000120149,3398,-1.0,2.157006883549253,0.19005162450158916,7.473825507774001e-06,-3.1723328073564128,1.5097372269003408,1.0
3393,PARG_code_potential_somatic,ENSG00000120149,3393,-1.0,2.157006883549253,0.1356500737175161,0.0014577784066699124,-4.040737189496501,1.9008083097414108,1.0
1235,PARG_code_potential_somatic,ENSG00000110777,1235,-1.0,3.579293539785634,0.36754829584680226,5.697930515715456e-19,-3.236947564283354,1.493837503469937,1.0
