,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2359,PCDH9_code_potential_somatic,ENSG00000148516,2359,1.0,1.537870975489229,0.48467070156951697,1.2570182182003646e-33,3.644991430989933,1.7304529197329768,1.0
2368,PCDH9_code_potential_somatic,ENSG00000148516,2368,1.0,1.537870975489229,-0.21610129973106726,3.260604109727379e-07,-4.429879601616024,1.8959072987683105,1.0
1596,PCDH9_code_potential_somatic,ENSG00000185811,1596,-1.0,1.6459198508547144,0.29259323995173636,2.8027125371516682e-12,-6.5105614152215665,3.485683063240304,1.0
1590,PCDH9_code_potential_somatic,ENSG00000185811,1590,-1.0,1.6459198508547144,0.5350057755535523,6.668825680741697e-42,-3.8617867778962442,1.6269589867596888,1.0
1589,PCDH9_code_potential_somatic,ENSG00000185811,1589,-1.0,1.6459198508547144,0.48857770440176596,3.2002803666066633e-34,-4.0619286817176175,1.6473183776320985,1.0
1591,PCDH9_code_potential_somatic,ENSG00000185811,1591,-1.0,1.6459198508547144,0.5045122674274166,1.0023071857987585e-36,-4.519455849602968,1.8065115203342577,1.0
1598,PCDH9_code_potential_somatic,ENSG00000185811,1598,-1.0,1.6459198508547144,0.3618397243601481,2.14655430087964e-18,-3.4462559143567972,1.45744271873989,1.0
1595,PCDH9_code_potential_somatic,ENSG00000185811,1595,-1.0,1.6459198508547144,0.45970832233167136,5.247039673838221e-30,-5.910475122815388,2.759662505170023,1.0
1238,PCDH9_code_potential_somatic,ENSG00000151702,1238,-1.0,1.3586151993300706,0.6335156236726455,7.943540603589842e-63,-5.722448340865854,2.384375474373675,1.0
1239,PCDH9_code_potential_somatic,ENSG00000151702,1239,-1.0,1.3586151993300706,0.42951808454482876,5.218396625533201e-26,-3.4527591076302016,1.674664691706498,1.0
221,PCDH9_code_potential_somatic,ENSG00000020633,221,-1.0,1.6276144573145817,0.6379715611320159,5.8828214436437776e-64,-3.7302741622204314,1.5525087675044191,1.0
229,PCDH9_code_potential_somatic,ENSG00000020633,229,-1.0,1.6276144573145817,0.42433798797521083,2.312105141085476e-25,-3.0388167383551883,1.3058619337692907,1.0
222,PCDH9_code_potential_somatic,ENSG00000020633,222,-1.0,1.6276144573145817,0.34106202370642147,2.15072407207988e-16,-3.389698598419962,1.4161970699508135,1.0
224,PCDH9_code_potential_somatic,ENSG00000020633,224,-1.0,1.6276144573145817,-0.1923992533964054,5.730009813542999e-06,4.0621328087739474,1.8000013912150767,1.0
506,PCDH9_code_potential_somatic,ENSG00000120690,506,-1.0,1.4382097501509905,0.6316443020286737,2.3401461848474217e-62,-3.4391801271803555,2.5548890214102347,1.0
505,PCDH9_code_potential_somatic,ENSG00000120690,505,-1.0,1.4382097501509905,0.593719832020754,1.682613800120794e-53,-3.6745522592699063,1.5226567474441646,1.0
515,PCDH9_code_potential_somatic,ENSG00000120690,515,-1.0,1.4382097501509905,0.5845918979494944,1.5342715639809988e-51,-3.597184759092807,1.478463259603349,1.0
509,PCDH9_code_potential_somatic,ENSG00000120690,509,-1.0,1.4382097501509905,0.5888866843028687,1.8685424437953998e-52,-3.5284504846010765,1.5266760664546442,1.0
344,PCDH9_code_potential_somatic,ENSG00000159216,344,-1.0,1.634499888101268,0.46056329822208036,3.988216844167444e-30,-3.8664578199210937,1.5936489524061928,1.0
349,PCDH9_code_potential_somatic,ENSG00000159216,349,-1.0,1.634499888101268,0.5700792564473387,1.503842326774578e-48,-3.493421418493305,1.455026888434922,1.0
345,PCDH9_code_potential_somatic,ENSG00000159216,345,-1.0,1.634499888101268,0.47552862120207495,2.8843745402118936e-32,-4.684746071777644,2.0524576824807963,1.0
348,PCDH9_code_potential_somatic,ENSG00000159216,348,-1.0,1.634499888101268,0.3131232345841649,6.247962558606434e-14,-5.388596514495388,2.320669286601045,1.0
1392,PCDH9_code_potential_somatic,ENSG00000125398,1392,1.0,1.3356367248222565,-0.4753318126794128,3.0824486112951023e-32,-3.5980825692400074,1.4895029958463046,1.0
1395,PCDH9_code_potential_somatic,ENSG00000125398,1395,1.0,1.3356367248222565,-0.16474623404084504,0.00010692815593015754,-3.32737279343669,1.4518852638368125,1.0
2187,PCDH9_code_potential_somatic,ENSG00000132170,2187,-1.0,1.5468448594869897,-0.41044792934318824,1.1043024615220297e-23,3.215667951930729,1.3545954667880746,1.0
2197,PCDH9_code_potential_somatic,ENSG00000132170,2197,-1.0,1.5468448594869897,0.4633611293469509,1.616432207712841e-30,-4.348850711594103,1.8007787669045328,1.0
459,PCDH9_code_potential_somatic,ENSG00000172216,459,-1.0,1.8750295444747196,0.37768933668965154,5.0541939676146437e-20,-3.5876716998944485,1.4936595929831062,1.0
473,PCDH9_code_potential_somatic,ENSG00000172216,473,-1.0,1.8750295444747196,0.5345396040510034,8.07633152170066e-42,-3.8119278446029665,1.544658717086285,1.0
