,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1630,PCDHA7_code_potential_somatic,ENSG00000028277,1630,-1.0,1.7217670474250628,-0.28095397371282743,2.1229348738128706e-11,2.859681304415627,1.320575127225242,1.0
3051,PCDHA7_code_potential_somatic,ENSG00000124782,3051,-1.0,2.021732938899966,-0.25746368430658756,9.551982674034018e-10,3.3107513819488115,1.3689062205944753,0.75
3053,PCDHA7_code_potential_somatic,ENSG00000124782,3053,-1.0,2.021732938899966,-0.37190969967048615,2.031426668079336e-19,6.651274990359459,2.75399320974005,0.75
3060,PCDHA7_code_potential_somatic,ENSG00000124782,3060,-1.0,2.021732938899966,-0.2421508291224404,9.393871131402554e-09,5.399175172574725,2.1247898143007613,0.75
3753,PCDHA7_code_potential_somatic,ENSG00000177374,3753,-1.0,1.5000283999251267,-0.2563488249131151,1.1339672987923748e-09,3.208196687287043,1.4186061508584944,1.0
2812,PCDHA7_code_potential_somatic,ENSG00000277615,2812,1.0,1.715042055444985,0.3966994065920428,4.259492822468993e-22,9.890869827616653,3.8995891181377167,1.0
2817,PCDHA7_code_potential_somatic,ENSG00000277615,2817,1.0,1.715042055444985,0.3513437559451815,2.2962373758141823e-17,3.902983527633146,1.5531237332138592,1.0
3675,PCDHA7_code_potential_somatic,ENSG00000170370,3675,1.0,1.9163007507294612,0.27726361338551714,3.9565054352759463e-11,3.2845141048689395,1.389841442387043,1.0
366,PCDHA7_code_potential_somatic,ENSG00000163497,366,-1.0,1.6553585329701426,0.2894018731355593,4.928790824080555e-12,-3.3326671779644665,1.4666957872877624,1.0
288,PCDHA7_code_potential_somatic,ENSG00000072310,288,1.0,1.702854489264627,0.5114015136682754,7.53010353623837e-38,7.543632929296977,3.3144167834519105,1.0
3004,PCDHA7_code_potential_somatic,ENSG00000077463,3004,1.0,1.4041963465125826,0.29407021535985883,2.153139191007608e-12,3.2250526556293417,1.3842760980472562,1.0
1453,PCDHA7_code_potential_somatic,ENSG00000007372,1453,1.0,1.6974830738299047,0.33535464946827065,7.18681013563543e-16,7.331476289590999,2.6484369913906,1.0
1452,PCDHA7_code_potential_somatic,ENSG00000007372,1452,1.0,1.6974830738299047,0.3036201319878602,3.7721184305924064e-13,5.607542213058732,2.2589654358864113,1.0
1443,PCDHA7_code_potential_somatic,ENSG00000007372,1443,1.0,1.6974830738299047,-0.27238496417888014,8.883658235944623e-11,-2.945103034636558,1.3111590616187625,1.0
1450,PCDHA7_code_potential_somatic,ENSG00000007372,1450,1.0,1.6974830738299047,-0.35638997313443355,7.429257244852286e-18,-4.725374045670378,2.0305688203347065,1.0
1446,PCDHA7_code_potential_somatic,ENSG00000007372,1446,1.0,1.6974830738299047,0.3243926553888602,6.803227275682828e-15,4.967099475145781,2.016319190004189,1.0
2952,PCDHA7_code_potential_somatic,ENSG00000099326,2952,1.0,1.7199615530741346,0.6748517573892705,4.433728282902681e-74,4.005684813277898,1.5981624077899554,1.0
