,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
219,PCDHGA1_code_potential_somatic,ENSG00000136826,219,-1.0,1.8324858463425622,0.3356352419822404,6.776890313338612e-16,-3.9884463509015067,1.3439549155754267,1.0
82,PCDHGA1_code_potential_somatic,ENSG00000213928,82,1.0,1.4182823432476828,0.28806095624441214,6.234947022058461e-12,4.18571867508067,3.2036852086408234,1.0
832,PCDHGA1_code_potential_somatic,ENSG00000152284,832,1.0,1.5275083850009523,0.2787978302498419,3.057707982116084e-11,5.622790440380878,1.6450100452216767,1.0
2952,PCDHGA1_code_potential_somatic,ENSG00000099326,2952,-1.0,3.609715833102966,0.6748517573892705,4.433728282902681e-74,-8.156112325349383,8.181405197618265,1.0
570,PCDHGA1_code_potential_somatic,ENSG00000090447,570,-1.0,1.810249222778407,0.23113932300639128,4.430855140786107e-08,-3.3677876043467,1.669081423722993,1.0
572,PCDHGA1_code_potential_somatic,ENSG00000090447,572,-1.0,1.810249222778407,0.1503803056722929,0.00041183508976767,-3.7145739444603816,1.4504387913035857,1.0
1725,PCDHGA1_code_potential_somatic,ENSG00000170365,1725,1.0,1.7647926041461248,0.24239941017236824,9.062583003005396e-09,3.575855279801727,1.4518055548688615,1.0
1712,PCDHGA1_code_potential_somatic,ENSG00000170365,1712,1.0,1.7647926041461248,0.3742934964153359,1.1483934217396214e-19,3.8165550074086623,1.6813843813430138,1.0
1721,PCDHGA1_code_potential_somatic,ENSG00000170365,1721,1.0,1.7647926041461248,0.6151385640648931,2.3564134104976995e-58,5.659973536624036,2.2263552770631003,1.0
108,PCDHGA1_code_potential_somatic,ENSG00000057657,108,-1.0,1.6942336290554323,0.3942166586929683,8.09091190283462e-22,-4.69495710185528,2.1354586456621933,1.0
107,PCDHGA1_code_potential_somatic,ENSG00000057657,107,-1.0,1.6942336290554323,0.4791201762132656,8.518674804720277e-33,-4.455062493044495,1.6931216374961873,1.0
3581,PCDHGA1_code_potential_somatic,ENSG00000134138,3581,1.0,2.027774478640605,0.35668215977774864,6.955033033573604e-18,4.2027782033774885,1.439857210725804,1.0
3346,PCDHGA1_code_potential_somatic,ENSG00000102974,3346,1.0,1.8742258146832107,-0.3737324572255015,1.313940468327183e-19,-6.6409607437519815,5.429897593394055,1.0
3712,PCDHGA1_code_potential_somatic,ENSG00000163435,3712,-1.0,1.536830035309772,0.23974326076647987,1.3273277728038533e-08,-4.685045677390828,2.319648463481487,1.0
125,PCDHGA1_code_potential_somatic,ENSG00000196843,125,-1.0,2.0369369523056555,0.41849826565679615,1.2008458094252178e-24,-3.6816752170053704,1.607468146063283,0.5
1433,PCDHGA1_code_potential_somatic,ENSG00000116035,1433,-1.0,1.937214342716822,-0.25469210404061243,1.4610639466557211e-09,3.9037060298340003,1.4583727519255758,1.0
3035,PCDHGA1_code_potential_somatic,ENSG00000166949,3035,1.0,2.542822026735072,0.3979202902878312,3.100777797743687e-22,9.632704275707175,7.582956513541476,0.5
2594,PCDHGA1_code_potential_somatic,ENSG00000185630,2594,1.0,1.7867116112369084,0.4522632870727573,5.53633587571199e-29,3.8897263619700806,1.3071988141498592,1.0
338,PCDHGA1_code_potential_somatic,ENSG00000134532,338,1.0,2.205267053954765,0.37481741980745437,1.0124456353186332e-19,3.8337372216019614,1.454666471784014,0.6666666666666666
334,PCDHGA1_code_potential_somatic,ENSG00000134532,334,1.0,2.205267053954765,0.6472405935698375,2.2767547765862564e-66,4.260861223232939,1.6475225354106133,0.6666666666666666
3468,PCDHGA1_code_potential_somatic,ENSG00000168505,3468,1.0,2.6272131417718594,-0.2843968775467178,1.1777374303801425e-11,-3.9997367726334705,3.907753193816796,1.0
2556,PCDHGA1_code_potential_somatic,ENSG00000263001,2556,1.0,7.322815436681141,0.6024027411146858,2.007192850535288e-55,5.8099445818573034,2.987807621147954,1.0
