,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1238,PCNX_code_potential_somatic,ENSG00000151702,1238,-1.0,1.7412996799218186,0.6335156236726455,7.943540603589842e-63,-5.639008610160177,1.683620065938578,1.0
1244,PCNX_code_potential_somatic,ENSG00000151702,1244,-1.0,1.7412996799218186,0.38109312514068827,2.1985979843151025e-20,-3.255417056029851,1.3304727092067132,1.0
1239,PCNX_code_potential_somatic,ENSG00000151702,1239,-1.0,1.7412996799218186,0.42951808454482876,5.218396625533201e-26,-5.636141321002951,1.7804815048283829,1.0
285,PCNX_code_potential_somatic,ENSG00000072310,285,-1.0,1.4080187729548175,0.2143986398554978,4.0516401881963183e-07,-2.629038500335516,1.8492335479850828,1.0
282,PCNX_code_potential_somatic,ENSG00000072310,282,-1.0,1.4080187729548175,0.3722129700097792,1.8897356559465879e-19,-4.91690865706621,1.5013514410683584,1.0
286,PCNX_code_potential_somatic,ENSG00000072310,286,-1.0,1.4080187729548175,0.35272739496612077,1.6885623802112602e-17,-4.028289341996199,1.305267177706279,1.0
519,PCNX_code_potential_somatic,ENSG00000120690,519,-1.0,1.3169129157597232,0.43115883614483685,3.239143679177495e-26,-4.184322711371836,1.3908580079090804,1.0
522,PCNX_code_potential_somatic,ENSG00000120690,522,-1.0,1.3169129157597232,0.5149455254572445,1.9427218299118388e-38,-5.138070709193671,1.4942421501319865,1.0
515,PCNX_code_potential_somatic,ENSG00000120690,515,-1.0,1.3169129157597232,0.5845918979494944,1.5342715639809988e-51,-17.204982789364653,7.840095099104241,1.0
1523,PCNX_code_potential_somatic,ENSG00000113916,1523,-1.0,3.2872098783188344,0.323287421310316,8.491104504296732e-15,-4.592076453849675,1.459838281786592,1.0
1531,PCNX_code_potential_somatic,ENSG00000113916,1531,-1.0,3.2872098783188344,0.31463397151358885,4.666481870643881e-14,-7.344992383993812,2.998263305620881,1.0
1526,PCNX_code_potential_somatic,ENSG00000113916,1526,-1.0,3.2872098783188344,0.2997373382810369,7.718583792617932e-13,-5.234648197031883,1.6773868454053684,1.0
1534,PCNX_code_potential_somatic,ENSG00000113916,1534,-1.0,3.2872098783188344,0.4626668670482229,2.0240576697670936e-30,-9.965250594712817,2.468958934279078,1.0
1538,PCNX_code_potential_somatic,ENSG00000113916,1538,-1.0,3.2872098783188344,0.6841581243819654,7.158883160947051e-77,-7.902476304232515,3.787391790344741,1.0
2110,PCNX_code_potential_somatic,ENSG00000069667,2110,-1.0,2.8103990447568434,0.34175686935756927,1.8537555721188633e-16,-4.487983908818326,1.5415878007979529,1.0
2113,PCNX_code_potential_somatic,ENSG00000069667,2113,-1.0,2.8103990447568434,0.22245043455015545,1.4280152349632248e-07,-4.1052353659873555,1.3985508195549086,1.0
