,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2197,PDHA2_code_potential_somatic,ENSG00000132170,2197,-1.0,1.63752267593463,0.4633611293469509,1.616432207712841e-30,-5.460301492034946,2.2936611967870895,0.6666666666666666
2191,PDHA2_code_potential_somatic,ENSG00000132170,2191,-1.0,1.63752267593463,0.41826857064146233,1.2803951378042436e-24,-3.8174815696255173,1.5117317153139787,0.6666666666666666
469,PDHA2_code_potential_somatic,ENSG00000172216,469,-1.0,2.5580784181751732,0.6394314005628039,2.4840885724924715e-64,-3.8086405925724054,1.3622884178825578,1.0
470,PDHA2_code_potential_somatic,ENSG00000172216,470,-1.0,2.5580784181751732,0.7912697226895726,9.865638401480642e-119,-6.146366476401886,5.106452780561218,1.0
104,PDHA2_code_potential_somatic,ENSG00000057657,104,-1.0,1.343445800250273,0.40473180481873894,5.1473728401887207e-23,-4.799220305543217,1.9484833718154035,0.8571428571428571
108,PDHA2_code_potential_somatic,ENSG00000057657,108,-1.0,1.343445800250273,0.3942166586929683,8.09091190283462e-22,-4.189500837273854,1.7455924810012964,0.8571428571428571
112,PDHA2_code_potential_somatic,ENSG00000057657,112,-1.0,1.343445800250273,0.3249913208097778,6.031360266616106e-15,-4.080852329241306,1.4237471099604715,0.8571428571428571
107,PDHA2_code_potential_somatic,ENSG00000057657,107,-1.0,1.343445800250273,0.4791201762132656,8.518674804720277e-33,-7.614156649002389,2.825230372690453,0.8571428571428571
113,PDHA2_code_potential_somatic,ENSG00000057657,113,-1.0,1.343445800250273,0.48237695985448864,2.783612097846488e-33,-6.458382639548237,2.5580784181751732,0.8571428571428571
102,PDHA2_code_potential_somatic,ENSG00000057657,102,-1.0,1.343445800250273,0.30242411368896976,4.708304193405162e-13,-5.572385751259896,2.3887985621354546,0.8571428571428571
803,PDHA2_code_potential_somatic,ENSG00000126561,803,-1.0,6.121966902092204,0.5055807503035074,6.734713373543928e-37,-9.7052895611329,13.178448464543173,1.0
619,PDHA2_code_potential_somatic,ENSG00000066336,619,-1.0,1.4033719059206122,0.5144756350830187,2.3271362285454314e-38,-5.288713637474522,2.1489216248795353,0.6666666666666666
618,PDHA2_code_potential_somatic,ENSG00000066336,618,-1.0,1.4033719059206122,0.5281262275466742,1.0922086392921908e-40,-3.7822673571210594,1.6653640303504633,0.6666666666666666
916,PDHA2_code_potential_somatic,ENSG00000101057,916,1.0,1.3827831014528926,0.8137042900539069,9.46897652452271e-131,6.220851093322867,2.1598347662213184,1.0
