,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2414,PKHD1_code_potential_somatic,ENSG00000198815,2414,1.0,1.713754946463167,0.5548471955733468,1.4485774081206976e-45,2.496414990067191,1.6121327695818368,1.0
2408,PKHD1_code_potential_somatic,ENSG00000198815,2408,1.0,1.713754946463167,0.6558470105777108,1.0989746058201963e-68,3.462472940412488,2.5409047341356636,1.0
1108,PKHD1_code_potential_somatic,ENSG00000100105,1108,1.0,1.683450722957012,0.5687831932084362,2.7362525640183454e-48,3.8402125574847994,2.9596404855287974,1.0
1078,PKHD1_code_potential_somatic,ENSG00000163848,1078,1.0,2.2853921678086175,0.3741183448512623,1.1977369672127587e-19,2.21546252270022,1.3912696248581906,1.0
1079,PKHD1_code_potential_somatic,ENSG00000163848,1079,1.0,2.2853921678086175,0.3841071612561824,1.043439722072115e-20,2.5983521800219718,1.7298357152507813,1.0
1087,PKHD1_code_potential_somatic,ENSG00000163848,1087,1.0,2.2853921678086175,0.3098986082450886,1.158430640154019e-13,2.2292186846891062,1.3875067293240608,1.0
1066,PKHD1_code_potential_somatic,ENSG00000163848,1066,1.0,2.2853921678086175,0.5698172582917531,1.6976368826165313e-48,3.0409891588072027,2.168903630262483,1.0
3749,PKHD1_code_potential_somatic,ENSG00000242265,3749,1.0,1.60670959764429,0.23550542419309783,2.417490932206348e-08,3.2419468118967294,2.3398055976094914,1.0
2891,PKHD1_code_potential_somatic,ENSG00000125482,2891,1.0,2.3793404370204834,0.4344523709885133,1.2338505384305904e-26,2.7794189542705006,1.9413080227660013,1.0
2295,PKHD1_code_potential_somatic,ENSG00000118689,2295,1.0,1.4278346461792244,0.5623378781591177,5.16358797112004e-47,2.728115631489681,1.832094003899531,1.0
2288,PKHD1_code_potential_somatic,ENSG00000118689,2288,1.0,1.4278346461792244,0.5098697031326828,1.3458184188233866e-37,2.7619208039505874,1.8740554623092611,1.0
2281,PKHD1_code_potential_somatic,ENSG00000118689,2281,1.0,1.4278346461792244,0.6482331677122894,1.2416596535060004e-66,3.410880906981743,2.494214386237833,1.0
2297,PKHD1_code_potential_somatic,ENSG00000118689,2297,1.0,1.4278346461792244,0.35153217877680776,2.2022956862609567e-17,2.464255570365424,1.583683394213817,1.0
2291,PKHD1_code_potential_somatic,ENSG00000118689,2291,1.0,1.4278346461792244,-0.33896458008068786,3.3604576610767404e-16,-2.7990729733934225,1.8788753740551638,1.0
2289,PKHD1_code_potential_somatic,ENSG00000118689,2289,1.0,1.4278346461792244,0.6409212826432166,1.0255208479425349e-64,2.4121550254829858,1.5573377087670774,1.0
2286,PKHD1_code_potential_somatic,ENSG00000118689,2286,1.0,1.4278346461792244,0.3691780061262213,3.882791659267247e-19,2.6058944473099426,1.7098613788557773,1.0
3209,PKHD1_code_potential_somatic,ENSG00000171634,3209,1.0,2.2072019498862865,0.5099230069600507,1.3189623842349486e-37,2.583631660094173,1.6890655240878474,1.0
3211,PKHD1_code_potential_somatic,ENSG00000171634,3211,1.0,2.2072019498862865,0.6699666913060146,1.179309769641744e-72,3.464291634327394,2.5772838629128723,1.0
3214,PKHD1_code_potential_somatic,ENSG00000171634,3214,1.0,2.2072019498862865,0.7117582774244728,8.383930012079178e-86,2.776932488917009,1.8798820596340475,1.0
3203,PKHD1_code_potential_somatic,ENSG00000171634,3203,1.0,2.2072019498862865,0.5135587509170483,3.307287696480564e-38,3.692240450912317,2.7446269668945917,1.0
3213,PKHD1_code_potential_somatic,ENSG00000171634,3213,1.0,2.2072019498862865,0.24460666989114718,6.577284345364034e-09,2.199566995176913,1.3549818589925677,1.0
2710,PKHD1_code_potential_somatic,ENSG00000065970,2710,1.0,1.9368522372727077,0.5400250126933841,8.324348036105775e-43,2.478076966617599,1.6102562829370548,1.0
2697,PKHD1_code_potential_somatic,ENSG00000065970,2697,1.0,1.9368522372727077,0.5235408587691396,6.796685341725451e-40,3.2910647145346457,2.3608307357027254,1.0
1010,PKHD1_code_potential_somatic,ENSG00000068323,1010,1.0,1.3096318291727576,0.26806786459544474,1.793243141557769e-10,2.991974666957269,2.081239195517975,1.0
1671,PKHD1_code_potential_somatic,ENSG00000143190,1671,1.0,2.2401765317956666,0.6283377875936546,1.5506344681529434e-61,2.9477685879036275,2.0372918746888664,1.0
1665,PKHD1_code_potential_somatic,ENSG00000143190,1665,1.0,2.2401765317956666,0.32183975936129333,1.133541093086075e-14,3.055049213339004,2.135311322359849,1.0
1660,PKHD1_code_potential_somatic,ENSG00000143190,1660,1.0,2.2401765317956666,0.5337222543916776,1.1290583056142487e-41,2.436658091037398,1.5554142895078045,1.0
1666,PKHD1_code_potential_somatic,ENSG00000143190,1666,1.0,2.2401765317956666,0.3127456597303877,6.718985285250589e-14,2.5203016138717373,1.6326343497501787,1.0
1667,PKHD1_code_potential_somatic,ENSG00000143190,1667,1.0,2.2401765317956666,0.6538399865770609,3.871989707205816e-68,3.6059650852424974,2.718978942839343,1.0
1673,PKHD1_code_potential_somatic,ENSG00000143190,1673,1.0,2.2401765317956666,0.42863014924269555,6.747554111494116e-26,2.398734693658932,1.5199825062569454,1.0
1173,PKHD1_code_potential_somatic,ENSG00000162702,1173,1.0,1.848833044396357,0.5996722142752609,8.199544904969831e-55,2.6110474694969716,1.7417604806036555,1.0
1167,PKHD1_code_potential_somatic,ENSG00000162702,1167,1.0,1.848833044396357,0.5290373511074983,7.569855971612138e-41,2.631332229883,1.7194716752297894,1.0
1166,PKHD1_code_potential_somatic,ENSG00000162702,1166,1.0,1.848833044396357,0.5629926183313977,3.8426144745278866e-47,2.7704812538011767,1.8718438508793092,1.0
1152,PKHD1_code_potential_somatic,ENSG00000162702,1152,1.0,1.848833044396357,0.668571312317625,2.976059038259947e-72,3.049796668324717,2.1728809755973026,1.0
1293,PKHD1_code_potential_somatic,ENSG00000118263,1293,1.0,1.3214445743634686,0.6111127031770904,2.0557312282819358e-57,2.6475500133670673,1.7565008612459017,1.0
1061,PKHD1_code_potential_somatic,ENSG00000005889,1061,1.0,2.6039365987581053,0.321141996948046,1.3021869462851936e-14,2.41312821334202,1.547479353405446,1.0
1059,PKHD1_code_potential_somatic,ENSG00000005889,1059,1.0,2.6039365987581053,0.22726097736176973,7.513915354602884e-08,2.5736604696008807,1.6912032256691805,1.0
1049,PKHD1_code_potential_somatic,ENSG00000005889,1049,1.0,2.6039365987581053,0.3163151202686747,3.3658338495194005e-14,3.297702954526442,2.372732955181225,1.0
1046,PKHD1_code_potential_somatic,ENSG00000005889,1046,1.0,2.6039365987581053,0.3437857690739653,1.198652801116821e-16,2.2129359294550452,1.365028517108805,1.0
