,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
3530,PLEKHG4B_code_potential_somatic,ENSG00000196812,3530,1.0,1.3337955953519154,-0.20078589238008301,2.1596807806476795e-06,-5.191481558292831,3.0460102976634555,1.0
3526,PLEKHG4B_code_potential_somatic,ENSG00000153234,3526,-1.0,1.827920770833078,0.28253318163253655,1.6218199881278203e-11,-3.0429041780436905,1.6329971243443158,1.0
459,PLEKHG4B_code_potential_somatic,ENSG00000172216,459,-1.0,1.897170235389466,0.37768933668965154,5.0541939676146437e-20,-4.084075159738361,2.3005291556053162,1.0
473,PLEKHG4B_code_potential_somatic,ENSG00000172216,473,-1.0,1.897170235389466,0.5345396040510034,8.07633152170066e-42,-3.2035360862219204,1.7218156041513373,1.0
470,PLEKHG4B_code_potential_somatic,ENSG00000172216,470,-1.0,1.897170235389466,0.7912697226895726,9.865638401480642e-119,-3.5742028333105162,1.9373416992577794,1.0
478,PLEKHG4B_code_potential_somatic,ENSG00000172216,478,-1.0,1.897170235389466,0.5755761863000123,1.1527766325315883e-49,-3.6510892452045676,2.2603134996448397,1.0
458,PLEKHG4B_code_potential_somatic,ENSG00000172216,458,-1.0,1.897170235389466,0.6437152490583052,1.92593106774297e-65,-6.503190701715705,4.661761198216863,1.0
3105,PLEKHG4B_code_potential_somatic,ENSG00000184486,3105,1.0,1.530648429393449,-0.3063553985656969,2.2632284740381152e-13,-3.4613380356012367,1.924352260604526,1.0
3112,PLEKHG4B_code_potential_somatic,ENSG00000184486,3112,1.0,1.530648429393449,-0.22947261222369789,5.56624537586132e-08,-3.1566977164715704,1.7249969225087067,1.0
108,PLEKHG4B_code_potential_somatic,ENSG00000057657,108,-1.0,1.4180681106671011,0.3942166586929683,8.09091190283462e-22,-3.9629501246902437,2.22969145097743,1.0
113,PLEKHG4B_code_potential_somatic,ENSG00000057657,113,-1.0,1.4180681106671011,0.48237695985448864,2.783612097846488e-33,-3.439112525612432,1.897170235389466,1.0
103,PLEKHG4B_code_potential_somatic,ENSG00000057657,103,-1.0,1.4180681106671011,0.45062778564452827,9.218547571241051e-29,-2.6376201581853245,1.3871305840341885,1.0
109,PLEKHG4B_code_potential_somatic,ENSG00000057657,109,-1.0,1.4180681106671011,0.38778133355384053,4.162238320481003e-21,-2.6083188875879015,1.3673383642166839,1.0
1658,PLEKHG4B_code_potential_somatic,ENSG00000138795,1658,-1.0,1.519858764982352,0.3525305864434585,1.7641937035158483e-17,-2.5306517358025267,1.3114210518169038,1.0
3,PLEKHG4B_code_potential_somatic,ENSG00000147862,3,1.0,1.3836463143131081,0.3334027522713009,1.0795469938655826e-15,2.591986277335897,1.420192939431346,1.0
1476,PLEKHG4B_code_potential_somatic,ENSG00000087510,1476,-1.0,1.500376439985135,0.22488433575678962,1.0337572531428442e-07,-4.860435401643979,2.6862891197627183,1.0
3591,PLEKHG4B_code_potential_somatic,ENSG00000100219,3591,-1.0,1.749089247786486,0.4013364020587382,1.266475048141702e-22,-2.5043385804573917,1.319210087630769,1.0
3592,PLEKHG4B_code_potential_somatic,ENSG00000100219,3592,-1.0,1.749089247786486,0.5456609991791503,7.714493003452229e-44,-2.7320908648474385,1.4428192887894409,1.0
3593,PLEKHG4B_code_potential_somatic,ENSG00000100219,3593,-1.0,1.749089247786486,0.39701952123246037,3.9197593473856586e-22,-3.4505202587032966,1.9840931540497397,1.0
1416,PLEKHG4B_code_potential_somatic,ENSG00000141448,1416,-1.0,2.0397943649631882,0.4673902354113108,4.338315352878638e-31,-3.02852782787526,1.6638317815878798,1.0
1235,PLEKHG4B_code_potential_somatic,ENSG00000110777,1235,-1.0,4.0754819769145705,0.36754829584680226,5.697930515715456e-19,-4.535336351975292,2.6442264653494045,1.0
1236,PLEKHG4B_code_potential_somatic,ENSG00000110777,1236,-1.0,4.0754819769145705,0.3683191597506944,4.753848317408781e-19,-7.799814236528474,4.95071746103043,1.0
