,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
962,POTEE_code_potential_somatic,ENSG00000101412,962,-1.0,1.5829095917102045,0.5285187508062114,9.327641426056122e-41,-3.768486764730111,1.5526065252814765,1.0
963,POTEE_code_potential_somatic,ENSG00000101412,963,-1.0,1.5829095917102045,0.6513661348023898,1.8046161375597924e-67,-4.373968898722967,1.7754030454952532,1.0
959,POTEE_code_potential_somatic,ENSG00000101412,959,-1.0,1.5829095917102045,0.7769628587535349,8.154332160431679e-112,-5.723769741188952,2.121971975670535,1.0
968,POTEE_code_potential_somatic,ENSG00000101412,968,-1.0,1.5829095917102045,0.4742249743817139,4.4747144847067843e-32,-3.4818928613977387,1.4575435624132334,1.0
965,POTEE_code_potential_somatic,ENSG00000101412,965,-1.0,1.5829095917102045,0.6201656764623934,1.50771877898473e-59,-5.18716785298904,1.9903920859472886,1.0
948,POTEE_code_potential_somatic,ENSG00000001167,948,-1.0,3.868491123033285,0.33278359659663453,1.2275265310019254e-15,-4.71808044077601,1.849283261058682,1.0
946,POTEE_code_potential_somatic,ENSG00000001167,946,-1.0,3.868491123033285,0.3569742005829587,6.510849095546955e-18,-7.555925705705656,2.6527615617442524,1.0
949,POTEE_code_potential_somatic,ENSG00000001167,949,-1.0,3.868491123033285,0.3478501312214809,4.9565070544709605e-17,-3.2153717571181275,1.3574086662887666,1.0
956,POTEE_code_potential_somatic,ENSG00000129173,956,-1.0,1.458682900491187,0.7719811749257338,1.5861341031969156e-109,-7.257588360710868,2.5688991327888937,1.0
957,POTEE_code_potential_somatic,ENSG00000129173,957,-1.0,1.458682900491187,0.656211387082988,8.734534768759101e-69,-5.2376823345363555,2.023885216200248,1.0
916,POTEE_code_potential_somatic,ENSG00000101057,916,-1.0,2.3454355542297143,0.8137042900539069,9.46897652452271e-131,-4.462917096661174,1.7483546469515412,1.0
942,POTEE_code_potential_somatic,ENSG00000112242,942,-1.0,4.332842207407794,0.6385192561352451,4.259423352210206e-64,-5.422668500611414,2.0767203728610855,1.0
941,POTEE_code_potential_somatic,ENSG00000112242,941,-1.0,4.332842207407794,0.5505707119021468,9.360156667283042e-45,-5.4877224443531425,2.051996687963496,1.0
1875,POTEE_code_potential_somatic,ENSG00000118513,1875,-1.0,3.190547713812005,0.37999052307517084,2.8821468727292314e-20,-3.7245189118452298,1.524889866009462,0.5
