,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1108,POTEG_code_potential_somatic,ENSG00000100105,1108,1.0,1.645058319753206,0.5687831932084362,2.7362525640183454e-48,4.535133672687934,2.5315654588339283,1.0
74,POTEG_code_potential_somatic,ENSG00000213928,74,1.0,1.4868496338016484,0.17888341534174573,2.5310613819183124e-05,4.235853547510128,2.3998554263780516,1.0
3698,POTEG_code_potential_somatic,ENSG00000163884,3698,-1.0,1.921671599869577,-0.3262951134682438,4.635677907970887e-15,3.24003572592677,1.5821066885666144,1.0
2958,POTEG_code_potential_somatic,ENSG00000099326,2958,1.0,1.4017810321575606,0.15502495763949944,0.0002696883889990905,3.8119719637344196,1.6298801016540219,1.0
2952,POTEG_code_potential_somatic,ENSG00000099326,2952,1.0,1.4017810321575606,0.6748517573892705,4.433728282902681e-74,3.128400817001808,1.4366184139160048,1.0
1539,POTEG_code_potential_somatic,ENSG00000113916,1539,1.0,1.5802921716235896,0.4378936398325283,4.449937937111878e-27,4.876662812744061,2.0736568418911054,1.0
1533,POTEG_code_potential_somatic,ENSG00000113916,1533,1.0,1.5802921716235896,-0.19397182568233826,4.787112997302301e-06,-2.805433750161702,1.3188094156330197,1.0
1527,POTEG_code_potential_somatic,ENSG00000113916,1527,1.0,1.5802921716235896,0.3568985106064773,6.6232152464849385e-18,3.8796590400219024,1.6969651268752095,1.0
1538,POTEG_code_potential_somatic,ENSG00000113916,1538,1.0,1.5802921716235896,0.6841581243819654,7.158883160947051e-77,3.7242435534531166,1.5235542416216055,1.0
2891,POTEG_code_potential_somatic,ENSG00000125482,2891,1.0,1.8247265557011794,0.4344523709885133,1.2338505384305904e-26,2.868985505899078,1.31599521144478,1.0
2295,POTEG_code_potential_somatic,ENSG00000118689,2295,1.0,1.787392840930401,0.5623378781591177,5.16358797112004e-47,3.252384450925555,1.4204765079118284,1.0
2281,POTEG_code_potential_somatic,ENSG00000118689,2281,1.0,1.787392840930401,0.6482331677122894,1.2416596535060004e-66,3.842625542894155,1.7892212058335204,1.0
2291,POTEG_code_potential_somatic,ENSG00000118689,2291,1.0,1.787392840930401,-0.33896458008068786,3.3604576610767404e-16,-4.544572377739018,1.9399469477524096,1.0
2284,POTEG_code_potential_somatic,ENSG00000118689,2284,1.0,1.787392840930401,0.4971650166178875,1.4860743483863024e-35,3.350241530581903,1.4582801386956834,1.0
2289,POTEG_code_potential_somatic,ENSG00000118689,2289,1.0,1.787392840930401,0.6409212826432166,1.0255208479425349e-64,5.009834630188721,2.612740238933416,1.0
2640,POTEG_code_potential_somatic,ENSG00000126767,2640,-1.0,2.953911829902484,0.3679243817758663,5.2162881321656205e-19,-3.098890629733838,1.3122101755621232,1.0
2639,POTEG_code_potential_somatic,ENSG00000126767,2639,-1.0,2.953911829902484,0.3207372232876911,1.4110574596827732e-14,-5.157520153563753,2.0305001646258565,1.0
2643,POTEG_code_potential_somatic,ENSG00000126767,2643,-1.0,2.953911829902484,0.3027881985180369,4.401519795687066e-13,-5.774634609063757,2.447726483250105,1.0
3210,POTEG_code_potential_somatic,ENSG00000171634,3210,1.0,1.9348365709244424,-0.2920290652426451,3.098438810160869e-12,-3.9306435485512923,2.0631947306046206,1.0
3215,POTEG_code_potential_somatic,ENSG00000171634,3215,1.0,1.9348365709244424,0.3710978918591493,2.464286435322731e-19,3.5823149129444887,1.4665709077329165,1.0
3344,POTEG_code_potential_somatic,ENSG00000102974,3344,1.0,1.7144934456961796,-0.17166326244070132,5.359249316019668e-05,-3.0866576981758542,1.4315056394857384,0.5
1091,POTEG_code_potential_somatic,ENSG00000070444,1091,1.0,1.3136801830729408,0.536417196733489,3.727865465651485e-42,4.534853479892656,2.2079640246030157,1.0
3477,POTEG_code_potential_somatic,ENSG00000107175,3477,-1.0,1.3518613195929519,0.3558082978527454,8.470030614816931e-18,-6.196527998696714,2.599105716154232,1.0
1010,POTEG_code_potential_somatic,ENSG00000068323,1010,1.0,1.6236265920770223,0.26806786459544474,1.793243141557769e-10,5.826561255176445,2.823486958107578,1.0
3555,POTEG_code_potential_somatic,ENSG00000167157,3555,-1.0,1.4845214131973248,-0.27368458510233973,7.172925409510738e-11,3.9772580608244184,1.59970424924581,1.0
3550,POTEG_code_potential_somatic,ENSG00000167157,3550,-1.0,1.4845214131973248,-0.2091057831317761,7.870083429448429e-07,3.544265945791977,1.8099175445522169,1.0
3552,POTEG_code_potential_somatic,ENSG00000167157,3552,-1.0,1.4845214131973248,-0.3878530493662969,4.0877649762604634e-21,4.211849277972919,2.3900561311571558,1.0
1664,POTEG_code_potential_somatic,ENSG00000143190,1664,1.0,1.9355925524404416,0.5191114638448744,3.871341650279736e-39,3.9218045956157543,1.7183585654436824,1.0
1671,POTEG_code_potential_somatic,ENSG00000143190,1671,1.0,1.9355925524404416,0.6283377875936546,1.5506344681529434e-61,3.3645635731175907,1.5105967416778838,1.0
1660,POTEG_code_potential_somatic,ENSG00000143190,1660,1.0,1.9355925524404416,0.5337222543916776,1.1290583056142487e-41,4.001109077851394,2.163973079384767,1.0
1667,POTEG_code_potential_somatic,ENSG00000143190,1667,1.0,1.9355925524404416,0.6538399865770609,3.871989707205816e-68,3.2147520100950566,1.5084000298291986,1.0
3398,POTEG_code_potential_somatic,ENSG00000120149,3398,-1.0,1.6461535013372337,0.19005162450158916,7.473825507774001e-06,-3.337838886079437,1.4637717289702934,1.0
3393,POTEG_code_potential_somatic,ENSG00000120149,3393,-1.0,1.6461535013372337,0.1356500737175161,0.0014577784066699124,-5.554434044295775,2.6048458368067937,1.0
1798,POTEG_code_potential_somatic,ENSG00000147421,1798,1.0,1.514066148328067,0.5141627394287974,2.6240212468825756e-38,3.6746025735536088,1.7432400819568228,1.0
25,POTEG_code_potential_somatic,ENSG00000196712,25,1.0,2.02502585673564,0.568410576850228,3.2484746207953633e-48,3.0017233163360384,1.3131724064527908,1.0
1281,POTEG_code_potential_somatic,ENSG00000118263,1281,1.0,2.4563318687948863,0.6239234869132542,1.8688886779902213e-60,3.4851470960232906,2.089889912414949,1.0
1288,POTEG_code_potential_somatic,ENSG00000118263,1288,1.0,2.4563318687948863,0.4449642357569221,5.275683015253646e-28,3.199214416558941,1.416831052532411,1.0
1293,POTEG_code_potential_somatic,ENSG00000118263,1293,1.0,2.4563318687948863,0.6111127031770904,2.0557312282819358e-57,5.092784492674365,2.50008450876113,1.0
697,POTEG_code_potential_somatic,ENSG00000188786,697,1.0,1.674703769612882,0.48189970465596177,3.28186069069828e-33,3.7242435534531166,1.5235542416216055,1.0
690,POTEG_code_potential_somatic,ENSG00000188786,690,1.0,1.674703769612882,0.5189616151920138,4.1042007991983815e-39,2.5779694618446007,1.5446704564415283,1.0
692,POTEG_code_potential_somatic,ENSG00000188786,692,1.0,1.674703769612882,0.5669748007067607,6.27984484898827e-48,3.6588255865313317,1.6888285829719811,1.0
687,POTEG_code_potential_somatic,ENSG00000188786,687,1.0,1.674703769612882,0.44071640927334926,1.9109356709615284e-27,3.9388624283093168,1.7284120469339723,1.0
695,POTEG_code_potential_somatic,ENSG00000188786,695,1.0,1.674703769612882,0.41959212436315246,8.84162528146487e-25,3.5265532154202903,1.7694921729967228,1.0
2351,POTEG_code_potential_somatic,ENSG00000155959,2351,-1.0,2.8217453093311473,0.6798362850601185,1.4597848425820899e-75,-3.081555627387711,1.4627376578740856,0.5
2443,POTEG_code_potential_somatic,ENSG00000169057,2443,1.0,1.8841986544450324,-0.24528970265579214,5.952445700071437e-09,-3.7697787935553273,1.674893375508894,1.0
