,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1629,PRIC285_code_potential_somatic,ENSG00000028277,1629,-1.0,1.5274706402469094,-0.17420004335766862,4.1315766962882404e-05,2.5838094912434686,1.349540119680825,1.0
3062,PRIC285_code_potential_somatic,ENSG00000124782,3062,-1.0,1.5879283068825216,0.24550897024662027,5.764362489184945e-09,-2.5461628277224877,1.34780116052181,1.0
3060,PRIC285_code_potential_somatic,ENSG00000124782,3060,-1.0,1.5879283068825216,-0.2421508291224404,9.393871131402554e-09,2.8545128564606337,1.5091972925292143,1.0
1546,PRIC285_code_potential_somatic,ENSG00000173404,1546,1.0,1.387145417472865,0.418613404840673,1.1628277981738513e-24,2.6309932899490005,1.3733565654859194,1.0
1547,PRIC285_code_potential_somatic,ENSG00000173404,1547,1.0,1.387145417472865,0.357370807309435,5.952044823480266e-18,2.7257391940667253,1.4233904861802338,1.0
2301,PRIC285_code_potential_somatic,ENSG00000118689,2301,1.0,1.3807570427511737,0.5932008671242047,2.183214141928799e-53,2.636967781013345,1.3723187986769556,1.0
2299,PRIC285_code_potential_somatic,ENSG00000118689,2299,1.0,1.3807570427511737,0.36883849501784227,4.20652943028005e-19,4.9653899100375885,2.6520044678112424,1.0
2289,PRIC285_code_potential_somatic,ENSG00000118689,2289,1.0,1.3807570427511737,0.6409212826432166,1.0255208479425349e-64,2.6032122431474995,1.3710420197961959,1.0
373,PRIC285_code_potential_somatic,ENSG00000112561,373,1.0,1.711644399219573,0.2876538491743777,6.694548646296452e-12,2.6193166947657924,1.3512335269020779,1.0
459,PRIC285_code_potential_somatic,ENSG00000172216,459,-1.0,2.1261842569607055,0.37768933668965154,5.0541939676146437e-20,-2.379397769424215,1.30985935904697,1.0
458,PRIC285_code_potential_somatic,ENSG00000172216,458,-1.0,2.1261842569607055,0.6437152490583052,1.92593106774297e-65,-2.6651138024682526,1.435480939930794,1.0
5,PRIC285_code_potential_somatic,ENSG00000126351,5,1.0,1.8679350944333941,-0.28714808262632846,7.311829970337332e-12,-2.343705419766122,1.3449851290256274,1.0
3581,PRIC285_code_potential_somatic,ENSG00000134138,3581,1.0,1.3498400697873902,0.35668215977774864,6.955033033573604e-18,2.6456535608346896,1.4234619803832167,1.0
3577,PRIC285_code_potential_somatic,ENSG00000134138,3577,1.0,1.3498400697873902,0.6019454657365405,2.5430605829568647e-55,2.554072639951238,1.3064587157965952,1.0
3552,PRIC285_code_potential_somatic,ENSG00000167157,3552,-1.0,1.5710876503982891,-0.3878530493662969,4.0877649762604634e-21,2.8839413722635348,1.5429595006914585,1.0
3707,PRIC285_code_potential_somatic,ENSG00000122592,3707,1.0,1.6108938564039548,0.3274069567135064,3.700010469127915e-15,2.6799019277752727,1.386716458043305,1.0
2596,PRIC285_code_potential_somatic,ENSG00000185630,2596,1.0,1.426580327589756,0.2079536894014418,9.073336116452097e-07,2.5710653165126756,1.3193818350336033,1.0
2591,PRIC285_code_potential_somatic,ENSG00000185630,2591,1.0,1.426580327589756,0.39405105952477054,8.443041094817708e-22,2.5097191906377265,1.3137396954619012,1.0
334,PRIC285_code_potential_somatic,ENSG00000134532,334,1.0,1.3686297937242842,0.6472405935698375,2.2767547765862564e-66,2.686153320007041,1.405591799117057,1.0
342,PRIC285_code_potential_somatic,ENSG00000134532,342,1.0,1.3686297937242842,0.26557045996682044,2.67693566460443e-10,2.8090310679656243,1.46442483203248,1.0
3469,PRIC285_code_potential_somatic,ENSG00000168505,3469,1.0,1.9305939923536404,0.19909497214200828,2.638090092708064e-06,2.9007797338666035,1.5342835251789368,1.0
3735,PRIC285_code_potential_somatic,ENSG00000124813,3735,-1.0,2.2295469830336865,0.5087771569692713,2.0327063980921514e-37,-2.5332306603911814,1.3573956018088984,1.0
3728,PRIC285_code_potential_somatic,ENSG00000124813,3728,-1.0,2.2295469830336865,-0.326182818127414,4.742198976938634e-15,3.018242089671344,1.6780478250280297,1.0
3448,PRIC285_code_potential_somatic,ENSG00000278129,3448,1.0,1.736792652616044,0.28577778779199436,9.277291121974132e-12,2.538407193831761,1.4250175948661554,1.0
1235,PRIC285_code_potential_somatic,ENSG00000110777,1235,-1.0,1.7088017789902596,0.36754829584680226,5.697930515715456e-19,-2.765351537426646,1.5028159587380545,1.0
1124,PRIC285_code_potential_somatic,ENSG00000165804,1124,1.0,2.468483953215804,0.33866896624190596,3.5776368042370365e-16,2.6855972719488057,1.3841644839912761,1.0
852,PRIC285_code_potential_somatic,ENSG00000113580,852,1.0,1.3642670171770657,0.33480957955093094,8.053936466756273e-16,2.854512856460637,1.509197292529216,1.0
847,PRIC285_code_potential_somatic,ENSG00000113580,847,1.0,1.3642670171770657,0.4165721818044068,2.0531154719808354e-24,3.123590749291931,1.6911991901007952,1.0
