,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
220,PTPRD_code_potential_somatic,ENSG00000136826,220,-1.0,1.3397624696447563,0.3135864164055618,5.714192364183687e-14,-5.488216248587702,2.8243353290387407,1.0
2609,PTPRD_code_potential_somatic,ENSG00000196482,2609,-1.0,1.7643728829453589,0.2638286425600655,3.531246385503076e-10,-8.582552118073261,2.8341109975615164,1.0
2606,PTPRD_code_potential_somatic,ENSG00000196482,2606,-1.0,1.7643728829453589,0.20315196979517844,1.6275974563501287e-06,-12.94732883930938,7.775004933127399,1.0
1803,PTPRD_code_potential_somatic,ENSG00000281306,1803,1.0,2.071086780034912,0.3945743266454167,7.3790697005791225e-22,6.912338560006378,2.246368961968024,1.0
831,PTPRD_code_potential_somatic,ENSG00000152284,831,-1.0,1.7860387908295028,-0.21493284483401695,3.7854450030709187e-07,6.05049840936842,2.058402856752206,1.0
2113,PTPRD_code_potential_somatic,ENSG00000069667,2113,1.0,3.533072868705154,0.22245043455015545,1.4280152349632248e-07,4.350012428352924,4.272932652506168,1.0
7,PTPRD_code_potential_somatic,ENSG00000126351,7,-1.0,2.63594430788831,0.5924389359447688,3.1973683806405464e-53,-10.269758655372552,3.931467802558481,0.5
2510,PTPRD_code_potential_somatic,ENSG00000128652,2510,-1.0,1.4066539464211407,-0.3302851995394446,2.055269424284233e-15,3.5364034959133224,1.3325143757899274,0.5
3505,PTPRD_code_potential_somatic,ENSG00000149948,3505,1.0,2.0392568964337,0.30313028389722696,4.131155459913165e-13,3.472946343339889,2.1819276015513376,1.0
797,PTPRD_code_potential_somatic,ENSG00000126561,797,-1.0,1.794096596149393,0.2489276341843643,3.4802347849274002e-09,-9.096820207473677,11.645375141625292,0.2
1839,PTPRD_code_potential_somatic,ENSG00000112658,1839,1.0,2.5817082008366476,0.43930433182194023,2.919581539654522e-27,4.520147564687482,4.954409232547184,0.6666666666666666
1829,PTPRD_code_potential_somatic,ENSG00000112658,1829,1.0,2.5817082008366476,0.20757429157135235,9.506884319138885e-07,3.4848932399783816,1.7385556474733286,0.6666666666666666
1554,PTPRD_code_potential_somatic,ENSG00000182568,1554,-1.0,6.396644683904613,-0.439099429284452,3.104269743167222e-27,4.588278332916061,1.5517409221617853,1.0
1560,PTPRD_code_potential_somatic,ENSG00000182568,1560,-1.0,6.396644683904613,-0.21042097846138905,6.683721043737998e-07,4.9254927328302545,1.5323726337866932,1.0
1555,PTPRD_code_potential_somatic,ENSG00000182568,1555,-1.0,6.396644683904613,-0.25035757680363274,2.811747680583645e-09,7.040810934103161,5.836016147675239,1.0
183,PTPRD_code_potential_somatic,ENSG00000007866,183,1.0,1.3306454428183148,-0.16986697450173865,6.429015551285007e-05,-4.800197750868722,1.5206080484597877,1.0
