,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1934,RB1_code_potential_somatic,ENSG00000006468,1934,-1.0,2.0621122348752987,0.4887761171435828,2.984075155559033e-34,-2.078126048840691,1.3053419076053019,1.0
1933,RB1_code_potential_somatic,ENSG00000006468,1933,-1.0,2.0621122348752987,0.4589397555184592,6.709998790355674e-30,-2.63243842568957,1.7984625536012322,1.0
1035,RB1_code_potential_somatic,ENSG00000137203,1035,-1.0,1.4307550784893202,0.38751189765490146,4.4541864144617496e-21,-3.042150737534563,2.2074829599895684,1.0
2358,RB1_code_potential_somatic,ENSG00000148516,2358,-1.0,2.3456376331911635,-0.47289697259782226,6.985546911952625e-32,2.789200375845488,1.9337855263057058,1.0
2359,RB1_code_potential_somatic,ENSG00000148516,2359,-1.0,2.3456376331911635,0.48467070156951697,1.2570182182003646e-33,-2.328097628096997,1.5188775150666387,1.0
2322,RB1_code_potential_somatic,ENSG00000135457,2322,-1.0,1.9976309165168242,0.5411807067562492,5.129900190789167e-43,-4.689150834777734,4.016783152849454,1.0
1507,RB1_code_potential_somatic,ENSG00000165495,1507,-1.0,1.5143565391005698,0.31968660557945966,1.737041989800858e-14,-2.3813653844740337,1.568918647761393,1.0
3617,RB1_code_potential_somatic,ENSG00000160224,3617,1.0,1.3568361477329147,-0.16869020380520583,7.235887975157796e-05,-2.1458493366321396,1.3575268913595426,1.0
3679,RB1_code_potential_somatic,ENSG00000106689,3679,-1.0,2.786733810764558,0.2023249948209243,1.7974110078168925e-06,-2.127400928052897,1.3412983334161053,1.0
3681,RB1_code_potential_somatic,ENSG00000106689,3681,-1.0,2.786733810764558,-0.07279895480746928,0.08865267595093068,2.1094472188766256,1.3190923993280277,1.0
3684,RB1_code_potential_somatic,ENSG00000106689,3684,-1.0,2.786733810764558,0.21229703984377238,5.284549734916635e-07,-2.924328965270149,2.0645274503940576,1.0
1396,RB1_code_potential_somatic,ENSG00000125398,1396,-1.0,1.9601414683820266,0.3393591450736945,3.0906595458958634e-16,-2.5754383188007393,1.7778882231474527,1.0
1398,RB1_code_potential_somatic,ENSG00000125398,1398,-1.0,1.9601414683820266,-0.23534412724899675,2.472737776306242e-08,2.4914423788967937,1.6634050909503637,1.0
1391,RB1_code_potential_somatic,ENSG00000125398,1391,-1.0,1.9601414683820266,0.429461353521994,5.30490735006758e-26,-3.6614886676780425,2.802457527044967,1.0
1400,RB1_code_potential_somatic,ENSG00000125398,1400,-1.0,1.9601414683820266,-0.3265436945181717,4.4081644919256105e-15,2.3229518070584283,1.5102836670379833,1.0
3439,RB1_code_potential_somatic,ENSG00000175832,3439,-1.0,2.421996904152624,0.188963161805117,8.444314224063902e-06,-2.078126048840691,1.3053419076053019,1.0
1102,RB1_code_potential_somatic,ENSG00000176887,1102,-1.0,2.0573944644195854,0.2157512882791301,3.409986062831539e-07,-2.1106391593234703,1.3172739031823275,1.0
1099,RB1_code_potential_somatic,ENSG00000176887,1099,-1.0,2.0573944644195854,0.6638642416414896,6.512780905743984e-71,-2.9870773520588747,2.128342748422638,1.0
1096,RB1_code_potential_somatic,ENSG00000176887,1096,-1.0,2.0573944644195854,0.6240930966293388,1.6996737217440208e-60,-4.529927081571825,3.7664558204523955,1.0
1100,RB1_code_potential_somatic,ENSG00000176887,1100,-1.0,2.0573944644195854,0.5747518364116476,1.6996917970202137e-49,-3.0883938373259907,2.265630012484596,1.0
870,RB1_code_potential_somatic,ENSG00000244405,870,-1.0,1.7296683554180028,0.3044180851792245,3.2516492814834757e-13,-2.1528306060808964,1.3601787937146528,1.0
558,RB1_code_potential_somatic,ENSG00000181449,558,-1.0,2.018694856501986,0.23484827769208574,2.6503342244548926e-08,-3.0834718580854608,2.2571925321912207,1.0
