,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1441,RBM19_code_potential_somatic,ENSG00000221869,1441,-1.0,1.341868930857746,0.18593111468365855,1.1821511134466203e-05,-5.450822679023376,1.5677443950428898,1.0
1438,RBM19_code_potential_somatic,ENSG00000221869,1438,-1.0,1.341868930857746,0.49272796519311113,7.33827605604778e-35,-10.490069754967639,2.9761135715056044,1.0
2359,RBM19_code_potential_somatic,ENSG00000148516,2359,-1.0,2.4467989975520124,0.48467070156951697,1.2570182182003646e-33,-4.85491951995654,1.4475218311318194,1.0
2367,RBM19_code_potential_somatic,ENSG00000148516,2367,-1.0,2.4467989975520124,0.32959739859821874,2.366633864844502e-15,-4.4835414653440155,1.395234908941746,1.0
885,RBM19_code_potential_somatic,ENSG00000139083,885,-1.0,2.5163261877214667,0.3774455682971878,5.362641469225887e-20,-5.6558675549374735,1.614595866652236,1.0
2958,RBM19_code_potential_somatic,ENSG00000099326,2958,-1.0,5.180576937425284,0.15502495763949944,0.0002696883889990905,-14.905151738817771,5.676553551112591,1.0
2956,RBM19_code_potential_somatic,ENSG00000099326,2956,-1.0,5.180576937425284,0.30407842823274045,3.463977880396004e-13,-6.347782648500086,1.7022125451937273,1.0
2961,RBM19_code_potential_somatic,ENSG00000099326,2961,-1.0,5.180576937425284,0.1976172678733166,3.1378098153486256e-06,-7.020766554414651,1.8986266055443113,1.0
2954,RBM19_code_potential_somatic,ENSG00000099326,2954,-1.0,5.180576937425284,0.2269687177994022,7.816035144319663e-08,-4.6094027800764135,1.4309257709261858,1.0
2950,RBM19_code_potential_somatic,ENSG00000099326,2950,-1.0,5.180576937425284,0.3406215926294005,2.3626796039625614e-16,-4.5434846810756975,1.3928602936632715,1.0
3315,RBM19_code_potential_somatic,ENSG00000091831,3315,1.0,1.6291281875008212,-0.29668217581994016,1.3456962616737226e-12,-5.238125124674336,1.5264402630200038,1.0
3320,RBM19_code_potential_somatic,ENSG00000091831,3320,1.0,1.6291281875008212,-0.3682767995565355,4.801467290177401e-19,-4.293427516049605,1.3373539925636913,1.0
1535,RBM19_code_potential_somatic,ENSG00000113916,1535,-1.0,1.3439574103780119,0.35653041522952333,7.197473117795702e-18,-11.379825938983357,2.8546828634438803,1.0
1539,RBM19_code_potential_somatic,ENSG00000113916,1539,-1.0,1.3439574103780119,0.4378936398325283,4.449937937111878e-27,-5.0674498096525395,1.4844892976064694,1.0
1523,RBM19_code_potential_somatic,ENSG00000113916,1523,-1.0,1.3439574103780119,0.323287421310316,8.491104504296732e-15,-5.924551752089035,1.6905788742601875,1.0
1526,RBM19_code_potential_somatic,ENSG00000113916,1526,-1.0,1.3439574103780119,0.2997373382810369,7.718583792617932e-13,-4.765523378509073,1.438375045677904,1.0
1537,RBM19_code_potential_somatic,ENSG00000113916,1537,-1.0,1.3439574103780119,0.37671944037252303,6.395643686455924e-20,-8.950579589427793,2.3474634189470436,1.0
