,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2604,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2604,1.0,1.7144138121605588,0.4409405624406941,1.786267814487868e-27,2.2677174226420296,1.5825320198770163,1.0
2597,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2597,1.0,1.7144138121605588,0.5134481327144256,3.450302845570539e-38,2.071745886944669,1.376952418039396,1.0
2602,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2602,1.0,1.7144138121605588,0.40086724087503744,1.433083479882713e-22,2.04559372145622,1.3549097057333774,1.0
2599,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000087903,2599,1.0,1.7144138121605588,0.3299908698054381,2.183250779018185e-15,2.4071695649534064,1.7332944653623934,1.0
366,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000163497,366,-1.0,2.137251159787981,0.2894018731355593,4.928790824080555e-12,-2.5097414623595653,1.8740999978726933,1.0
3514,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000105991,3514,1.0,1.5646082451029555,0.28755586192906624,6.8100213599091565e-12,2.012555228842929,1.3214942564366499,1.0
708,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000168310,708,1.0,1.3048972898122724,0.569177174849023,2.2816890469102695e-48,2.1074910551086847,1.420872144938105,1.0
2830,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,2830,1.0,1.6069521878180795,0.5963904193990348,4.371680359735945e-54,2.5462821303951695,1.8964597576839282,1.0
2839,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,2839,1.0,1.6069521878180795,0.550806313360732,8.451690625511572e-45,2.3697190018949104,1.6938954634282828,1.0
2837,REGULATION_OF_TELOMERASE_PID_NCI_NATURE_nonsilent_somatic,ENSG00000126456,2837,1.0,1.6069521878180795,0.4755943212683657,2.8211001466529374e-32,2.0928030540803864,1.4006835830899995,1.0
