,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1633,REN_code_potential_somatic,ENSG00000028277,1633,-1.0,2.4855471493927594,-0.15277992585153233,0.0003314232449802602,8.72114727970101,3.283719770040495,1.0
376,REN_code_potential_somatic,ENSG00000112561,376,1.0,1.9733196267425475,-0.17304814108553282,4.651787056647238e-05,-4.650746170698997,2.787716270823672,1.0
106,REN_code_potential_somatic,ENSG00000057657,106,-1.0,2.7255641745742527,-0.1550173740580408,0.0002698775110695467,10.99964978862838,14.079815986386707,1.0
113,REN_code_potential_somatic,ENSG00000057657,113,-1.0,2.7255641745742527,0.48237695985448864,2.783612097846488e-33,-5.324038080307305,2.8560907251121717,1.0
7,REN_code_potential_somatic,ENSG00000126351,7,1.0,1.6958235646591893,0.5924389359447688,3.1973683806405464e-53,6.412169527190881,2.609053752193642,1.0
16,REN_code_potential_somatic,ENSG00000126351,16,1.0,1.6958235646591893,0.3602612456309639,3.0830998499870427e-18,12.14264429793313,26.133704987134653,1.0
3441,REN_code_potential_somatic,ENSG00000140044,3441,-1.0,3.3921617066251386,-0.33179875187374624,1.5049103791338916e-15,3.9084457747496457,1.3192314133662437,1.0
1903,REN_code_potential_somatic,ENSG00000167034,1903,-1.0,2.787716270823672,-0.27689223665120133,4.210154690311305e-11,7.404332269996539,7.51933811159062,1.0
1913,REN_code_potential_somatic,ENSG00000167034,1913,-1.0,2.787716270823672,-0.14790404756888972,0.0005136003592483479,3.850943644923741,1.509317125506676,1.0
1301,REN_code_potential_somatic,ENSG00000197905,1301,-1.0,7.22880362169829,0.4110989506437914,9.249744444527794e-24,-3.1438392530512256,1.402135433287697,1.0
