,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2322,SCN11A_code_potential_somatic,ENSG00000135457,2322,-1.0,2.3299504591355817,0.5411807067562492,5.129900190789167e-43,-3.8723058090179108,1.5510696375344373,1.0
2609,SCN11A_code_potential_somatic,ENSG00000196482,2609,-1.0,1.412116083541736,0.2638286425600655,3.531246385503076e-10,-7.4803308974595035,2.9118166994261294,1.0
80,SCN11A_code_potential_somatic,ENSG00000213928,80,-1.0,1.8204475913813383,0.3026300370931928,4.532306656935337e-13,-5.59777134686848,2.0089213237131562,1.0
2342,SCN11A_code_potential_somatic,ENSG00000198914,2342,1.0,1.8487856104225344,-0.3219201890761863,1.115536812264222e-14,-4.112767006056581,1.3400572354122826,1.0
3577,SCN11A_code_potential_somatic,ENSG00000134138,3577,-1.0,1.4761929685995714,0.6019454657365405,2.5430605829568647e-55,-4.425580655625686,1.4614424761130111,1.0
533,SCN11A_code_potential_somatic,ENSG00000196092,533,1.0,1.5345752475056913,-0.1091605418459437,0.010552051279032,-3.2905474522350384,1.3179533853499066,1.0
342,SCN11A_code_potential_somatic,ENSG00000134532,342,-1.0,1.6383093101558994,0.26557045996682044,2.67693566460443e-10,-5.6186670773594365,1.8706367350377335,1.0
1873,SCN11A_code_potential_somatic,ENSG00000118513,1873,1.0,2.5819549454952373,0.42272816175969147,3.65293684676176e-25,4.5953467729448185,1.750485912677201,1.0
932,SCN11A_code_potential_somatic,ENSG00000106459,932,1.0,1.8526406991452895,0.44919405123453054,1.4381365370625404e-28,6.341680453212581,2.344549998396228,1.0
939,SCN11A_code_potential_somatic,ENSG00000106459,939,1.0,1.8526406991452895,0.17608128199277853,3.3985269343626105e-05,4.203497885431213,1.3974273555450378,1.0
940,SCN11A_code_potential_somatic,ENSG00000106459,940,1.0,1.8526406991452895,0.6049299696357774,5.3903182182766035e-56,5.5290147572991835,1.6832902964165062,1.0
926,SCN11A_code_potential_somatic,ENSG00000106459,926,1.0,1.8526406991452895,0.6328333200985253,1.1788917713746272e-62,8.749574037906699,2.757239533038737,1.0
