,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
2409,SLC4A5_code_potential_somatic,ENSG00000198815,2409,1.0,1.5256613480947212,0.6094276897122228,5.0431117746258744e-57,4.215486934409632,2.6173272900742335,1.0
2414,SLC4A5_code_potential_somatic,ENSG00000198815,2414,1.0,1.5256613480947212,0.5548471955733468,1.4485774081206976e-45,4.30033743696318,1.9624140117076232,1.0
2407,SLC4A5_code_potential_somatic,ENSG00000198815,2407,1.0,1.5256613480947212,0.38498795049117185,8.379973550308507e-21,4.1730574293500675,1.9844108907931075,1.0
2421,SLC4A5_code_potential_somatic,ENSG00000198815,2421,1.0,1.5256613480947212,0.4962312152317401,2.0837620924403538e-35,11.128461090926136,6.761805994410878,1.0
2408,SLC4A5_code_potential_somatic,ENSG00000198815,2408,1.0,1.5256613480947212,0.6558470105777108,1.0989746058201963e-68,3.903550687757631,1.7512422808951678,1.0
83,SLC4A5_code_potential_somatic,ENSG00000213928,83,1.0,2.3352459159310435,0.4298628458249869,4.7218587520052576e-26,5.168692050622994,2.850874705959559,1.0
78,SLC4A5_code_potential_somatic,ENSG00000213928,78,1.0,2.3352459159310435,0.24851957916664758,3.697748436415998e-09,10.416831961655003,4.17212381437234,1.0
2282,SLC4A5_code_potential_somatic,ENSG00000118689,2282,1.0,3.6605798762726702,0.2465471187968765,4.949360656703986e-09,8.147442658579083,6.056384750145664,1.0
2288,SLC4A5_code_potential_somatic,ENSG00000118689,2288,1.0,3.6605798762726702,0.5098697031326828,1.3458184188233866e-37,4.43327413824213,2.398400595089096,1.0
2293,SLC4A5_code_potential_somatic,ENSG00000118689,2293,1.0,3.6605798762726702,0.392797362255363,1.1647381014347199e-21,6.460360846060599,2.060221930514705,1.0
2297,SLC4A5_code_potential_somatic,ENSG00000118689,2297,1.0,3.6605798762726702,0.35153217877680776,2.2022956862609567e-17,5.1912152467531865,2.135260089252766,1.0
2287,SLC4A5_code_potential_somatic,ENSG00000118689,2287,1.0,3.6605798762726702,0.2270453557235659,7.735695757526688e-08,4.796855272627135,2.3434927514156323,1.0
2289,SLC4A5_code_potential_somatic,ENSG00000118689,2289,1.0,3.6605798762726702,0.6409212826432166,1.0255208479425349e-64,4.961419755107439,1.886241530807021,1.0
2286,SLC4A5_code_potential_somatic,ENSG00000118689,2286,1.0,3.6605798762726702,0.3691780061262213,3.882791659267247e-19,4.969454078789094,2.3081522271501584,1.0
3463,SLC4A5_code_potential_somatic,ENSG00000150347,3463,1.0,3.4227997571870206,0.4458585150166216,4.014154139911832e-28,5.309682649452764,4.394821065782406,1.0
251,SLC4A5_code_potential_somatic,ENSG00000177606,251,1.0,3.3480365416845705,0.7020705437872713,1.4989788859365892e-82,7.938031775279381,2.5084032773976968,1.0
2710,SLC4A5_code_potential_somatic,ENSG00000065970,2710,1.0,2.2812462868267804,0.5400250126933841,8.324348036105775e-43,7.157229877793152,2.8936902783456766,1.0
2709,SLC4A5_code_potential_somatic,ENSG00000065970,2709,1.0,2.2812462868267804,0.3962788824163508,4.750283301144896e-22,12.023509418583805,6.978946887934616,1.0
2859,SLC4A5_code_potential_somatic,ENSG00000116132,2859,1.0,2.398986375451911,0.3618801944342784,2.1266635781518953e-18,7.054711092980513,2.664600686878178,1.0
1348,SLC4A5_code_potential_somatic,ENSG00000182944,1348,1.0,1.649974624670193,0.3381510951311439,3.9918338555544716e-16,2.872274249696013,1.5535688899295745,1.0
1351,SLC4A5_code_potential_somatic,ENSG00000182944,1351,1.0,1.649974624670193,0.3246923526945814,6.40542249135754e-15,3.6899094522415234,1.8260230801836275,1.0
1349,SLC4A5_code_potential_somatic,ENSG00000182944,1349,1.0,1.649974624670193,0.18725627262450328,1.0211826894705243e-05,11.98195824125086,8.846173695933706,1.0
859,SLC4A5_code_potential_somatic,ENSG00000084093,859,1.0,2.5617160814452737,-0.2206731784838919,1.8037968454357987e-07,-3.352657772419985,1.5038493750013344,1.0
847,SLC4A5_code_potential_somatic,ENSG00000113580,847,1.0,2.6647721049413815,0.4165721818044068,2.0531154719808354e-24,7.271254508407116,2.8803356131286137,1.0
1193,SLC4A5_code_potential_somatic,ENSG00000100811,1193,1.0,1.6977923907414554,0.28402240744147683,1.2561789833991136e-11,5.4020640128212625,1.9673351528511502,1.0
1200,SLC4A5_code_potential_somatic,ENSG00000100811,1200,1.0,1.6977923907414554,0.3719153873565801,2.02867539310328e-19,3.763211291434645,2.756300347105772,1.0
