,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1632,SPAM1_code_potential_somatic,ENSG00000028277,1632,-1.0,2.00534494973364,-0.23786617851736172,1.7334905555925857e-08,3.4544295998887375,1.442574353231784,1.0
1628,SPAM1_code_potential_somatic,ENSG00000028277,1628,-1.0,2.00534494973364,-0.2409649465718457,1.1142824862848704e-08,4.58543174800301,2.0985851094385573,1.0
3053,SPAM1_code_potential_somatic,ENSG00000124782,3053,-1.0,1.4829017452977018,-0.37190969967048615,2.031426668079336e-19,3.0489703994238657,1.3776714414140805,1.0
3066,SPAM1_code_potential_somatic,ENSG00000124782,3066,-1.0,1.4829017452977018,-0.18806406988795332,9.335414502173334e-06,3.301865160157298,1.3804139085036282,1.0
3597,SPAM1_code_potential_somatic,ENSG00000168779,3597,1.0,1.863734466141878,0.35609604292540536,7.938393125223019e-18,3.3438933329273137,1.532004899347756,1.0
3684,SPAM1_code_potential_somatic,ENSG00000106689,3684,1.0,1.3785077509345163,0.21229703984377238,5.284549734916635e-07,2.9382626924454844,1.3549271785395884,1.0
3318,SPAM1_code_potential_somatic,ENSG00000091831,3318,-1.0,12.62993153245525,-0.3783348161422657,4.3194077751375884e-20,6.599843129926286,3.183895963168683,1.0
2085,SPAM1_code_potential_somatic,ENSG00000030419,2085,-1.0,1.4591108988330195,-0.18397236309575504,1.4649468615032524e-05,3.1998237649290475,1.5088548751990685,1.0
2092,SPAM1_code_potential_somatic,ENSG00000030419,2092,-1.0,1.4591108988330195,-0.2713725560541517,1.0486144463594457e-10,3.3985622383985743,1.561143100337306,1.0
3043,SPAM1_code_potential_somatic,ENSG00000183734,3043,-1.0,1.5275292061306283,-0.21679592662505762,2.9825833509942507e-07,4.916569006820589,2.0411312301167657,1.0
3041,SPAM1_code_potential_somatic,ENSG00000183734,3041,-1.0,1.5275292061306283,-0.3537216462467799,1.3526334008306997e-17,3.2032094074889685,1.4016829960072854,1.0
3437,SPAM1_code_potential_somatic,ENSG00000175832,3437,1.0,1.8185058542624049,0.3072578447592749,1.909941690400658e-13,3.974121155144513,1.6331966387139065,1.0
866,SPAM1_code_potential_somatic,ENSG00000244405,866,1.0,1.5189408607761596,0.429402653684742,5.395912682071426e-26,9.237054462386354,4.101027636907569,1.0
3106,SPAM1_code_potential_somatic,ENSG00000184486,3106,1.0,2.172329966410921,0.2625784454051773,4.302577963020011e-10,4.649198509747962,2.2004486284491493,1.0
3098,SPAM1_code_potential_somatic,ENSG00000184486,3098,1.0,2.172329966410921,0.5161286370838446,1.2315189989281638e-38,3.3532826068933894,1.5141735626763522,1.0
3108,SPAM1_code_potential_somatic,ENSG00000184486,3108,1.0,2.172329966410921,0.3355158005742668,6.94849595439125e-16,3.4779231698465156,1.480073116839376,1.0
2949,SPAM1_code_potential_somatic,ENSG00000169016,2949,1.0,2.0420389410547264,0.466859931323378,5.163465035177099e-31,4.193661344155767,1.699372566770167,1.0
2884,SPAM1_code_potential_somatic,ENSG00000136535,2884,-1.0,1.6095543344349792,-0.24984639136053768,3.034988199972843e-09,3.1883651105917985,1.3536810482941537,1.0
2823,SPAM1_code_potential_somatic,ENSG00000126456,2823,1.0,1.517405304820781,0.4195568315417488,8.929547673661836e-25,4.326099015618581,1.7719768072871216,1.0
2824,SPAM1_code_potential_somatic,ENSG00000126456,2824,1.0,1.517405304820781,0.3976187700057979,3.3541140019250776e-22,5.165828661941047,2.1257375224428703,1.0
2835,SPAM1_code_potential_somatic,ENSG00000126456,2835,1.0,1.517405304820781,0.3527555417203807,1.6780100043281802e-17,3.6386737841852916,1.5485985991289126,1.0
3297,SPAM1_code_potential_somatic,ENSG00000105722,3297,1.0,1.4476871422399882,0.5392403307695723,1.1551384426226446e-42,3.974121155144513,1.6331966387139065,1.0
3301,SPAM1_code_potential_somatic,ENSG00000105722,3301,1.0,1.4476871422399882,0.26596808756003154,2.5122053000554756e-10,4.49271517463068,1.9504359171228556,1.0
