,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,SRCAP_code_potential_somatic,ENSG00000125952,1313,-1.0,2.1524701064539107,0.6383058949876683,4.830752998599309e-64,-8.40494238647518,2.5734200414113606,1.0
1320,SRCAP_code_potential_somatic,ENSG00000125952,1320,-1.0,2.1524701064539107,0.31249401608025534,7.05206169676757e-14,-4.453534402289237,1.4696978484949175,1.0
2348,SRCAP_code_potential_somatic,ENSG00000198914,2348,1.0,10.2675350951459,-0.21234327052304913,5.253908361913485e-07,-3.527263999966869,1.3051829259547252,1.0
2344,SRCAP_code_potential_somatic,ENSG00000198914,2344,1.0,10.2675350951459,-0.27120826942889875,1.0771475629679202e-10,-3.718575230577428,1.3343188191756117,1.0
2336,SRCAP_code_potential_somatic,ENSG00000198914,2336,1.0,10.2675350951459,-0.33604971387657595,6.213086664934287e-16,-3.8739850728146537,1.33561619798654,1.0
2333,SRCAP_code_potential_somatic,ENSG00000198914,2333,1.0,10.2675350951459,-0.30023005231869104,7.052392160175819e-13,-4.5947309938010825,1.486362238138797,1.0
2346,SRCAP_code_potential_somatic,ENSG00000198914,2346,1.0,10.2675350951459,-0.2644924976139063,3.1782288626652413e-10,-13.126430563061328,5.935086397496367,1.0
371,SRCAP_code_potential_somatic,ENSG00000112561,371,-1.0,5.73779807625281,0.3455223363089412,8.232171146233444e-17,-9.256623369124542,2.6464589719760427,0.5
12,SRCAP_code_potential_somatic,ENSG00000126351,12,-1.0,5.004610194752449,0.47919761624700663,8.296253055498482e-33,-8.000756981038352,3.3301284764588077,1.0
7,SRCAP_code_potential_somatic,ENSG00000126351,7,-1.0,5.004610194752449,0.5924389359447688,3.1973683806405464e-53,-4.022789615543846,1.553150671312396,1.0
251,SRCAP_code_potential_somatic,ENSG00000177606,251,1.0,2.317968456011929,0.7020705437872713,1.4989788859365892e-82,5.816588529858538,1.8450477252335433,1.0
2709,SRCAP_code_potential_somatic,ENSG00000065970,2709,1.0,2.399323344134139,0.3962788824163508,4.750283301144896e-22,5.733869558808509,1.9526778332908634,0.3333333333333333
3619,SRCAP_code_potential_somatic,ENSG00000105880,3619,-1.0,1.4065155268751233,-0.17155067542366154,5.4210264843726585e-05,2.673027225348277,1.6829841686973648,1.0
3621,SRCAP_code_potential_somatic,ENSG00000105880,3621,-1.0,1.4065155268751233,-0.3428641451695831,1.4617775743690047e-16,11.530908299349692,6.336105471152294,1.0
1253,SRCAP_code_potential_somatic,ENSG00000089220,1253,-1.0,2.3494044567617434,0.2657955610818475,2.582430391060707e-10,-4.476413781826213,1.511076607371411,1.0
57,SRCAP_code_potential_somatic,ENSG00000125347,57,-1.0,4.654801379166609,0.5910295564983017,6.458447969963658e-53,-5.40738891146332,1.7324142045853559,0.5
504,SRCAP_code_potential_somatic,ENSG00000068305,504,-1.0,3.436181919280888,0.18775788278656078,9.658823556710988e-06,-3.8158579313147776,1.4225086293800941,0.75
500,SRCAP_code_potential_somatic,ENSG00000068305,500,-1.0,3.436181919280888,0.40121105420751324,1.3090178053946188e-22,-8.754825727261258,14.808087603916789,0.75
502,SRCAP_code_potential_somatic,ENSG00000068305,502,-1.0,3.436181919280888,0.23859733785664802,1.562696822756122e-08,-7.6695985063705825,2.22961984332067,0.75
