,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1635,STK31_code_potential_somatic,ENSG00000028277,1635,1.0,1.5182824584008507,-0.2939484405422057,2.200584761537425e-12,-4.5971939397004435,2.3270336222310704,1.0
1636,STK31_code_potential_somatic,ENSG00000028277,1636,1.0,1.5182824584008507,-0.17012343080933515,6.264822439909219e-05,-3.543734567237066,1.4879268675643331,1.0
2322,STK31_code_potential_somatic,ENSG00000135457,2322,-1.0,1.6657759166865382,0.5411807067562492,5.129900190789167e-43,-3.4930346818436226,1.5565849441732518,1.0
2320,STK31_code_potential_somatic,ENSG00000135457,2320,-1.0,1.6657759166865382,0.6147789272980276,2.8631235837696392e-58,-5.519411514572341,3.317089875442047,1.0
2088,STK31_code_potential_somatic,ENSG00000030419,2088,1.0,1.453785958603341,-0.19310379728153398,5.287514413257324e-06,-3.2071331334962725,1.3673958911617587,1.0
2642,STK31_code_potential_somatic,ENSG00000126767,2642,-1.0,1.3705661697587954,0.32351514751123267,8.112691442740826e-15,-3.199707273134899,1.3851196253612197,1.0
2641,STK31_code_potential_somatic,ENSG00000126767,2641,-1.0,1.3705661697587954,0.143583739547145,0.0007489126533620584,-5.004148828478322,2.058755188273779,1.0
2635,STK31_code_potential_somatic,ENSG00000126767,2635,-1.0,1.3705661697587954,0.21146284588332206,5.867884816022567e-07,-3.369819310364738,1.465746988280353,1.0
3364,STK31_code_potential_somatic,ENSG00000105516,3364,-1.0,1.601420584794981,0.11321390213402713,0.00798386347266414,-3.324129659156806,1.862318805704057,1.0
3404,STK31_code_potential_somatic,ENSG00000170345,3404,-1.0,1.3736725435813049,0.43853700463262035,3.6727014873598426e-27,-4.495639141993993,1.902880473863165,1.0
2043,STK31_code_potential_somatic,ENSG00000054598,2043,-1.0,1.3313701901002306,0.44557682871686455,4.375383691115867e-28,-3.0664505722625455,1.3254866088614368,1.0
2044,STK31_code_potential_somatic,ENSG00000054598,2044,-1.0,1.3313701901002306,0.3170534256751047,2.914018004615917e-14,-3.9570037274119847,1.668103838496072,1.0
3446,STK31_code_potential_somatic,ENSG00000140044,3446,1.0,1.5641470015689254,-0.3685890389392845,4.461204743516978e-19,-3.386009207435907,1.4715462860280846,1.0
3482,STK31_code_potential_somatic,ENSG00000203883,3482,-1.0,2.211871729250522,0.23209470843207486,3.884684479180556e-08,-3.4953791263423364,1.4510449146977535,1.0
3480,STK31_code_potential_somatic,ENSG00000203883,3480,-1.0,2.211871729250522,0.11423360216400416,0.0074328701632500145,-3.168362574574253,1.3433945665279898,1.0
504,STK31_code_potential_somatic,ENSG00000068305,504,-1.0,1.3321486102228248,0.18775788278656078,9.658823556710988e-06,-3.9608569669469937,1.7986106051571926,1.0
489,STK31_code_potential_somatic,ENSG00000068305,489,-1.0,1.3321486102228248,0.3602522036684555,3.0894830510338585e-18,-3.3264865928561425,1.390028007074596,1.0
3198,STK31_code_potential_somatic,ENSG00000176165,3198,-1.0,1.4700292049795198,0.19173474207109215,6.179587436198497e-06,-3.243302786045817,1.4116308153202013,1.0
3195,STK31_code_potential_somatic,ENSG00000176165,3195,-1.0,1.4700292049795198,0.26173608451084845,4.912321927136984e-10,-3.6297811929379926,1.5366138950085164,1.0
3196,STK31_code_potential_somatic,ENSG00000176165,3196,-1.0,1.4700292049795198,0.29298641948274584,2.613129794134446e-12,-3.646878412500095,1.5304309800322315,1.0
1916,STK31_code_potential_somatic,ENSG00000167034,1916,1.0,1.3290059366835452,-0.381100125369727,2.1948152078698023e-20,-5.315219608264729,2.20626482604433,1.0
2179,STK31_code_potential_somatic,ENSG00000133794,2179,-1.0,1.4963763637039813,0.22466279860260852,1.0647706189440823e-07,-3.45669043882897,1.4664026288933114,1.0
