,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1313,TP53_code_potential_somatic,ENSG00000125952,1313,-1.0,3.6439784422905297,0.6383058949876683,4.830752998599309e-64,-3.575267904455061,3.329959141531882,1.0
1309,TP53_code_potential_somatic,ENSG00000125952,1309,-1.0,3.6439784422905297,0.45210191720960374,5.82270233160004e-29,-3.237230334597138,2.8327332440871937,1.0
1315,TP53_code_potential_somatic,ENSG00000125952,1315,-1.0,3.6439784422905297,0.5052938138319714,7.494661457773782e-37,-3.6240588424241595,3.401071927376826,1.0
1311,TP53_code_potential_somatic,ENSG00000125952,1311,-1.0,3.6439784422905297,0.4344864971050772,1.2215048897877538e-26,-2.6677856219756633,2.0663220913679017,1.0
1317,TP53_code_potential_somatic,ENSG00000125952,1317,-1.0,3.6439784422905297,0.2754762215709579,5.331152556561886e-11,-4.563111083103527,4.911137460755667,1.0
1305,TP53_code_potential_somatic,ENSG00000125952,1305,-1.0,3.6439784422905297,0.22500223679193504,1.0176094494083198e-07,-2.421676923650398,1.7765028302934225,1.0
1307,TP53_code_potential_somatic,ENSG00000125952,1307,-1.0,3.6439784422905297,0.3594368228235468,3.721926650177375e-18,-3.594644720077843,3.3512145108745437,1.0
1310,TP53_code_potential_somatic,ENSG00000125952,1310,-1.0,3.6439784422905297,0.1946859219633426,4.409687713544408e-06,-2.4973462991282234,1.8585306955569996,1.0
1439,TP53_code_potential_somatic,ENSG00000221869,1439,-1.0,3.7839464287300397,0.3888261177378731,3.1981947441845913e-21,-2.4492927385999606,1.805048612299166,1.0
1440,TP53_code_potential_somatic,ENSG00000221869,1440,-1.0,3.7839464287300397,0.7210168824377889,4.8594174980191e-89,-4.135933069484404,4.191122785632853,1.0
1441,TP53_code_potential_somatic,ENSG00000221869,1441,-1.0,3.7839464287300397,0.18593111468365855,1.1821511134466203e-05,-2.007192593970921,1.3310733649500215,1.0
1437,TP53_code_potential_somatic,ENSG00000221869,1437,-1.0,3.7839464287300397,0.2290011176303175,5.935437413282454e-08,-4.94659098561454,5.560583607307247,1.0
1438,TP53_code_potential_somatic,ENSG00000221869,1438,-1.0,3.7839464287300397,0.49272796519311113,7.33827605604778e-35,-2.786905002566313,2.2066857009061724,1.0
1037,TP53_code_potential_somatic,ENSG00000137203,1037,1.0,4.040067172320891,0.188860127183953,8.542161780917127e-06,2.6683415350307076,2.0770050685094468,1.0
1036,TP53_code_potential_somatic,ENSG00000137203,1036,1.0,4.040067172320891,-0.2227410898933683,1.3742325448913637e-07,-4.007041077473981,3.9342774250385024,1.0
1034,TP53_code_potential_somatic,ENSG00000137203,1034,1.0,4.040067172320891,0.22747222385682433,7.30259753522188e-08,3.1932113781413003,2.7710800833948417,1.0
3508,TP53_code_potential_somatic,ENSG00000111145,3508,-1.0,2.550614609798696,0.3742587869463521,1.158009875598377e-19,-3.3768874040362338,3.032935970465063,1.0
1592,TP53_code_potential_somatic,ENSG00000185811,1592,-1.0,1.9301892745489653,-0.3028503255507558,4.3511629909653763e-13,2.886539118156626,2.3481493589606965,1.0
1585,TP53_code_potential_somatic,ENSG00000185811,1585,-1.0,1.9301892745489653,0.40857361801806463,1.835320516994237e-23,-3.8178117826515168,3.6502430069183,1.0
1595,TP53_code_potential_somatic,ENSG00000185811,1595,-1.0,1.9301892745489653,0.45970832233167136,5.247039673838221e-30,-3.6644142769699135,3.4514717122156022,1.0
3675,TP53_code_potential_somatic,ENSG00000170370,3675,-1.0,2.2393586644049828,0.27726361338551714,3.9565054352759463e-11,-3.8614791145785428,3.7027253405740157,1.0
3243,TP53_code_potential_somatic,ENSG00000025434,3243,-1.0,2.4398744652724145,0.2671562306012533,2.0766505157740116e-10,-3.715875962504222,3.5540416870342884,1.0
3242,TP53_code_potential_somatic,ENSG00000025434,3242,-1.0,2.4398744652724145,0.5289986310906277,7.68889182432963e-41,-4.602050495185539,4.958186437815807,1.0
1247,TP53_code_potential_somatic,ENSG00000151702,1247,-1.0,1.4055482017499001,0.3246923526945814,6.40542249135754e-15,-3.5434424541123644,3.2712448389207296,1.0
1238,TP53_code_potential_somatic,ENSG00000151702,1238,-1.0,1.4055482017499001,0.6335156236726455,7.943540603589842e-63,-2.406040466288495,1.761874729222667,1.0
1244,TP53_code_potential_somatic,ENSG00000151702,1244,-1.0,1.4055482017499001,0.38109312514068827,2.1985979843151025e-20,-1.9919994897520652,1.319852753334195,1.0
1239,TP53_code_potential_somatic,ENSG00000151702,1239,-1.0,1.4055482017499001,0.42951808454482876,5.218396625533201e-26,-2.4444429989598753,1.801516627747615,1.0
1243,TP53_code_potential_somatic,ENSG00000151702,1243,-1.0,1.4055482017499001,0.3459392145320089,7.519515283946522e-17,-2.363879417409441,1.7139951003168084,1.0
2604,TP53_code_potential_somatic,ENSG00000087903,2604,-1.0,2.9406200777933225,0.4409405624406941,1.786267814487868e-27,-3.1213114578897376,2.6452459917133675,1.0
2602,TP53_code_potential_somatic,ENSG00000087903,2602,-1.0,2.9406200777933225,0.40086724087503744,1.433083479882713e-22,-4.367324504665764,4.612646736021314,1.0
2598,TP53_code_potential_somatic,ENSG00000087903,2598,-1.0,2.9406200777933225,0.36823574612998544,4.848065539250322e-19,-3.0877535420543887,2.6165948012291365,1.0
2603,TP53_code_potential_somatic,ENSG00000087903,2603,-1.0,2.9406200777933225,-0.24252030996139157,8.905579745819154e-09,2.1449653236998016,1.4749909709907878,1.0
2599,TP53_code_potential_somatic,ENSG00000087903,2599,-1.0,2.9406200777933225,0.3299908698054381,2.183250779018185e-15,-2.9426733289014186,2.423407857505266,1.0
971,TP53_code_potential_somatic,ENSG00000101412,971,1.0,4.187533676191061,0.2069537504346887,1.0259174781428825e-06,1.9989746898738092,1.3243796830792296,0.8888888888888888
960,TP53_code_potential_somatic,ENSG00000101412,960,1.0,4.187533676191061,0.6491518019355196,7.070099083657812e-67,3.8639855620283217,3.7804315740395253,0.8888888888888888
962,TP53_code_potential_somatic,ENSG00000101412,962,1.0,4.187533676191061,0.5285187508062114,9.327641426056122e-41,2.892908358333563,2.3613891147975057,0.8888888888888888
963,TP53_code_potential_somatic,ENSG00000101412,963,1.0,4.187533676191061,0.6513661348023898,1.8046161375597924e-67,3.4201927406101897,3.0891217246697615,0.8888888888888888
959,TP53_code_potential_somatic,ENSG00000101412,959,1.0,4.187533676191061,0.7769628587535349,8.154332160431679e-112,3.7040148395582264,3.527794049521611,0.8888888888888888
968,TP53_code_potential_somatic,ENSG00000101412,968,1.0,4.187533676191061,0.4742249743817139,4.4747144847067843e-32,3.20968763614032,2.793937239674586,0.8888888888888888
961,TP53_code_potential_somatic,ENSG00000101412,961,1.0,4.187533676191061,0.49108575521205333,1.3174129972347378e-34,4.685226431645392,5.224792409613701,0.8888888888888888
965,TP53_code_potential_somatic,ENSG00000101412,965,1.0,4.187533676191061,0.6201656764623934,1.50771877898473e-59,5.302199802803685,6.295558424201356,0.8888888888888888
2607,TP53_code_potential_somatic,ENSG00000196482,2607,-1.0,1.3987373019103928,0.4543449801831537,2.881577974829384e-29,-2.977207905383957,2.467434262912586,1.0
2612,TP53_code_potential_somatic,ENSG00000196482,2612,-1.0,1.3987373019103928,0.10405825882282253,0.014809757039663501,-5.125531425979857,6.026969757181224,1.0
2611,TP53_code_potential_somatic,ENSG00000196482,2611,-1.0,1.3987373019103928,0.11045515562128966,0.009661715435626637,-2.1273283120348188,1.4557233685369835,1.0
2946,TP53_code_potential_somatic,ENSG00000100644,2946,-1.0,1.9431642420400208,0.4403489701678677,2.1341629499025122e-27,-3.660316008079335,3.4559384852716444,1.0
2520,TP53_code_potential_somatic,ENSG00000112333,2520,-1.0,3.9342774250385024,0.5670993464484083,5.931604568650053e-48,-5.296377131662281,6.364972217035232,1.0
2522,TP53_code_potential_somatic,ENSG00000112333,2522,-1.0,3.9342774250385024,0.4848949276559143,1.1626510343479794e-33,-3.227085546931272,2.8026198541382024,1.0
2528,TP53_code_potential_somatic,ENSG00000112333,2528,-1.0,3.9342774250385024,0.5900396803607918,1.0560480916954014e-52,-6.098894767121447,7.6403756742534,1.0
2530,TP53_code_potential_somatic,ENSG00000112333,2530,-1.0,3.9342774250385024,0.62790340879799,1.984555698064428e-61,-3.7561838425919474,3.5929126446026967,1.0
2525,TP53_code_potential_somatic,ENSG00000112333,2525,-1.0,3.9342774250385024,0.4068991778158076,2.8815856743790265e-23,-2.1219501936350533,1.4446614531699695,1.0
2523,TP53_code_potential_somatic,ENSG00000112333,2523,-1.0,3.9342774250385024,-0.24814849410854162,3.906972018939778e-09,2.749291259374816,2.161965786445743,1.0
2519,TP53_code_potential_somatic,ENSG00000112333,2519,-1.0,3.9342774250385024,0.5367556869751333,3.2412023142188855e-42,-5.145562020341084,6.048825246718246,1.0
884,TP53_code_potential_somatic,ENSG00000139083,884,-1.0,1.3200313591700834,-0.21474923465985488,3.8749813925423966e-07,2.2866488233126647,1.6285358606403206,1.0
889,TP53_code_potential_somatic,ENSG00000139083,889,-1.0,1.3200313591700834,0.37569040670382775,8.203038178775998e-20,-4.117762833442189,4.196868588275563,1.0
1822,TP53_code_potential_somatic,ENSG00000096401,1822,1.0,1.9422483077627781,0.3943778097989644,7.762166508507098e-22,2.8238280827311364,2.265817044204519,0.5
1821,TP53_code_potential_somatic,ENSG00000096401,1821,1.0,1.9422483077627781,0.44307045504478443,9.385411102250156e-28,3.6866595515186456,3.4629563824653355,0.5
638,TP53_code_potential_somatic,ENSG00000115844,638,1.0,1.577453398270551,-0.29335108766423285,2.4485398762962622e-12,-1.9966695153001637,1.320726457317807,1.0
637,TP53_code_potential_somatic,ENSG00000115844,637,1.0,1.577453398270551,-0.2811916898239348,2.038835138936001e-11,-3.510730658196506,3.2328570655381412,1.0
636,TP53_code_potential_somatic,ENSG00000115844,636,1.0,1.577453398270551,-0.2767374295027716,4.3205118507878994e-11,-2.6080812222071588,1.994718854673821,1.0
639,TP53_code_potential_somatic,ENSG00000115844,639,1.0,1.577453398270551,0.24863172866937241,3.6366861171739948e-09,3.55386669704591,3.2594831366110872,1.0
1408,TP53_code_potential_somatic,ENSG00000170689,1408,-1.0,4.1948085199906044,-0.3006966149213196,6.473617378200403e-13,2.908619126618714,2.380729417705494,0.2
1545,TP53_code_potential_somatic,ENSG00000164048,1545,1.0,1.7301715435511067,0.2715641873240874,1.0162624710567647e-10,4.109851002824445,4.144684123774666,1.0
1108,TP53_code_potential_somatic,ENSG00000100105,1108,1.0,2.394474097049335,0.5687831932084362,2.7362525640183454e-48,2.650645131449479,2.05201933063573,1.0
1110,TP53_code_potential_somatic,ENSG00000100105,1110,1.0,2.394474097049335,0.5463250729901485,5.811560049819726e-44,3.3877565500139775,3.0445660634914624,1.0
2723,TP53_code_potential_somatic,ENSG00000130726,2723,1.0,2.80289062559173,0.2556294784603317,1.2661576804139407e-09,2.824209794009819,2.2643536707020036,0.3333333333333333
2725,TP53_code_potential_somatic,ENSG00000130726,2725,1.0,2.80289062559173,0.25870192273686793,7.887269778888437e-10,3.196916632067048,2.757386187550209,0.3333333333333333
1583,TP53_code_potential_somatic,ENSG00000105866,1583,1.0,3.025923047376416,-0.18440426264363505,1.397546363172393e-05,-2.0270058925444676,1.3521387922823762,1.0
1582,TP53_code_potential_somatic,ENSG00000105866,1582,1.0,3.025923047376416,0.2648298211507108,3.0122660059059145e-10,2.324235547808238,1.6719927878669087,1.0
1573,TP53_code_potential_somatic,ENSG00000105866,1573,1.0,3.025923047376416,0.2605493998506764,5.915990779892945e-10,2.8674807090307377,2.3169115316311975,1.0
1580,TP53_code_potential_somatic,ENSG00000105866,1580,1.0,3.025923047376416,-0.16683930252342943,8.70086169584507e-05,-2.3793584492197297,1.728499457364404,1.0
1576,TP53_code_potential_somatic,ENSG00000105866,1576,1.0,3.025923047376416,-0.2080037847905003,9.017529783655651e-07,-3.458033665305224,3.1430188595239534,1.0
1578,TP53_code_potential_somatic,ENSG00000105866,1578,1.0,3.025923047376416,-0.32483695117566297,6.221744664343175e-15,-3.4276035415904045,3.0925439604275113,1.0
1574,TP53_code_potential_somatic,ENSG00000105866,1574,1.0,3.025923047376416,-0.21339921132211218,4.598802402890166e-07,-4.657534738949034,5.1154706903746385,1.0
1575,TP53_code_potential_somatic,ENSG00000105866,1575,1.0,3.025923047376416,-0.3630196275484389,1.6354190401390349e-18,-4.080759909953361,4.078316565469655,1.0
3646,TP53_code_potential_somatic,ENSG00000198353,3646,1.0,3.025923047376416,0.27271791257253536,8.410853905558882e-11,5.151614149709503,5.989997584951811,0.5
3649,TP53_code_potential_somatic,ENSG00000198353,3649,1.0,3.025923047376416,0.3031002920626809,4.154193656006295e-13,4.592050571861272,4.949619003162312,0.5
90,TP53_code_potential_somatic,ENSG00000213928,90,-1.0,3.091974581786342,0.5442608075332965,1.3988896138491242e-43,-3.6547450155135524,3.405797078335645,0.9090909090909091
73,TP53_code_potential_somatic,ENSG00000213928,73,-1.0,3.091974581786342,0.2790187020598247,2.945960681855052e-11,-2.566240218650683,1.941799709867589,0.9090909090909091
86,TP53_code_potential_somatic,ENSG00000213928,86,-1.0,3.091974581786342,0.26897454009406707,1.548897525308145e-10,-2.481049840587758,1.8431992281206313,0.9090909090909091
85,TP53_code_potential_somatic,ENSG00000213928,85,-1.0,3.091974581786342,0.24083354643926425,1.1355010397506477e-08,-4.435617992132405,4.672607680174121,0.9090909090909091
84,TP53_code_potential_somatic,ENSG00000213928,84,-1.0,3.091974581786342,0.41823663209647305,1.29186083823815e-24,-4.531596865028978,4.939322692709098,0.9090909090909091
78,TP53_code_potential_somatic,ENSG00000213928,78,-1.0,3.091974581786342,0.24851957916664758,3.697748436415998e-09,-3.2502965007535902,2.838262051756889,0.9090909090909091
81,TP53_code_potential_somatic,ENSG00000213928,81,-1.0,3.091974581786342,0.27612746162871854,4.783468584944775e-11,-3.730131472879997,3.5296343827590304,0.9090909090909091
79,TP53_code_potential_somatic,ENSG00000213928,79,-1.0,3.091974581786342,0.2440314844051304,7.1524069988457364e-09,-4.845196906738481,5.451308421890586,0.9090909090909091
75,TP53_code_potential_somatic,ENSG00000213928,75,-1.0,3.091974581786342,0.4423592755258794,1.1641182146341424e-27,-3.485061105654581,3.1563730428365484,0.9090909090909091
87,TP53_code_potential_somatic,ENSG00000213928,87,-1.0,3.091974581786342,0.22985952071619345,5.279957872053686e-08,-2.5192712032011113,1.8902704101225662,0.9090909090909091
221,TP53_code_potential_somatic,ENSG00000020633,221,-1.0,1.9197489067997864,0.6379715611320159,5.8828214436437776e-64,-2.687412748548762,2.090092615743303,1.0
223,TP53_code_potential_somatic,ENSG00000020633,223,-1.0,1.9197489067997864,0.41155265298836496,8.17328897573916e-24,-3.2697357773304603,2.864215063791006,1.0
1549,TP53_code_potential_somatic,ENSG00000134323,1549,1.0,3.025923047376416,0.41189610172557833,7.441609030900848e-24,3.071302021089864,2.588083842617658,1.0
1551,TP53_code_potential_somatic,ENSG00000134323,1551,1.0,3.025923047376416,-0.436735976955246,6.279389245335047e-27,-4.684583041704258,5.08615972122841,1.0
1550,TP53_code_potential_somatic,ENSG00000134323,1550,1.0,3.025923047376416,-0.5060944650282776,5.560042287405335e-37,-3.0062367202408553,2.4863044239547145,1.0
288,TP53_code_potential_somatic,ENSG00000072310,288,-1.0,2.5725708053256815,0.5114015136682754,7.53010353623837e-38,-3.8178871705099495,3.6415673416074252,1.0
