,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
960,TPO_code_potential_somatic,ENSG00000101412,960,-1.0,1.316485938789551,0.6491518019355196,7.070099083657812e-67,-3.797570728677319,2.0930023496174086,1.0
963,TPO_code_potential_somatic,ENSG00000101412,963,-1.0,1.316485938789551,0.6513661348023898,1.8046161375597924e-67,-6.116422737719556,3.9899292587648256,1.0
959,TPO_code_potential_somatic,ENSG00000101412,959,-1.0,1.316485938789551,0.7769628587535349,8.154332160431679e-112,-3.834871323986896,1.9318041155562127,1.0
970,TPO_code_potential_somatic,ENSG00000101412,970,-1.0,1.316485938789551,0.2803087859364232,2.3686298581518834e-11,-2.663952327000863,1.336002303264016,1.0
833,TPO_code_potential_somatic,ENSG00000152284,833,1.0,1.4820826869503163,-0.3477371796091787,5.080538725634629e-17,-3.5803133732013284,1.975985935911912,1.0
1538,TPO_code_potential_somatic,ENSG00000113916,1538,1.0,1.351233119515149,0.6841581243819654,7.158883160947051e-77,2.8669436234528316,1.334500831528198,1.0
3270,TPO_code_potential_somatic,ENSG00000118922,3270,-1.0,1.6636552183323006,0.2546139348163464,1.4785751400687988e-09,-4.318120741398153,2.6489409603057807,1.0
946,TPO_code_potential_somatic,ENSG00000001167,946,-1.0,1.8140844023204257,0.3569742005829587,6.510849095546955e-18,-3.053732773971567,1.429687564672084,1.0
947,TPO_code_potential_somatic,ENSG00000001167,947,-1.0,1.8140844023204257,0.48470650482428806,1.2414565535090387e-33,-4.439259582672971,4.536150965244196,1.0
1875,TPO_code_potential_somatic,ENSG00000118513,1875,-1.0,1.5058008089785542,0.37999052307517084,2.8821468727292314e-20,-3.6797289451112625,1.8073355124723516,1.0
1873,TPO_code_potential_somatic,ENSG00000118513,1873,-1.0,1.5058008089785542,0.42272816175969147,3.65293684676176e-25,-3.5233838681537057,2.1648719975735387,1.0
1877,TPO_code_potential_somatic,ENSG00000118513,1877,-1.0,1.5058008089785542,-0.16000037334555559,0.00016908798901122757,4.086422397478596,1.6499619189796066,1.0
924,TPO_code_potential_somatic,ENSG00000106459,924,-1.0,2.080710985320005,0.662848041726032,1.2585998410611911e-70,-3.2981391030566383,1.6612453977141652,1.0
932,TPO_code_potential_somatic,ENSG00000106459,932,-1.0,2.080710985320005,0.44919405123453054,1.4381365370625404e-28,-4.7777935651841394,2.1620161030389795,1.0
923,TPO_code_potential_somatic,ENSG00000106459,923,-1.0,2.080710985320005,0.7121543007985294,6.132342355537881e-86,-5.033229920311802,4.713493637453323,1.0
