,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned
1440,TPTE_code_potential_somatic,ENSG00000221869,1440,1.0,2.137516594093764,0.7210168824377889,4.8594174980191e-89,2.5089689836976135,1.3064836687493517,1.0
1442,TPTE_code_potential_somatic,ENSG00000221869,1442,1.0,2.137516594093764,0.34831433390961264,4.477296755863648e-17,5.435819340453326,3.1926831067587815,1.0
3051,TPTE_code_potential_somatic,ENSG00000124782,3051,-1.0,1.3422477512152795,-0.25746368430658756,9.551982674034018e-10,2.915229005418649,1.5305034890397915,1.0
3508,TPTE_code_potential_somatic,ENSG00000111145,3508,1.0,1.7573926836643687,0.3742587869463521,1.158009875598377e-19,2.927732707908396,1.5276245724044737,1.0
2946,TPTE_code_potential_somatic,ENSG00000100644,2946,1.0,1.3214864009588578,0.4403489701678677,2.1341629499025122e-27,2.9991048369511732,1.6233090431125776,1.0
1297,TPTE_code_potential_somatic,ENSG00000131759,1297,1.0,1.4050016253409527,0.28504961813386004,1.0522915896791589e-11,4.788688243356285,2.6705171325132606,1.0
3003,TPTE_code_potential_somatic,ENSG00000077463,3003,1.0,1.753238593759992,0.2562076536275005,1.1588039108115014e-09,4.029843455735511,2.212744172358247,1.0
524,TPTE_code_potential_somatic,ENSG00000120690,524,1.0,1.5909602999851389,0.6207065899937414,1.1183039932827503e-59,2.5569517965584727,1.342979687368697,1.0
519,TPTE_code_potential_somatic,ENSG00000120690,519,1.0,1.5909602999851389,0.43115883614483685,3.239143679177495e-26,2.853325381687224,1.4831448333098416,1.0
527,TPTE_code_potential_somatic,ENSG00000120690,527,1.0,1.5909602999851389,0.22971441180174448,5.3856206155533787e-08,2.5119145403770906,1.312707432429213,1.0
